TimeStamp,MotorID,EncoderValue,TorqueValue,TotalAngle,MotorID,EncoderValue,TorqueValue,TotalAngle
11261,1,4986,0,4986,2,-12940,0,-12940
11266,1,4986,0,4986,2,-12939,0,-12939
11271,1,4986,0,4986,2,-12938,0,-12938
11276,1,4986,0,4986,2,-12937,0,-12937
11281,1,4986,0,4986,2,-12937,0,-12937
11286,1,4986,0,4986,2,-12937,0,-12937
11291,1,4986,0,4986,2,-12937,0,-12937
11296,1,4986,0,4986,2,-12937,0,-12937
11301,1,4986,0,4986,2,-12937,0,-12937
11306,1,4986,0,4986,2,-12937,0,-12937
11311,1,4986,0,4986,2,-12937,0,-12937
11316,1,4986,0,4986,2,-12937,0,-12937
11321,1,4986,0,4986,2,-12937,0,-12937
11326,1,4986,0,4986,2,-12937,0,-12937
11331,1,4986,0,4986,2,-12937,0,-12937
11336,1,4986,0,4986,2,-12937,0,-12937
11341,1,4986,0,4986,2,-12937,0,-12937
11346,1,4986,0,4986,2,-12937,0,-12937
11351,1,4986,0,4986,2,-12937,0,-12937
11356,1,4986,0,4986,2,-12937,0,-12937
11361,1,4986,0,4986,2,-12937,0,-12937
11366,1,4986,0,4986,2,-12937,0,-12937
11371,1,4986,0,4986,2,-12937,0,-12937
11376,1,4986,0,4986,2,-12936,0,-12936
11381,1,4986,0,4986,2,-12936,0,-12936
11386,1,4986,0,4986,2,-12936,0,-12936
11391,1,4986,0,4986,2,-12936,0,-12936
11396,1,4986,0,4986,2,-12936,0,-12936
11401,1,4986,0,4986,2,-12936,0,-12936
11406,1,4986,0,4986,2,-12936,0,-12936
11411,1,4986,0,4986,2,-12936,0,-12936
11416,1,4986,0,4986,2,-12936,0,-12936
11421,1,4986,0,4986,2,-12936,0,-12936
11426,1,4986,0,4986,2,-12936,0,-12936
11431,1,4986,0,4986,2,-12936,0,-12936
11436,1,4986,0,4986,2,-12936,0,-12936
11441,1,4986,0,4986,2,-12936,0,-12936
11446,1,4986,0,4986,2,-12936,0,-12936
11451,1,4986,0,4986,2,-12936,0,-12936
11456,1,4986,0,4986,2,-12936,0,-12936
11461,1,4986,0,4986,2,-12936,0,-12936
11466,1,4986,0,4986,2,-12936,0,-12936
11471,1,4986,0,4986,2,-12936,0,-12936
11476,1,4986,0,4986,2,-12936,0,-12936
11481,1,4986,0,4986,2,-12936,0,-12936
11486,1,4986,0,4986,2,-12936,0,-12936
11491,1,4986,0,4986,2,-12936,0,-12936
11496,1,4986,0,4986,2,-12936,0,-12936
11501,1,4986,0,4986,2,-12936,0,-12936
11506,1,4986,0,4986,2,-12936,0,-12936
11511,1,4986,0,4986,2,-12936,0,-12936
11516,1,4986,0,4986,2,-12936,0,-12936
11521,1,4986,0,4986,2,-12936,0,-12936
11526,1,4986,0,4986,2,-12936,0,-12936
11531,1,4986,0,4986,2,-12936,0,-12936
11536,1,4986,0,4986,2,-12936,0,-12936
11541,1,4986,0,4986,2,-12936,0,-12936
11546,1,4986,0,4986,2,-12936,0,-12936
11551,1,4986,0,4986,2,-12936,0,-12936
11556,1,4986,0,4986,2,-12936,0,-12936
11561,1,4986,0,4986,2,-12936,0,-12936
11566,1,4986,0,4986,2,-12936,0,-12936
11571,1,4986,0,4986,2,-12936,0,-12936
11576,1,4986,0,4986,2,-12936,0,-12936
11581,1,4986,0,4986,2,-12936,0,-12936
11586,1,4986,0,4986,2,-12936,0,-12936
11591,1,4986,0,4986,2,-12936,0,-12936
11596,1,4986,0,4986,2,-12936,0,-12936
11601,1,4986,0,4986,2,-12936,0,-12936
11606,1,4986,0,4986,2,-12936,0,-12936
11611,1,4986,0,4986,2,-12936,0,-12936
11616,1,4986,0,4986,2,-12936,0,-12936
11621,1,4986,0,4986,2,-12936,0,-12936
11626,1,4986,0,4986,2,-12936,0,-12936
11631,1,4986,0,4986,2,-12936,0,-12936
11636,1,4986,0,4986,2,-12936,0,-12936
11641,1,4986,0,4986,2,-12936,0,-12936
11646,1,4986,0,4986,2,-12936,0,-12936
11651,1,4986,0,4986,2,-12936,0,-12936
