TimeStamp,MotorID,EncoderValue,TotalAngle,iqcurrentValue,speed,MotorID,EncoderValue,TotalAngle,iqcurrentValue,speed
29270,1,-3009,-3009,-17,-18,2,23496,23496,-13,-47
29275,1,-3011,-3011,-19,-12,2,23491,23491,-22,-59
29280,1,-3011,-3011,-22,0,2,23486,23486,-27,-49
29285,1,-3011,-3011,-22,-5,2,23483,23483,-29,-40
29290,1,-3012,-3012,-22,-6,2,23479,23479,-30,-42
29295,1,-3012,-3012,-23,0,2,23475,23475,-30,-39
29300,1,-3012,-3012,-23,0,2,23472,23472,-29,-36
29305,1,-3012,-3012,-22,0,2,23468,23468,-29,-32
29310,1,-3012,-3012,-23,0,2,23465,23465,-29,-37
29315,1,-3012,-3012,-24,0,2,23462,23462,-29,-40
29320,1,-3012,-3012,-22,0,2,23458,23458,-28,-46
29325,1,-3012,-3012,-22,0,2,23452,23452,-27,-66
29330,1,-3012,-3012,-22,0,2,23444,23444,-27,-99
29335,1,-3012,-3012,-22,0,2,23433,23433,-25,-142
29340,1,-3012,-3012,-22,0,2,23417,23417,-25,-183
29345,1,-3012,-3012,-23,0,2,23399,23399,-24,-204
29350,1,-3012,-3012,-23,0,2,23380,23380,-25,-203
29355,1,-3012,-3012,-23,0,2,23361,23361,-26,-231
29360,1,-3012,-3012,-21,0,2,23337,23337,-24,-291
29365,1,-3012,-3012,-22,0,2,23307,23307,-28,-333
29370,1,-3012,-3012,-22,0,2,23276,23276,-28,-351
29375,1,-3012,-3012,-22,0,2,23241,23241,-31,-398
29380,1,-3012,-3012,-23,0,2,23207,23207,-37,-364
29385,1,-3012,-3012,-23,0,2,23177,23177,-37,-325
29390,1,-3012,-3012,-22,0,2,23148,23148,-37,-292
29395,1,-3012,-3012,-22,0,2,23124,23124,-37,-248
29400,1,-3012,-3012,-23,0,2,23104,23104,-35,-207
29405,1,-3012,-3012,-23,0,2,23086,23086,-37,-188
29410,1,-3012,-3012,-22,0,2,23070,23070,-33,-180
29415,1,-3012,-3012,-22,0,2,23053,23053,-32,-184
29420,1,-3012,-3012,-22,0,2,23036,23036,-31,-183
29425,1,-3012,-3012,-23,0,2,23020,23020,-27,-187
29430,1,-3012,-3012,-23,0,2,23001,23001,-28,-203
29435,1,-3012,-3012,-22,0,2,22981,22981,-25,-244
29440,1,-3012,-3012,-24,0,2,22955,22955,-25,-292
29445,1,-3012,-3012,-24,0,2,22927,22927,-26,-304
29450,1,-3012,-3012,-22,0,2,22899,22899,-25,-329
29455,1,-3012,-3012,-22,0,2,22866,22866,-26,-378
29460,1,-3012,-3012,-23,0,2,22830,22830,-27,-405
29465,1,-3012,-3012,-23,0,2,22790,22790,-30,-458
29470,1,-3012,-3012,-22,0,2,22749,22749,-36,-429
29475,1,-3012,-3012,-23,0,2,22709,22709,-37,-453
29480,1,-3012,-3012,-23,0,2,22671,22671,-36,-394
29485,1,-3012,-3012,-22,0,2,22636,22636,-36,-369
29490,1,-3012,-3012,-23,0,2,22604,22604,-33,-345
29495,1,-3012,-3012,-21,0,2,22573,22573,-31,-325
29500,1,-3012,-3012,-23,0,2,22542,22542,-28,-349
29505,1,-3012,-3012,-23,0,2,22509,22509,-26,-374
29510,1,-3012,-3012,-23,0,2,22474,22474,-25,-387
29515,1,-3012,-3012,-23,0,2,22437,22437,-24,-431
29520,1,-3012,-3012,-22,0,2,22395,22395,-28,-464
29525,1,-3012,-3012,-23,0,2,22352,22352,-28,-491
29530,1,-3012,-3012,-23,0,2,22306,22306,-35,-496
