TimeStamp,MotorID,EncoderValue,TorqueValue,TotalAngle,iqcurrentValue,speed,MotorID,EncoderValue,TorqueValue,TotalAngle,iqcurrentValue,speed
1361,1,29824,0,29824,0,0,2,3267,0,3267,-10,0
1366,1,29824,0,29824,1,0,2,3267,0,3267,-7,0
1371,1,29824,0,29824,1,0,2,3267,0,3267,-6,0
1376,1,29824,0,29824,0,0,2,3267,0,3267,-7,0
1381,1,29824,0,29824,1,0,2,3267,0,3267,-9,0
1386,1,29824,0,29824,0,0,2,3267,0,3267,-10,0
1391,1,29824,0,29824,0,0,2,3267,0,3267,-6,0
1396,1,29824,0,29824,1,0,2,3267,0,3267,-9,0
1401,1,29824,0,29824,0,0,2,3267,0,3267,-10,0
1406,1,29824,0,29824,1,0,2,3267,0,3267,-9,0
1411,1,29824,0,29824,1,0,2,3267,0,3267,-7,0
1416,1,29824,0,29824,0,0,2,3267,0,3267,-10,0
1421,1,29824,0,29824,0,0,2,3267,0,3267,-7,0
1426,1,29824,0,29824,0,0,2,3267,0,3267,-10,0
1431,1,29824,0,29824,1,0,2,3267,0,3267,-10,0
1436,1,29824,0,29824,0,0,2,3267,0,3267,-9,0
1441,1,29824,0,29824,0,0,2,3267,0,3267,-7,0
1446,1,29824,0,29824,0,0,2,3267,0,3267,-7,0
1451,1,29824,0,29824,0,0,2,3267,0,3267,-6,0
1456,1,29824,0,29824,1,0,2,3267,0,3267,-10,0
1465,1,29824,10,29824,8,5,2,3268,10,3268,9,21
1470,1,29825,10,29825,10,0,2,3269,10,3269,17,16
1475,1,29825,10,29825,10,0,2,3270,10,3270,23,4
1480,1,29825,10,29825,12,0,2,3270,10,3270,24,0
1485,1,29825,10,29825,12,0,2,3270,10,3270,24,0
1490,1,29825,10,29825,11,0,2,3270,10,3270,24,0
1495,1,29825,10,29825,11,0,2,3270,10,3270,24,0
1500,1,29825,10,29825,11,0,2,3270,10,3270,24,0
1505,1,29825,10,29825,12,0,2,3270,10,3270,28,0
1510,1,29825,10,29825,10,0,2,3270,10,3270,23,0
1515,1,29825,10,29825,10,0,2,3270,10,3270,25,0
1520,1,29825,10,29825,10,0,2,3270,10,3270,24,0
1525,1,29825,10,29825,11,0,2,3270,10,3270,24,0
1530,1,29825,10,29825,10,0,2,3270,10,3270,23,0
1535,1,29825,10,29825,10,0,2,3270,10,3270,26,5
1540,1,29825,10,29825,11,0,2,3270,10,3270,25,0
1545,1,29825,10,29825,11,0,2,3270,10,3270,24,0
1550,1,29825,10,29825,11,0,2,3270,10,3270,23,0
1555,1,29825,10,29825,11,0,2,3270,10,3270,26,0
1560,1,29825,10,29825,10,0,2,3270,10,3270,24,0
1565,1,29825,10,29825,11,0,2,3270,10,3270,23,0
1570,1,29825,10,29825,10,0,2,3270,10,3270,24,0
1575,1,29825,10,29825,11,0,2,3270,10,3270,24,0
