TimeStamp,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_eq,theta_hat,v_d,v_hat,
21,-0.03594168,-0.16590878,9.75577354,0.00792795,0.00755187,-0.01253605,0.19999999,0.00549451,-0.00328754,0.00000000,0.00000000,0.00000000,0.00000000,0.00728504,-0.04231516,0.00111222,0.00122106,0.00055489,
32,-0.08305634,-0.23471616,9.79219913,0.00566302,0.00528694,-0.00893881,0.19999999,0.00549451,-0.00177811,0.00000000,0.00000000,0.00000000,0.00000000,0.00536129,-0.04231516,0.00477542,0.00122106,0.00040853,
44,-0.12123899,-0.24306962,9.78003216,0.00699534,-0.00337309,-0.01306897,0.19999999,0.00549451,-0.00283675,0.00000000,0.00000000,0.00000000,0.00000000,-0.00302970,-0.04231516,0.00830001,0.00122106,-0.00023046,
57,-0.13374539,-0.22107318,9.79162121,0.00832765,-0.01523068,-0.00760649,0.19999999,0.00549451,-0.00145395,0.00000000,0.00000000,0.00000000,0.00000000,-0.01474703,-0.04231516,0.01007230,0.00122106,-0.00112330,
68,-0.12440859,-0.17868574,9.79411125,0.00952673,-0.01576360,-0.01333544,0.19999999,0.00549451,-0.00294170,0.00000000,0.00000000,0.00000000,0.00000000,-0.01572757,-0.04231516,0.00978977,0.00122106,-0.00119841,
80,-0.10570588,-0.14628579,9.78626823,0.00992641,-0.01869469,-0.01600006,0.19999999,0.00549451,-0.00365160,0.00000000,0.00000000,0.00000000,0.00000000,-0.01857872,-0.04231516,0.00847322,0.00122106,-0.00141579,
93,-0.06725468,-0.13295953,9.80443859,0.00926027,-0.01363190,-0.01373513,0.19999999,0.00549451,-0.00305938,0.00000000,0.00000000,0.00000000,0.00000000,-0.01383313,-0.04231516,0.00544889,0.00122106,-0.00105452,
104,-0.05871196,-0.12639101,9.84052849,0.00752825,-0.01709591,-0.00907204,0.19999999,0.00549451,-0.00181613,0.00000000,0.00000000,0.00000000,0.00000000,-0.01696678,-0.04231516,0.00429276,0.00122106,-0.00129275,
116,-0.06104584,-0.13087963,9.87860012,0.00406425,-0.01829499,-0.00560803,0.19999999,0.00549451,-0.00088774,0.00000000,0.00000000,0.00000000,0.00000000,-0.01824353,-0.04231516,0.00467023,0.00122106,-0.00139000,
129,-0.05311372,-0.15916854,9.84781742,0.00406425,-0.02335778,-0.00187755,0.19999999,0.00549451,0.00009303,0.00000000,0.00000000,0.00000000,0.00000000,-0.02315584,-0.04231516,0.00403691,0.00122106,-0.00176422,
140,-0.02080318,-0.13515842,9.80042076,0.00339809,-0.01682945,-0.00187755,0.19999999,0.00549451,0.00010815,0.00000000,0.00000000,0.00000000,0.00000000,-0.01708662,-0.04231516,0.00168924,0.00122106,-0.00130233,
152,-0.01679062,-0.14514095,9.77854443,0.00339809,-0.01163343,-0.00347632,0.19999999,0.00549451,-0.00029676,0.00000000,0.00000000,0.00000000,0.00000000,-0.01185621,-0.04231516,0.00072314,0.00122106,-0.00090393,
165,-0.00524021,-0.16524099,9.81341457,0.00433071,-0.01376513,-0.00534156,0.19999999,0.00549451,-0.00078449,0.00000000,0.00000000,0.00000000,0.00000000,-0.01369261,-0.04231516,-0.00063404,0.00122106,-0.00104333,
176,-0.00585930,-0.21478078,9.82506180,0.00339809,-0.00963496,-0.00507510,0.19999999,0.00549451,-0.00071514,0.00000000,0.00000000,0.00000000,0.00000000,-0.00980431,-0.04231516,-0.00103216,0.00122106,-0.00074734,
188,-0.01032904,-0.24302496,9.79465103,0.00446394,-0.00390602,-0.00334309,0.19999999,0.00549451,-0.00026190,0.00000000,0.00000000,0.00000000,0.00000000,-0.00415096,-0.04231516,-0.00112527,0.00122106,-0.00031661,
201,0.00770648,-0.25501105,9.75261307,0.00539656,0.00315524,-0.00134462,0.19999999,0.00549451,0.00026452,0.00000000,0.00000000,0.00000000,0.00000000,0.00285307,-0.04231516,-0.00269734,0.00122106,0.00021676,
212,0.04886486,-0.27522421,9.73584938,0.00273193,0.00475401,-0.00174432,0.19999999,0.00549451,0.00017043,0.00000000,0.00000000,0.00000000,0.00000000,0.00466828,-0.04231516,-0.00577481,0.00122106,0.00035551,
224,0.05895104,-0.27851483,9.75716782,0.00353132,0.00555340,-0.00320986,0.19999999,0.00549451,-0.00019863,0.00000000,0.00000000,0.00000000,0.00000000,0.00550836,-0.04231516,-0.00752003,0.00122106,0.00041948,
237,0.05543875,-0.24951515,9.81872368,0.00672887,0.01248142,-0.00707357,0.19999999,0.00549451,-0.00118987,0.00000000,0.00000000,0.00000000,0.00000000,0.01219300,-0.04231516,-0.00815165,0.00122106,0.00092865,
248,0.05652387,-0.27209082,9.78795052,0.00526331,0.01701129,-0.00973819,0.19999999,0.00549451,-0.00189751,0.00000000,0.00000000,0.00000000,0.00000000,0.01680876,-0.04231516,-0.00822403,0.00122106,0.00128044,
260,0.02935432,-0.25717372,9.76937675,0.00539656,0.01940945,-0.00707357,0.19999999,0.00549451,-0.00121344,0.00000000,0.00000000,0.00000000,0.00000000,0.01929699,-0.04231516,-0.00616438,0.00122106,0.00147007,
273,0.03856474,-0.24455225,9.77834129,0.00126639,0.01807714,-0.00707357,0.19999999,0.00549451,-0.00122638,0.00000000,0.00000000,0.00000000,0.00000000,0.01811866,-0.04231516,-0.00549318,0.00122106,0.00138062,
284,0.01191092,-0.20750979,9.82976627,0.00233224,0.01847683,-0.00427571,0.19999999,0.00549451,-0.00049909,0.00000000,0.00000000,0.00000000,0.00000000,0.01845596,-0.04231516,-0.00333831,0.00122106,0.00140621,
296,-0.03724862,-0.19359505,9.81380081,0.00499687,0.01661159,-0.00707357,0.19999999,0.00549451,-0.00121886,0.00000000,0.00000000,0.00000000,0.00000000,0.01667999,-0.04231516,0.00046235,0.00122106,0.00127095,
309,-0.10644370,-0.17022395,9.80160999,0.00499687,0.01301435,-0.00614095,0.19999999,0.00549451,-0.00100419,0.00000000,0.00000000,0.00000000,0.00000000,0.01315703,-0.04231516,0.00673292,0.00122106,0.00100275,
320,-0.16133186,-0.17645401,9.78230953,0.00366455,0.01088265,-0.00734003,0.19999999,0.00549451,-0.00134003,0.00000000,0.00000000,0.00000000,0.00000000,0.01096923,-0.04231516,0.01269906,0.00122106,0.00083588,
332,-0.16380793,-0.16559726,9.75792694,0.00739503,0.00595309,-0.00600772,0.19999999,0.00549451,-0.00104313,0.00000000,0.00000000,0.00000000,0.00000000,0.00615048,-0.04231516,0.01394296,0.00122106,0.00046875,
345,-0.18271588,-0.15734911,9.76666737,0.00313163,0.00075708,-0.00760649,0.19999999,0.00549451,-0.00143699,0.00000000,0.00000000,0.00000000,0.00000000,0.00096977,-0.04231516,0.01643356,0.00122106,0.00007420,
356,-0.21613812,-0.17734720,9.79429340,0.00646241,-0.00776972,-0.00347632,0.19999999,0.00549451,-0.00040216,0.00000000,0.00000000,0.00000000,0.00000000,-0.00742372,-0.04231516,0.01888433,0.00122106,-0.00056519,
368,-0.23622239,-0.18154438,9.80283928,0.00379778,-0.01549714,-0.00147786,0.19999999,0.00549451,0.00013993,0.00000000,0.00000000,0.00000000,0.00000000,-0.01517726,-0.04231516,0.02142166,0.00122106,-0.00115628,
381,-0.23635194,-0.18599573,9.79227352,0.00393100,-0.02295808,-0.00320986,0.19999999,0.00549451,-0.00031516,0.00000000,0.00000000,0.00000000,0.00000000,-0.02265200,-0.04231516,0.02206263,0.00122106,-0.00172586,
392,-0.22613387,-0.21529259,9.82330036,0.00459717,-0.03028581,-0.00680711,0.19999999,0.00549451,-0.00126383,0.00000000,0.00000000,0.00000000,0.00000000,-0.02998502,-0.04231516,0.02119294,0.00122106,-0.00228469,
404,-0.25221318,-0.23817077,9.78541374,0.00539656,-0.04187692,-0.00574126,0.19999999,0.00549451,-0.00100006,0.00000000,0.00000000,0.00000000,0.00000000,-0.04140726,-0.04231516,0.02265836,0.00122106,-0.00315478,
417,-0.26708183,-0.27282742,9.75146294,0.00886057,-0.04787233,-0.00973819,0.19999999,0.00549451,-0.00207679,0.00000000,0.00000000,0.00000000,0.00000000,-0.04762382,-0.04231516,0.02339899,0.00122106,-0.00362882,
428,-0.20454462,-0.27611917,9.75063229,0.00446394,-0.05533328,-0.00840588,0.19999999,0.00549451,-0.00170112,0.00000000,0.00000000,0.00000000,0.00000000,-0.05503301,-0.04231516,0.01971998,0.00122106,-0.00419326,
440,-0.21829145,-0.27387911,9.73677921,0.00832765,-0.05746498,-0.01120374,0.19999999,0.00549451,-0.00243958,0.00000000,0.00000000,0.00000000,0.00000000,-0.05737834,-0.04231516,0.01905585,0.00122106,-0.00437239,
453,-0.20760348,-0.28495228,9.80092430,0.00566302,-0.06386007,-0.00960496,0.19999999,0.00549451,-0.00200529,0.00000000,0.00000000,0.00000000,0.00000000,-0.06360796,-0.04231516,0.01843700,0.00122106,-0.00484685,
464,-0.16548820,-0.28714868,9.79426861,0.00499687,-0.07398565,-0.00947173,0.19999999,0.00549451,-0.00195623,0.00000000,0.00000000,0.00000000,0.00000000,-0.07357977,-0.04231516,0.01523339,0.00122106,-0.00560641,
476,-0.13427261,-0.27707979,9.79870796,0.00686210,-0.07331950,-0.01333544,0.19999999,0.00549451,-0.00295550,0.00000000,0.00000000,0.00000000,0.00000000,-0.07333932,-0.04231516,0.01174504,0.00122106,-0.00558870,
