TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
190,-1.46029186,-0.21058293,9.59165478,6.00000000,0.00161133,-0.00161133,0.00136334,0.06178440,-0.00001717,0.07000000,0.00549451,-0.00003980,0.23999999,-0.23999999,-0.06422273,0.00000000,0.00000000,0.06167522,0.14823318,0.00122106,0.00465418,
198,-1.67696714,-0.19382352,9.53299713,6.00000000,0.25942382,-0.31743163,0.00197973,0.05676061,-0.00131640,0.07000000,0.00549451,0.05549916,0.23999999,-0.23999999,-0.02890287,0.68242371,-0.85870200,0.05676417,0.17213459,0.00122106,0.06303976,
205,0.60829842,0.08629808,6.57256651,5.00000000,0.31259766,-0.35288087,0.04793876,-0.14256749,-0.00492315,0.07000000,0.00549451,0.20976755,0.23999999,-0.23999999,-0.01885183,1.76452780,-2.44869709,-0.14210847,0.14761916,0.00122106,0.14999157,
214,-0.39966050,-0.05017142,8.88177395,6.00000000,0.29165038,-0.36254883,-0.03225517,-0.72976255,-0.02559683,0.07000000,0.00549451,0.33025941,0.23999999,-0.23999999,-0.01506970,3.39815593,-4.45408010,-0.73033035,0.25524873,0.00122106,0.24451773,
222,1.23079085,-1.10840857,10.03458214,6.00000000,0.30292970,-0.37866211,-0.04381106,-1.27500916,-0.00391497,0.07000000,0.00549451,0.44619820,0.13862070,-0.07993464,-0.01350248,4.75951290,-6.26049614,-1.27801132,0.12234412,0.00122106,0.32273346,
230,1.65576160,-0.42725819,11.24844265,6.00000000,0.19819336,-0.18369141,-0.05612335,-1.84912682,-0.03721997,0.07000000,0.00549451,0.50812924,0.01549038,0.05127604,-0.01282733,5.73515224,-7.37227058,-1.84880495,0.08929776,0.00122106,0.36144215,
238,1.17213285,-1.42564034,12.77953434,6.00000000,0.04672851,0.01933594,-0.01068929,-2.31689358,-0.03643743,0.07000000,0.00549451,0.31885889,-0.21640153,0.23999999,-0.01253163,5.78227568,-6.81725597,-2.31483150,0.00771281,0.00122106,0.30115879,
246,0.25156236,-1.78955901,14.12866688,6.00000000,-0.20463867,0.29809570,0.01868490,-2.51300359,-0.02371731,0.07000000,0.00549451,-0.01679328,-0.23999999,0.23999999,-0.01240118,4.94102716,-4.88692188,-2.50416756,-0.05752470,0.00122106,0.18185157,
254,-3.10032010,-1.27121425,15.68010998,6.00000000,-0.26425782,0.32226563,-0.10173079,-2.18028688,-0.02456545,0.07000000,0.00549451,-0.17812467,-0.22917491,0.20304239,-0.01234344,3.26202035,-2.67908049,-2.16008782,0.08036262,0.00122106,0.06009471,
262,-3.02250838,0.17488354,9.17745781,6.00000000,-0.27392578,0.27875978,-0.11613212,-1.32754982,-0.05866382,0.07000000,0.00549451,-0.36974463,-0.13618627,0.08458395,-0.01231786,1.33692217,-0.15707964,-1.32904541,0.08698851,0.00122106,-0.04392732,
270,-3.99694848,0.92546576,4.89303398,6.00000000,-0.18369141,0.14340821,0.17068829,-0.58838367,-0.09621504,0.07000000,0.00549451,-0.33009073,0.23999999,-0.23999999,-0.01230651,-0.05759586,1.10828412,-0.59803098,0.28259301,0.00122106,-0.09027044,
278,-3.38044167,0.76266009,3.11294532,6.00000000,0.18691406,-0.26264650,0.36976868,0.05923034,-0.08670812,0.07000000,0.00549451,-0.23004541,0.23999999,-0.23999999,-0.01230148,0.47822019,0.27227136,0.05254769,0.41790065,0.00122106,0.01128630,
286,-1.88167131,-0.63794792,1.22511721,6.00000000,0.27714843,-0.31743163,0.34224820,0.39620677,-0.08224297,0.07000000,0.00549451,0.06640798,0.23999999,-0.23999999,-0.01229924,2.19736958,-2.42251706,0.39842421,0.50499666,0.00122106,0.21185218,
294,1.46542263,-0.57809287,3.92457962,6.00000000,0.27231446,-0.36738282,-0.15922926,0.17374063,-0.02213236,0.07000000,0.00549451,0.08706225,0.23999999,-0.23999999,-0.01229826,4.00203991,-4.27431107,0.17757186,0.12313351,0.00122106,0.32902148,
302,2.43028593,-1.46394753,9.12957382,6.00000000,0.29326171,-0.36738282,-0.39186162,-0.27382907,0.13930677,0.07000000,0.00549451,0.12584038,0.17219928,-0.15685824,-0.01229781,5.44368172,-5.85034370,-0.27521199,0.01162576,0.00122106,0.40958634,
310,4.42585325,1.87237251,15.57955360,6.00000000,0.24169922,-0.29326171,-0.60423452,-1.09551191,0.18449830,0.07000000,0.00549451,0.25192925,-0.09332003,0.12540559,-0.01229762,6.32681847,-7.14188766,-1.09050560,-0.09221938,0.00122106,0.42935458,
318,6.25741720,2.44458675,18.36640358,6.00000000,-0.02416992,0.09990235,-0.18951893,-1.97151995,0.05806799,0.07000000,0.00366300,0.31505737,-0.23999999,0.23999999,-0.01229753,5.78751183,-6.80154848,-1.94968772,-0.33143216,0.00122106,0.33206958,
326,1.59949791,-0.14115109,20.53136063,6.00000000,-0.24975586,0.32387695,0.09650140,-2.54220772,-0.08215813,0.07000000,0.00366300,0.17480397,-0.23999999,0.23999999,-0.01229750,4.26558447,-4.82583523,-2.51147604,-0.26130682,0.00122106,0.15267597,
334,-3.05722451,-0.56971318,16.64138222,6.00000000,-0.26586914,0.33032227,0.16561617,-2.04047060,-0.23025334,0.07000000,0.00366300,0.05229907,-0.23999999,0.23999999,-0.01229747,2.56388855,-2.72445917,-2.01856947,-0.00265640,0.00122106,0.05062910,
342,-2.31502175,-0.07650764,6.66713762,6.00000000,-0.26425782,0.31904298,0.16766419,-1.17114675,-0.21148190,0.07000000,0.00366300,-0.15031828,-0.22165285,0.20032275,-0.01229746,0.38048175,0.10995574,-1.18099391,0.00690204,0.00122106,-0.07961316,
349,-4.03166437,0.90391797,3.10576272,5.00000000,-0.25781250,0.28520507,0.18772712,-0.49780858,-0.24866566,0.07000000,0.00366300,-0.24819049,0.18164212,-0.21579556,-0.01229746,-1.26012766,2.05599785,-0.50890225,0.24780093,0.00122106,-0.16462657,
358,-4.01251078,0.54718190,0.21715829,6.00000000,0.14340821,-0.22397462,0.30815092,0.35448894,-0.16939901,0.07000000,0.00366300,-0.17293145,0.23999999,-0.23999999,-0.01229746,-1.32994080,1.89193690,0.34734893,0.39209133,0.00122106,-0.09615406,
366,-2.03130889,0.09348068,-0.32871971,6.00000000,0.23525390,-0.30131835,0.18895631,0.70294160,-0.14471149,0.07000000,0.00366300,0.01999411,0.23999999,-0.23999999,-0.01229746,0.79063416,-0.85870200,0.70774961,0.45823884,0.00122106,0.11409907,
374,-1.50099325,-1.19100857,5.19949198,6.00000000,0.27875978,-0.36577147,0.01653909,0.75276983,-0.04771893,0.07000000,0.00366300,-0.08537364,0.23999999,-0.23999999,-0.01229746,3.04909015,-2.77507353,0.75690186,0.39439651,0.00122106,0.27753901,
382,3.27783322,-1.35142004,9.31751919,6.00000000,0.30615234,-0.36577147,-0.22313172,0.39848527,0.20948178,0.07000000,0.00366300,-0.09441552,0.08113286,-0.09515094,-0.01229746,4.79965544,-4.43313646,0.40069374,-0.11852568,0.00122106,0.38070747,
390,6.56387520,-0.99228978,14.07599449,6.00000000,0.14985351,-0.17885742,-0.74323922,-0.42876330,0.30415908,0.07000000,0.00549451,-0.02964592,-0.23999999,0.23999999,-0.01229746,5.51174974,-5.38957644,-0.43118632,-0.46274281,0.00122106,0.38182178,
398,7.70590925,3.25622106,20.53136063,6.00000000,-0.19174805,0.24653320,-0.44273385,-1.25457561,0.24458626,0.07000000,0.00549451,-0.16069146,-0.23999999,0.23999999,-0.01229746,4.29525518,-3.80830836,-1.27025843,-0.53596008,0.00122106,0.21326262,
406,-0.16862005,0.03003434,20.53136063,6.00000000,-0.26748046,0.36093751,0.04535152,-1.46854162,0.07158498,0.07000000,0.00549451,0.09565979,-0.23999999,0.23999999,-0.01229746,2.11708450,-2.42949820,-1.45097685,-0.11029810,0.00122106,0.06360064,
414,0.81898814,1.07749760,15.82256508,6.00000000,-0.28198242,0.32226563,0.00161118,-0.74710327,-0.16137755,0.07000000,0.00549451,-0.02601877,-0.23999999,0.23999999,-0.01229746,0.00349066,0.06806784,-0.73411644,-0.30225652,0.00122106,-0.05959382,
421,-3.45466185,-0.66428417,7.76966763,5.00000000,-0.28681642,0.35771483,0.34688836,-0.17292716,-0.28582644,0.07000000,0.00549451,-0.07736477,0.07367268,-0.08473806,-0.01229746,-1.45036852,1.78547192,-0.21415424,0.11640152,0.00122106,-0.13931301,
430,-3.44149375,0.39515010,1.58903587,6.00000000,0.01450195,-0.06606445,0.28782752,0.51544750,-0.34874010,0.07000000,0.00549451,-0.19515976,0.23999999,-0.23999999,-0.01229746,-1.92684352,2.56388855,0.51267689,0.21746467,0.00122106,-0.13016142,
438,-2.72083902,-0.91567534,-3.13711834,6.00000000,0.22236328,-0.30454102,0.66832626,1.05451131,-0.27533770,0.07000000,0.00549451,-0.15256764,0.23999999,-0.23999999,-0.01229746,-0.28448865,0.78190750,1.06390679,0.49197894,0.00122106,0.03890007,
446,-0.92638487,-1.68181992,-2.59842300,6.00000000,0.26909178,-0.35610351,0.20876101,1.14848602,-0.22855824,0.07000000,0.00549451,-0.10762782,0.23999999,-0.23999999,-0.01229746,1.87448359,-1.53239918,1.16892862,0.40708178,0.00122106,0.22035207,
