TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
158,0.56759697,-0.06932503,9.68742275,6.00000000,0.00000000,0.00000000,-0.00081762,-0.01875739,0.04363218,0.07000000,0.00366300,0.00057943,0.00448654,-0.00490887,-0.06422273,0.00000000,0.00000000,-0.01873386,-0.05761112,0.00122106,-0.00153751,
166,0.61907232,-0.06214242,9.70537949,6.00000000,0.00644531,-0.00644531,-0.00157737,-0.01790763,0.04282240,0.07000000,0.00366300,-0.00289181,-0.05109400,0.05019843,-0.02890287,0.00872665,0.00000000,-0.01794217,-0.06271452,0.00122106,-0.00103336,
174,0.71005195,-0.05136852,9.66228390,6.00000000,-0.06928711,0.09023438,-0.00062894,-0.01837835,0.04229240,0.07000000,0.00366300,0.00453152,-0.07878623,0.07893834,-0.01885183,-0.21642081,0.20071286,-0.01842111,-0.06781743,0.00122106,-0.01762119,
182,-0.07404908,-0.03580621,10.61757088,6.00000000,-0.10957031,0.14340821,-0.00295289,0.05706196,0.03683673,0.07000000,0.00366300,0.04375614,-0.03215880,0.03771529,-0.01506970,-0.52534413,0.38397244,0.05705692,-0.03740142,0.00122106,-0.03064439,
190,-0.03574185,0.04918795,10.45237064,6.00000000,-0.04833984,0.06767578,0.03311977,0.18354842,0.03138486,0.07000000,0.00366300,0.05206624,-0.05987055,0.06663091,-0.01350248,-0.74874628,0.58119464,0.18351491,-0.07013678,0.00122106,-0.03678336,
197,0.50295353,0.03362564,8.71896839,5.00000000,-0.08701172,0.11279297,0.03646667,0.31122273,0.03542411,0.07000000,0.00366300,0.05976138,-0.06882139,0.07673128,-0.01282733,-1.13620937,0.94247782,0.31146270,-0.08624561,0.00122106,-0.05573772,
206,-1.13348329,-0.38296545,10.45356750,6.00000000,-0.10957031,0.14018555,0.00750022,0.40353560,0.05314061,0.07000000,0.00366300,-0.04822300,0.12991504,-0.13663836,-0.01253163,-1.21823990,1.37881017,0.40292698,0.05599768,0.00122106,-0.06752628,
214,-0.28713304,-0.22255394,9.08767605,6.00000000,0.17563477,-0.22558594,-0.10198414,0.63589680,0.04780888,0.07000000,0.00366300,0.01916483,0.08605451,-0.08369620,-0.01240118,-0.38571778,0.32463124,0.63611287,-0.03645724,0.00122106,0.02223302,
222,4.01764154,0.80814987,4.45968390,6.00000000,0.11762695,-0.14663085,0.04932596,0.32281715,0.04611691,0.07000000,0.00366300,0.04809675,-0.23999999,0.23999999,-0.01234344,0.67718774,-0.83601272,0.32764235,-0.30688161,0.00122106,0.08072352,
230,2.03404546,0.00609232,7.40096045,6.00000000,-0.33837891,0.40605468,-0.16671529,-0.03171353,0.02107275,0.07000000,0.00366300,-0.06843273,-0.20937759,0.19969390,-0.01231786,-0.73478359,0.96167642,-0.03029537,-0.13638528,0.00122106,-0.06366888,
238,-4.92949009,-1.31550705,19.02959824,6.00000000,-0.30615234,0.36899415,0.16293401,0.13035038,0.04849857,0.07000000,0.00366300,-0.15126292,0.23999999,-0.23999999,-0.01230651,-1.94778740,2.44346094,0.13086054,0.26039642,0.00122106,-0.15563564,
246,-0.24284029,-0.67984647,12.35336685,6.00000000,0.33032227,-0.40927735,-0.06875901,0.98752218,-0.07654698,0.07000000,0.00366300,0.05394354,-0.10681496,0.11414330,-0.01230148,-1.18158782,1.01578164,0.98742867,-0.21161196,0.00122106,-0.00974040,
