TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
550,-0.53253871,-0.19023222,9.68024063,6.00000000,0.00000000,-0.00322266,0.00279097,-0.07884611,-0.05883918,0.07000000,0.00549451,-0.00149713,0.23999999,-0.23999999,-0.01229746,0.00000000,0.00000000,-0.07888096,0.26741377,0.00122106,-0.00504895,
558,-0.73006034,-0.18304960,9.69221115,6.00000000,0.34965819,-0.42216796,0.00142289,-0.08211169,-0.06233532,0.07000000,0.00549451,0.08348341,0.15009132,-0.13972223,-0.01229746,1.19904113,-1.48352981,-0.08207174,0.07325530,0.00122106,0.09506103,
566,3.18445945,-0.22973654,5.84472942,6.00000000,0.22075196,-0.24169922,0.07260876,-0.47571170,-0.06535584,0.07000000,0.00549451,0.30435014,-0.13170530,0.17174663,-0.01229746,2.49058485,-3.46622396,-0.47631511,-0.12363900,0.00122106,0.19121806,
574,2.26628304,-0.31233650,8.02105904,6.00000000,-0.17563477,0.28198242,-0.06511461,-0.98260885,-0.06336364,0.07000000,0.00549451,0.08361313,-0.23999999,0.23999999,-0.01229746,1.78721714,-2.06297922,-0.98350370,-0.09457754,0.00122106,0.07015383,
581,-4.96061468,-0.67745227,19.34563255,5.00000000,-0.34160155,0.42700195,-0.25118750,-1.00062716,-0.02529006,0.07000000,0.00549451,-0.19883406,0.23999999,-0.23999999,-0.01229746,0.72431165,-0.07853982,-0.98802221,0.37649217,0.00122106,-0.04295927,
590,-1.72125983,1.68083644,11.40047455,6.00000000,0.33999023,-0.40444335,-0.14768562,-0.03320008,-0.05846090,0.07000000,0.00549451,-0.07086610,-0.10578028,0.09521929,-0.01229746,1.04545224,-0.81855947,-0.03512853,-0.10191810,0.00122106,0.06756157,
598,3.65132880,-0.09326705,0.25905681,6.00000000,-0.13696289,0.16435547,0.33043689,-0.20069064,-0.14540376,0.07000000,0.00549451,0.21764678,-0.23999999,0.23999999,-0.01229746,0.73129296,-1.42244339,-0.20104307,-0.21827084,0.00122106,0.06770296,
606,-2.97342730,-0.42486399,6.21822500,6.00000000,-0.34804687,0.42216796,0.07644216,-0.11961101,-0.23775305,0.07000000,0.00549451,0.02657452,0.14637044,-0.14331037,-0.01229746,-1.32121420,1.21649444,-0.12200783,0.14293844,0.00122106,-0.10895383,
614,-3.59352565,0.41909212,9.72692776,6.00000000,0.19335937,-0.22719726,0.10471991,0.44957840,-0.10286903,0.07000000,0.00549451,-0.03281195,0.23999999,-0.23999999,-0.01229746,-1.03498018,1.13970006,0.44951314,0.14378051,0.00122106,-0.04928976,
622,1.07995617,-0.96954489,2.98365831,6.00000000,0.34965819,-0.41249999,-0.14465076,0.76008946,-0.08124220,0.07000000,0.00549451,0.16735961,0.23999999,-0.22083867,-0.01229746,0.80983281,-1.37182879,0.72424096,0.02249239,0.00122106,0.13837050,
