TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
1380,0.57358247,-0.03580621,9.69819736,4.00000000,-0.00161133,0.00000000,0.00002663,-0.01699636,-0.00939857,0.07000000,0.00549451,0.00000000,-0.01065073,0.00990045,-0.06422273,0.00000000,0.00000000,-0.01699636,-0.06877014,0.00122106,-0.00129512,
1388,0.59393322,-0.07531054,9.75565815,4.00000000,-0.02094727,0.01289062,0.00055955,-0.02405762,-0.01126381,0.07000000,0.00549451,-0.00216251,-0.06150320,0.06045714,-0.02890287,0.00000000,0.00698132,-0.02405762,-0.06911650,0.00122106,-0.00209918,
1396,0.68730706,-0.04658011,9.68024063,4.00000000,-0.09667969,0.10795899,0.00242479,-0.02459054,-0.00899888,0.07000000,0.00549451,-0.05730640,-0.09136360,0.08286379,-0.01885183,-0.22689280,0.41189772,-0.02459054,-0.07030118,0.00122106,-0.02621172,
1404,-0.54331261,-0.28360608,10.59123421,4.00000000,-0.13857421,0.14501953,-0.03621227,0.10451053,-0.01446136,0.07000000,0.00549451,-0.07136270,-0.06637391,0.05606557,-0.01506970,-0.59864789,0.82903141,0.10451053,-0.05733515,0.00122106,-0.04643088,
1412,-0.69893575,0.41071242,10.14710999,4.00000000,-0.10312500,0.10473633,-0.04740368,0.29902816,-0.04963440,0.07000000,0.00549451,-0.09785338,-0.03373105,0.01991703,-0.01350248,-0.81332338,1.12922800,0.29902816,-0.05343032,0.00122106,-0.05122526,
1420,0.34852752,0.08988938,8.41610241,4.00000000,-0.05156250,0.04028320,0.03773108,0.43585664,-0.08867116,0.07000000,0.00549451,0.00108126,-0.01288474,0.01259119,-0.01282733,-1.03672564,1.03323495,0.43585664,-0.06130815,0.00122106,-0.04565322,
1428,0.30423480,0.10186039,8.95719147,4.00000000,-0.02094727,0.03383789,0.08356262,0.44464990,-0.12237867,0.07000000,0.00549451,0.03784385,0.00103804,0.00365249,-0.01253163,-0.95818579,0.83601272,0.44464990,-0.05736308,0.00122106,-0.03447664,
1436,0.62864912,-0.62597692,9.25048161,4.00000000,-0.00161133,0.00644531,0.12499754,0.43252587,-0.08307545,0.07000000,0.00549451,0.00486566,-0.00010677,0.00028258,-0.01240118,-0.78016222,0.76445419,0.43252587,-0.05763908,0.00122106,-0.02589142,
1444,0.83455044,-0.57091027,10.29794502,4.00000000,0.00000000,0.00000000,-0.02568701,0.30449063,-0.01579367,0.07000000,0.00549451,-0.10380027,-0.02505961,0.01036492,-0.01234344,-0.37873647,0.71383971,0.30449063,-0.05674770,0.00122106,-0.01842497,
1452,1.20086336,-0.38057125,10.41406345,4.00000000,-0.04028320,0.01611328,-0.12534396,0.16593014,0.05175457,0.07000000,0.00549451,-0.10650340,-0.05505816,0.03994670,-0.01231786,-0.32637659,0.67020649,0.16593014,-0.05894709,0.00122106,-0.02532594,
1460,0.60710132,0.50049496,10.99345970,4.00000000,-0.08540039,0.07250977,-0.12441136,0.07972953,0.04629209,0.07000000,0.00549451,-0.08866274,-0.06662814,0.05394169,-0.01230651,-0.47996554,0.76619959,0.07972953,-0.05240936,0.00122106,-0.04140351,
1468,0.14980878,0.24790670,10.34463120,4.00000000,-0.10151367,0.09990235,-0.01542820,0.13648604,-0.01432813,0.07000000,0.00549451,0.02649070,-0.04881305,0.05186516,-0.01230148,-0.92502451,0.83950335,0.13648604,-0.04735795,0.00122106,-0.05682827,
1476,-0.55288941,0.53281671,9.82389259,4.00000000,-0.07573242,0.09667969,0.08089800,0.20536660,-0.09386718,0.07000000,0.00549451,0.02757193,-0.02432341,0.02755031,-0.01229924,-0.97040302,0.88139129,0.20536660,-0.03880915,0.00122106,-0.05490443,
1484,0.04566101,-0.41887847,8.49750519,4.00000000,-0.03867187,0.05478515,0.18108790,0.27544621,-0.09986259,0.07000000,0.00549451,0.03514072,-0.01406619,0.01833810,-0.01229826,-0.94771379,0.83426738,0.27544621,-0.04298536,0.00122106,-0.04690449,
1492,0.09115084,-0.23332785,8.36702061,4.00000000,-0.01772461,0.03706055,0.04545850,0.27451360,-0.07454865,0.07000000,0.00549451,-0.00054061,-0.01067122,0.01006411,-0.01229781,-0.76794487,0.76969016,0.27451360,-0.04156088,0.00122106,-0.03766596,
1500,0.10791025,-0.42366689,9.07570457,4.00000000,-0.01772461,0.01450195,0.01241714,0.28690413,0.00192609,0.07000000,0.00549451,-0.02432820,-0.00438408,0.00052829,-0.01229762,-0.64926249,0.72780234,0.28690413,-0.03959476,0.00122106,-0.03060408,
1508,0.32817680,-0.51225233,10.05493355,4.00000000,-0.00644531,-0.00483398,-0.07618164,0.23161316,0.06148045,0.07000000,0.00549451,-0.04703448,-0.01113290,0.00413526,-0.01229753,-0.41189772,0.56374133,0.23161316,-0.04000088,0.00122106,-0.01952293,
1516,1.10988367,-0.03221490,10.29555035,4.00000000,-0.01611328,0.00805664,-0.12108058,0.11463611,0.07880051,0.07000000,0.00549451,-0.07082205,-0.04515455,0.03488054,-0.01229750,-0.35255653,0.58119464,0.11463611,-0.04665158,0.00122106,-0.02684065,
1524,0.57837087,0.37958780,10.71453571,4.00000000,-0.06928711,0.06284180,-0.07778041,0.02763611,0.04362746,0.07000000,0.00549451,-0.03135631,-0.05357160,0.04865013,-0.01229747,-0.44505897,0.54628801,0.02763611,-0.04110661,0.00122106,-0.03566445,
1532,0.04326681,0.56513840,10.58165741,4.00000000,-0.08540039,0.09023438,0.00788728,0.01577853,-0.01366197,0.07000000,0.00549451,0.00973126,-0.05080780,0.05150061,-0.01229746,-0.65100777,0.61959189,0.01577853,-0.03600912,0.00122106,-0.04720752,
1540,-0.07883748,0.59386885,9.72333622,4.00000000,-0.08217774,0.09829102,0.05824869,0.05521498,-0.07801266,0.07000000,0.00549451,0.04433136,-0.04180370,0.04723750,-0.01229746,-0.81681406,0.67369705,0.05521498,-0.03439190,0.00122106,-0.05258109,
1548,-0.17221135,-0.24769306,9.30554771,4.00000000,-0.06445312,0.09990235,0.15337579,0.10917363,-0.08414130,0.07000000,0.00549451,0.03135634,-0.03180597,0.03550278,-0.01229746,-0.87615532,0.77492619,0.10917363,-0.03256622,0.00122106,-0.05458717,
1556,-0.10517370,-0.67984647,8.51905251,4.00000000,-0.04833984,0.06767578,0.05331913,0.18458252,-0.06921940,0.07000000,0.00549451,0.00540627,-0.01856352,0.01875656,-0.01229746,-0.87615532,0.85870200,0.18458252,-0.03185314,0.00122106,-0.05203288,
1564,-0.38050690,-0.40930167,8.85304356,4.00000000,-0.02578125,0.03061523,-0.00889985,0.21322723,-0.01979061,0.07000000,0.00549451,-0.05676576,-0.00734077,-0.00093913,-0.01229746,-0.67718774,0.86044729,0.21322723,-0.02725701,0.00122106,-0.04233598,
