TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
620,-0.19375916,-0.13636267,9.68383217,4.00000000,0.00483398,-0.00161133,-0.00317091,-0.08267936,-0.01925768,0.13777778,0.00549451,0.00000000,0.03264990,-0.03352020,-0.00983938,0.00000000,0.00000000,-0.08267936,0.02153288,0.00122106,-0.00630017,
628,-0.33142576,-0.14474238,9.49588680,4.00000000,0.05800781,-0.05800781,-0.00290446,-0.08281259,-0.02059000,0.13777778,0.00549451,0.01567817,0.03964161,-0.03843387,-0.00983938,0.10646509,-0.15707964,-0.08281259,0.02242484,0.00122106,0.00373074,
636,0.02531029,-0.14713658,9.58327579,4.00000000,0.06767578,-0.06445312,0.00855343,-0.14369926,-0.01206320,0.13777778,0.00549451,0.03946572,0.01849063,-0.01401548,-0.00983938,0.12915437,-0.25656340,-0.14369926,0.01763730,0.00122106,0.00374596,
644,-0.04651576,-0.22135684,9.82030106,4.00000000,0.03706055,-0.02255859,0.01188421,-0.13956910,0.00325840,0.13777778,0.00549451,0.05406263,0.01795219,-0.01146570,-0.00983938,0.04014257,-0.21467550,-0.13956910,0.01737018,0.00122106,-0.00092660,
652,-0.42839092,-0.21776554,10.20935917,4.00000000,0.03383789,-0.01450195,-0.00756754,-0.12158287,0.02310985,0.13777778,0.00549451,0.05838765,0.02701620,-0.01995177,-0.00983938,0.00000000,-0.18849556,-0.12158287,0.02021472,0.00122106,-0.00208293,
660,-0.17819685,-0.09446415,9.43962288,4.00000000,0.04995117,-0.03383789,-0.00983247,-0.09826742,0.05455243,0.13777778,0.00549451,0.05406263,0.02738203,-0.02089827,-0.00983938,0.00000000,-0.17453292,-0.09826742,0.01720112,0.00122106,-0.00083827,
668,-0.14587513,-0.13277137,9.36899471,4.00000000,0.05317383,-0.03383789,-0.02582023,-0.12704536,0.06947432,0.13777778,0.00549451,0.07028143,0.01961673,-0.01091787,-0.00983938,0.00523599,-0.23212880,-0.12704536,0.01595574,0.00122106,-0.00063726,
676,-0.08482298,-0.00827289,9.61918831,4.00000000,0.04189453,-0.01933594,-0.02941747,-0.10732713,0.06281276,0.13777778,0.00549451,0.04487199,0.01847363,-0.01320961,-0.00983938,-0.01745329,-0.12740904,-0.10732713,0.01450790,0.00122106,-0.00398901,
684,-0.15545194,-0.08847864,9.64672184,4.00000000,0.03544922,-0.02578125,-0.00743432,-0.07202086,0.06161369,0.13777778,0.00549451,0.03514071,0.02682673,-0.02289511,-0.00983938,-0.02617994,-0.08726646,-0.07202086,0.01471887,0.00122106,-0.00316059,
692,-0.09200559,0.03123144,9.51863194,4.00000000,0.04672851,-0.04189453,-0.02981716,-0.06695807,0.01165197,0.13777778,0.00549451,0.04216886,0.02790776,-0.02303052,-0.00983938,0.00000000,-0.13613568,-0.06695807,0.01359202,0.00122106,0.00008456,
