TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
302,-0.52344787,-0.14760111,9.79687309,6.00000000,-0.00322266,-0.00483398,-0.00150234,-0.03026360,0.00379130,0.19999999,0.00366300,0.00000026,0.12121797,-0.12033775,-0.04231514,0.00000000,0.00000000,-0.03027597,0.06275773,0.00122106,-0.00230697,
310,-1.04538381,-0.07098667,9.31324387,6.00000000,0.17402343,-0.21752930,-0.00070295,-0.02560050,0.00046052,0.19999999,0.00366300,0.01193768,0.12932146,-0.12728190,-0.04231514,0.59341192,-0.63180918,-0.02556572,0.06284378,0.00122106,0.04472916,
318,1.04954267,-0.27688801,7.98206758,6.00000000,0.19335937,-0.23203126,0.00529245,-0.28340298,0.01085255,0.19999999,0.00366300,0.01459453,0.08414035,-0.08266618,-0.04231514,1.13970006,-1.18682384,-0.28338110,0.05600059,0.00122106,0.06705130,
326,-0.54978406,-0.08774608,10.64202595,6.00000000,0.12890625,-0.14501953,-0.06079026,-0.38745654,-0.00167118,0.19999999,0.00366300,0.05946128,0.07282992,-0.06738406,-0.04231514,1.68075216,-1.87273836,-0.38740933,0.05370596,0.00122106,0.10586396,
333,-1.81631672,0.13252048,12.90215206,5.00000000,0.10634766,-0.12729493,-0.06172286,-0.56771845,0.02644061,0.19999999,0.00366300,0.03732728,0.04505121,-0.04223644,-0.04231514,2.01760054,-2.13802838,-0.56755304,0.05378666,0.00122106,0.11508096,
342,-0.40613195,-0.31519523,11.74335861,6.00000000,0.07573242,-0.08056641,-0.04919913,-0.73905379,0.13076068,0.19999999,0.00366300,-0.02805057,0.00821282,-0.01220467,-0.04231514,2.17642546,-2.08566856,-0.73897302,0.04910650,0.00122106,0.10607930,
350,-0.26726827,-0.01352582,10.56062317,6.00000000,0.01933594,-0.01933594,-0.10822058,-0.75037849,0.05015577,0.19999999,0.00366300,-0.00432442,-0.00091439,-0.00092238,-0.04231514,2.10835791,-2.09439516,-0.75033379,0.04241976,0.00122106,0.10294931,
358,-0.38218996,0.24265376,8.46090794,6.00000000,0.00161133,-0.01127930,0.01022201,-0.65298641,0.04842376,0.19999999,0.00366300,0.05783005,0.00916134,-0.00484447,-0.04231514,1.81514239,-2.00189257,-0.65308297,0.03654816,0.00122106,0.09566350,
366,-0.48514062,-0.20985036,7.77616644,6.00000000,0.01772461,-0.00644531,0.03860026,-0.51269388,0.02684030,0.19999999,0.00366300,0.01677062,0.02308215,-0.02235744,-0.04231514,1.73136652,-1.78547192,-0.51280820,0.03167143,0.00122106,0.09491527,
374,-0.33909431,0.18519291,7.28296089,6.00000000,0.04189453,-0.03867187,-0.00509958,-0.39105380,-0.05962677,0.19999999,0.00366300,0.15024266,0.04407844,-0.03027762,-0.04231514,1.41371667,-1.89891827,-0.39126557,0.02781554,0.00122106,0.09640083,
382,-0.14516398,-0.37505028,8.72187614,6.00000000,0.06284180,-0.06606445,0.05645324,-0.33283174,-0.03484576,0.19999999,0.00366300,0.03355423,0.04465862,-0.04190229,-0.04231514,1.63362813,-1.74183869,-0.33281648,0.02460889,0.00122106,0.10324407,
390,0.00806493,-0.62404728,10.94130135,6.00000000,0.06767578,-0.07895508,-0.03973971,-0.35294965,0.07840079,0.19999999,0.00366300,-0.02001038,0.03522798,-0.03768974,-0.04231514,1.68773329,-1.62315619,-0.35295302,0.02201419,0.00122106,0.09925248,
398,0.18284166,0.11097267,11.81518459,6.00000000,0.06606445,-0.06445312,-0.16630939,-0.42875823,-0.03164821,0.19999999,0.00366300,-0.02431579,0.01746922,-0.02060404,-0.04231514,1.63711894,-1.55857909,-0.42867810,0.01845645,0.00122106,0.08908978,
405,0.17805324,0.06069443,11.75293541,5.00000000,0.02739258,-0.04511719,-0.00563250,-0.48178428,0.03163663,0.19999999,0.00366300,0.03946514,0.00433941,-0.00158410,-0.04231514,1.42418861,-1.55159771,-0.48169845,0.01332968,0.00122106,0.07667205,
414,-0.03263650,-0.29604164,10.64920807,6.00000000,0.00805664,-0.00805664,0.03073962,-0.45327279,0.05295362,0.19999999,0.00366300,-0.04269822,-0.00179788,-0.00328445,-0.04231514,1.38404620,-1.24616516,-0.45323911,0.00915053,0.00122106,0.06566976,
422,-0.22417264,0.16603930,8.99481487,6.00000000,0.00000000,-0.00322266,-0.02068764,-0.38146117,-0.04097440,0.19999999,0.00366300,-0.00811390,0.00558131,-0.00718872,-0.04231514,1.10479343,-1.07861352,-0.38146290,0.00595086,0.00122106,0.05412311,
430,0.09904459,-0.19548516,7.75461864,6.00000000,0.01289062,-0.00644531,-0.00083619,-0.26195273,-0.07201728,0.19999999,0.00366300,0.04971610,0.02375465,-0.01952294,-0.04231514,0.92502451,-1.08559477,-0.26208967,0.00295241,0.00122106,0.05662937,
438,0.23311989,0.04154082,7.58702469,6.00000000,0.04028320,-0.03222656,0.07803671,-0.15550098,-0.00233734,0.19999999,0.00366300,-0.00972616,0.03423678,-0.03543158,-0.04231514,0.96516705,-0.93375117,-0.15550441,-0.00022089,0.00122106,0.06049909,
446,0.00806493,-0.09253448,9.43295383,6.00000000,0.04995117,-0.06767578,0.00089581,-0.09341520,-0.04470488,0.19999999,0.00366300,0.03624195,0.04514509,-0.04177743,-0.04231514,0.87266463,-0.98960167,-0.09342181,-0.00144946,0.00122106,0.06383296,
454,0.07510258,-0.72699791,11.21184635,6.00000000,0.06445312,-0.08217774,-0.08317310,-0.13858061,-0.01272938,0.19999999,0.00366300,-0.04000040,0.03295480,-0.03702613,-0.04231514,1.00530958,-0.87615532,-0.13859534,-0.00233146,0.00122106,0.06112121,
462,0.44380963,-0.07338087,11.80321407,6.00000000,0.05317383,-0.07412110,-0.05159728,-0.21718705,0.08666114,0.19999999,0.00366300,-0.11517886,0.01510841,-0.02661128,-0.04231514,1.11526537,-0.74351025,-0.21715051,-0.00313830,0.00122106,0.05427045,
470,0.31931114,0.23547116,11.54224586,6.00000000,0.02739258,-0.05156250,-0.06731859,-0.28566790,-0.02925005,0.19999999,0.00366300,-0.04703561,0.00294922,-0.00815447,-0.04231514,0.90233523,-0.75049156,-0.28563610,-0.00555600,0.00122106,0.04120790,
477,-0.14276978,-0.20506196,9.96446705,5.00000000,0.01127930,-0.01289062,-0.01122823,-0.26568320,-0.09453336,0.19999999,0.00366300,0.03356541,0.00674303,-0.00419719,-0.04231514,0.64926249,-0.75747293,-0.26556388,-0.00731990,0.00122106,0.03335742,
486,-0.35106534,-0.00155482,8.61413670,6.00000000,0.01127930,-0.00161133,0.17129858,-0.16642593,-0.05509691,0.19999999,0.00366300,0.06922552,0.02390696,-0.01766909,-0.04231514,0.53058010,-0.75398225,-0.16637546,-0.00769849,0.00122106,0.03626536,
494,0.13495761,-0.47800094,7.40745926,6.00000000,0.04028320,-0.03222656,0.10121895,-0.08328962,-0.05243228,0.19999999,0.00366300,0.13943303,0.03903878,-0.02585980,-0.04231514,0.37175512,-0.82205003,-0.08335298,-0.00905320,0.00122106,0.03913335,
502,0.15650544,-0.69108492,8.30528545,6.00000000,0.05639648,-0.04995117,-0.06065702,-0.01973833,-0.00473550,0.19999999,0.00549451,-0.00864707,0.04237305,-0.04337300,-0.04231514,0.68765974,-0.65973443,-0.01974911,-0.00976190,0.00122106,0.04983194,
510,0.41986760,-0.20745616,10.01953316,6.00000000,0.05961914,-0.08701172,-0.09023435,-0.03945656,0.14554934,0.19999999,0.00549451,-0.13248491,0.03175735,-0.04468497,-0.04231514,0.90582591,-0.47822019,-0.03943868,-0.01103366,0.00122106,0.04973530,
518,0.20438947,0.02717561,11.74335861,6.00000000,0.04672851,-0.08217774,-0.19868457,-0.09208289,0.06867491,0.19999999,0.00549451,-0.12268492,0.02307695,-0.03521867,-0.04231514,0.87440991,-0.47822019,-0.09206223,-0.01119944,0.00122106,0.04451327,
526,-0.03263650,-0.06140986,12.21980476,6.00000000,0.03383789,-0.07573242,-0.09969378,-0.16216254,-0.00300350,0.19999999,0.00549451,-0.07515279,0.01289504,-0.02069044,-0.04231514,0.76096350,-0.51836282,-0.16213638,-0.01152470,0.00122106,0.03638650,
534,0.19241846,0.18758711,10.79764938,6.00000000,0.02255859,-0.04350586,0.12147009,-0.19147339,-0.03751039,0.19999999,0.00366300,0.00107752,0.00913599,-0.00955857,-0.04231514,0.53930676,-0.54279739,-0.19147709,-0.01283099,0.00122106,0.02663926,
542,0.23790829,0.06308863,8.87031651,6.00000000,0.01611328,-0.01772461,0.11294329,-0.15163729,-0.19552264,0.19999999,0.00366300,0.08218758,0.01625209,-0.00882611,-0.04231514,0.35604715,-0.62133718,-0.15158331,-0.01523875,0.00122106,0.02568282,
549,0.13495761,-0.16675474,8.25261307,5.00000000,0.02739258,-0.01289062,0.09788816,-0.06796804,-0.17567119,0.19999999,0.00366300,0.05625609,0.02650540,-0.02133988,-0.04231514,0.31590459,-0.49741885,-0.06799805,-0.01652777,0.00122106,0.02580569,
558,-0.03503070,-0.46363574,7.93657780,6.00000000,0.03867187,-0.03706055,0.05432155,0.03621879,-0.06029293,0.19999999,0.00366300,-0.03516687,0.03944599,-0.04274085,-0.04231514,0.50963616,-0.39618975,0.03616433,-0.01695834,0.00122106,0.03727213,
566,0.13974603,-0.64798927,9.24381256,6.00000000,0.06445312,-0.07250977,-0.10342425,0.04128158,0.00046052,0.19999999,0.00366300,-0.06705860,0.03884578,-0.04517513,-0.04231514,0.53232545,-0.31590459,0.04126026,-0.01662132,0.00122106,0.03546164,
574,0.19481266,-0.23618658,10.90778255,6.00000000,0.06123047,-0.08217774,-0.11674738,0.03075631,0.06747583,0.19999999,0.00366300,-0.06868419,0.03850907,-0.04502142,-0.04231514,0.65275317,-0.43109635,0.03069603,-0.01643181,0.00122106,0.04363799,
582,0.58985597,0.15646249,11.26212406,6.00000000,0.05800781,-0.08056641,-0.01749009,-0.08888535,0.11424001,0.19999999,0.00366300,0.01893718,0.02298880,-0.02145553,-0.04231514,0.54454273,-0.60562927,-0.08885457,-0.01657174,0.00122106,0.03704978,
590,0.24269669,0.13491468,11.64519596,6.00000000,0.03383789,-0.04189453,0.00382690,-0.16309515,0.04775761,0.19999999,0.00366300,0.04162171,0.01197898,-0.00849380,-0.04231514,0.60737455,-0.74176490,-0.16307572,-0.01723442,0.00122106,0.03897576,
598,0.21636048,-0.14041851,10.69948673,6.00000000,0.01611328,-0.02578125,-0.00176881,-0.20732793,0.02111136,0.19999999,0.00366300,0.01623418,0.00024860,0.00066283,-0.04231514,0.50789082,-0.56025064,-0.20730641,-0.01855939,0.00122106,0.02489711,
606,-0.34627694,0.09181905,8.99242115,6.00000000,0.00161133,-0.00483398,0.02167989,-0.10740450,0.03523387,0.19999999,0.00366300,-0.00593297,0.01567690,-0.01659428,-0.04231514,0.45204026,-0.43284163,-0.10737928,-0.01788180,0.00122106,0.02552894,
614,-0.06615533,-0.02789103,7.97727919,6.00000000,0.02578125,-0.03222656,0.00062935,-0.04118856,-0.03497899,0.19999999,0.00366300,-0.02160795,0.02355907,-0.02579634,-0.04231514,0.32288590,-0.25307274,-0.04119126,-0.01848981,0.00122106,0.01880506,
621,0.43183863,-0.05183305,7.40745926,5.00000000,0.03706055,-0.05639648,-0.01016238,0.08564758,-0.06282432,0.19999999,0.00366300,0.00161885,0.04390657,-0.04357098,-0.04231514,0.21642081,-0.22165681,0.08564058,-0.01948400,0.00122106,0.02321315,
630,-0.00390608,0.01041619,9.46647263,6.00000000,0.06606445,-0.08217774,0.03686825,0.15239644,-0.05936031,0.19999999,0.00366300,-0.02702198,0.05551558,-0.05771860,-0.04231514,0.32114059,-0.23387411,0.15234712,-0.01846464,0.00122106,0.03275713,
638,0.38395458,-0.23379238,11.00115585,6.00000000,0.08540039,-0.11118164,0.00342721,0.08751282,-0.06655480,0.19999999,0.00366300,-0.00647121,0.04795473,-0.04836195,-0.04231514,0.38048175,-0.35953784,0.08746732,-0.01741018,0.00122106,0.03485972,
646,0.51084727,-0.12605330,12.02826881,6.00000000,0.07734375,-0.09023438,-0.01229407,-0.02959744,-0.05429753,0.19999999,0.00366300,-0.02701638,0.02895644,-0.03165457,-0.04231514,0.46774822,-0.38048175,-0.02960536,-0.01662195,0.00122106,0.03006100,
654,0.28818652,-0.14041851,11.88222218,6.00000000,0.04995117,-0.05961914,0.01888204,-0.11686391,0.00978670,0.19999999,0.00366300,-0.04868184,0.01297260,-0.01799982,-0.04231514,0.52185345,-0.36477381,-0.11685335,-0.01710419,0.00122106,0.02487608,
662,0.08946779,-0.24336919,10.28289604,6.00000000,0.02900391,-0.03383789,-0.02281936,-0.15723297,0.00245899,0.19999999,0.00366300,-0.01621518,0.00595909,-0.00800374,-0.04231514,0.38920841,-0.33684853,-0.15720776,-0.01791812,0.00122106,0.01568377,
670,-0.18825962,-0.22900398,8.70990467,6.00000000,0.01450195,-0.01289062,0.00382690,-0.09621307,0.01138548,0.19999999,0.00366300,0.02377521,0.01456331,-0.01263571,-0.04231514,0.26703537,-0.34382987,-0.09624798,-0.02031006,0.00122106,0.01594057,
678,-0.07812633,-0.23618658,7.51759291,6.00000000,0.02578125,-0.01933594,0.04606121,0.01729996,0.06321243,0.19999999,0.00366300,0.03352413,0.03404040,-0.03085112,-0.04231514,0.21642081,-0.32463124,0.01725819,-0.01994571,0.00122106,0.02192955,
686,0.07031417,-0.07816927,8.02516365,6.00000000,0.05317383,-0.04995117,-0.01282699,0.09390792,0.03829819,0.19999999,0.00366300,0.07784744,0.04983443,-0.04218132,-0.04231514,0.20943952,-0.46076691,0.09389516,-0.01981484,0.00122106,0.03268928,
693,0.36001259,-0.10689969,9.28690815,5.00000000,0.07573242,-0.07734375,-0.03014706,0.09870425,0.03456771,0.19999999,0.00366300,0.10917906,0.05419941,-0.04352459,-0.04231514,0.27576202,-0.62831855,0.09869397,-0.01916755,0.00122106,0.04196657,
702,0.27382132,-0.36547348,11.81997299,6.00000000,0.08056641,-0.08056641,0.00569215,0.01516826,0.11050952,0.19999999,0.00366300,0.10757362,0.04239570,-0.03210278,-0.04231514,0.39618975,-0.74351025,0.01516134,-0.01838804,0.00122106,0.04457859,
710,0.56830812,-0.35589665,12.36824512,6.00000000,0.06123047,-0.06445312,-0.02388521,-0.11100174,0.13142683,0.19999999,0.00366300,0.01844454,0.01527938,-0.01389469,-0.04231514,0.51487213,-0.57421333,-0.11106021,-0.01959943,0.00122106,0.03303058,
718,0.30255175,-0.10929389,11.75293541,6.00000000,0.02094727,-0.03706055,-0.06665243,-0.18641062,0.13848810,0.19999999,0.00366300,0.00546603,-0.00019109,0.00010310,-0.04231514,0.45902157,-0.47647488,-0.18639712,-0.02079138,0.00122106,0.02143780,
726,-0.17868280,0.04393502,9.88545799,6.00000000,0.00000000,-0.00644531,-0.05292960,-0.15989761,0.10637935,0.19999999,0.00366300,-0.05025669,-0.00174499,-0.00362281,-0.04231514,0.42760566,-0.26529005,-0.15989731,-0.02242088,0.00122106,0.01420834,
734,0.02961274,0.29293200,7.73785925,6.00000000,-0.00161133,-0.00966797,-0.00669836,-0.05864185,0.01218486,0.19999999,0.00366300,-0.00487603,0.01487247,-0.01561716,-0.04231514,0.21293017,-0.19722220,-0.05865946,-0.02320595,0.00122106,0.01115708,
742,-0.00630028,-0.00634322,7.07945395,6.00000000,0.01772461,-0.02578125,0.04805968,0.08271649,-0.10279369,0.19999999,0.00366300,0.08323451,0.04185322,-0.03376471,-0.04231514,0.03665191,-0.30543262,0.08268242,-0.02362726,0.00122106,0.01933933,
750,-0.02784810,-0.09253448,8.07544136,6.00000000,0.06123047,-0.06284180,0.12147009,0.16851741,-0.09346751,0.19999999,0.00366300,0.04430915,0.05680443,-0.05217815,-0.04231514,0.16231562,-0.30543262,0.16860223,-0.02211967,0.00122106,0.03066501,
758,0.41986760,-0.31758943,10.23740578,6.00000000,0.08217774,-0.09667969,0.04113166,0.13507637,-0.09106934,0.19999999,0.00366300,0.02213470,0.05249536,-0.05007811,-0.04231514,0.33510324,-0.40666169,0.13504311,-0.02138862,0.00122106,0.03855158,
765,0.51802987,-0.29604164,11.91813564,5.00000000,0.08056641,-0.09023438,-0.06412104,0.01956489,-0.06881973,0.19999999,0.00366300,-0.04654021,0.03178859,-0.03627073,-0.04231514,0.58293998,-0.43284163,0.01959695,-0.02105483,0.00122106,0.04019539,
774,0.19002426,-0.29125321,13.11044788,6.00000000,0.05478515,-0.06606445,-0.03054677,-0.13071996,0.04282805,0.19999999,0.00366300,-0.04921163,0.00714544,-0.01230789,-0.04231514,0.60213858,-0.44331363,-0.13068174,-0.02071699,0.00122106,0.02987319,
782,-0.04939592,-0.22660978,11.73138809,6.00000000,0.01450195,-0.02416992,-0.02015473,-0.19240603,0.05361978,0.19999999,0.00366300,-0.02437294,-0.00310465,0.00014528,-0.04231514,0.44156829,-0.36302847,-0.19233862,-0.02059871,0.00122106,0.01599602,
790,-0.11643356,-0.14999533,9.17438030,6.00000000,0.00000000,0.00322266,0.01328632,-0.16815795,0.05415270,0.19999999,0.00366300,0.03891797,0.00129292,0.00185813,-0.04231514,0.24434610,-0.37000981,-0.16817966,-0.02198408,0.00122106,0.01059335,
798,0.19481266,-0.21224457,6.94777250,6.00000000,0.00322266,0.00161133,0.03553594,-0.04105533,0.06281274,0.19999999,0.00366300,0.05999800,0.02066396,-0.01514964,-0.04231514,0.09773844,-0.29146999,-0.04113385,-0.02333998,0.00122106,0.01169527,
806,-0.08291474,-0.09971709,7.04354095,6.00000000,0.03544922,-0.02416992,0.00835676,0.10363381,0.05348656,0.19999999,0.00366300,0.07028025,0.04656236,-0.03963740,-0.04231514,0.07853982,-0.30543262,0.10361792,-0.02228623,0.00122106,0.02252607,
814,0.39113721,-0.10211129,8.07783604,6.00000000,0.07089844,-0.06928711,-0.02601689,0.16132294,0.03789849,0.19999999,0.00366300,0.12273898,0.05988252,-0.04777041,-0.04231514,0.09948377,-0.49567351,0.16127716,-0.02227551,0.00122106,0.03496540,
822,0.66407621,-0.28167641,10.44330692,6.00000000,0.09506836,-0.09345703,-0.02055441,0.11389261,0.06028134,0.19999999,0.00366300,0.05298578,0.04913311,-0.04383813,-0.04231514,0.30019665,-0.47123891,0.11386740,-0.02261892,0.00122106,0.03806837,
830,0.16368803,-0.14760111,13.15354347,6.00000000,0.07734375,-0.08701172,-0.02681629,0.00197836,0.12130126,0.19999999,0.00366300,0.04326210,0.03228180,-0.02822236,-0.04231514,0.39968041,-0.53930676,0.00193903,-0.02146352,0.00122106,0.03592629,
837,0.55633712,-0.06140986,12.98355484,5.00000000,0.05317383,-0.05961914,-0.04613480,-0.14617477,0.06960753,0.19999999,0.00366300,0.01297835,0.00353521,-0.00281201,-0.04231514,0.33684853,-0.37873647,-0.14614497,-0.02258729,0.00122106,0.01612504,
846,0.21636048,-0.10689969,11.31479645,6.00000000,0.00644531,-0.01289062,0.00782385,-0.17481951,0.09971779,0.19999999,0.00366300,-0.00157190,-0.00485123,0.00408456,-0.04231514,0.22340214,-0.21816616,-0.17477243,-0.02376528,0.00122106,0.00350188,
854,-0.36543053,0.08703065,8.17839241,6.00000000,-0.00483398,0.00322266,0.00595861,-0.07542899,0.03496741,0.19999999,0.00366300,0.00326350,0.00738181,-0.00743593,-0.04231514,0.08901179,-0.09948377,-0.07545827,-0.02642567,0.00122106,0.00142861,
862,-0.29360449,-0.10211129,6.59821939,6.00000000,0.00966797,-0.01450195,0.02181312,0.03581910,-0.03751039,0.19999999,0.00366300,0.02920122,0.02707004,-0.02432437,-0.04231514,0.04188791,-0.13613568,0.03580421,-0.02649327,0.00122106,0.00951345,
870,0.22593728,-0.09732288,6.68919897,6.00000000,0.03706055,-0.04672851,0.04073196,0.14653425,-0.03497899,0.19999999,0.00366300,0.01672434,0.04602803,-0.04415672,-0.04231514,0.12740904,-0.18151423,0.14657296,-0.02618890,0.00122106,0.02293521,
878,0.46296325,0.15646249,9.28930187,6.00000000,0.06445312,-0.08217774,0.01888204,0.18597071,-0.05070028,0.19999999,0.00366300,0.00808237,0.05333078,-0.05217698,-0.04231514,0.27401668,-0.30019665,0.18596900,-0.02643072,0.00122106,0.03604869,
886,0.48451108,-0.25773439,11.78406048,6.00000000,0.08056641,-0.09829102,-0.04666774,0.10629843,-0.06548895,0.19999999,0.00366300,0.00111975,0.04208150,-0.04180131,-0.04231514,0.32637659,-0.32986721,0.10629149,-0.02482006,0.00122106,0.03310751,
894,0.28100392,-0.21942717,13.29959011,6.00000000,0.06284180,-0.07895508,-0.00363405,-0.02933098,0.00245899,0.19999999,0.00366300,-0.03893954,0.01945257,-0.02338247,-0.04231514,0.46600291,-0.34033921,-0.02937123,-0.02387338,0.00122106,0.02848215,
