TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
14,1.32636893,-0.28720519,9.60154152,6.00000000,-0.00161133,0.00000000,-0.00563250,0.03475325,0.00419099,0.14452380,0.01465201,0.00000155,-0.12187222,0.11918042,-0.01464835,0.00000000,0.00000000,0.03474371,-0.13455810,0.00183159,0.00264582,
21,1.36453879,-0.30148265,9.59316730,5.00000000,-0.17402343,0.20625000,-0.00962946,0.02875784,0.00539007,0.14452380,0.01465201,-0.03135998,-0.12998238,0.12421582,-0.01466550,-0.52534413,0.62657320,0.02882843,-0.13436563,0.00183159,-0.04169487,
30,0.86512125,-0.26384354,10.07311726,6.00000000,-0.19013672,0.22558594,-0.03107968,0.41246384,-0.03457930,0.14452380,0.01465201,-0.09948672,-0.08669408,0.07521096,-0.01467312,-1.01752698,1.33866751,0.41239741,-0.13399395,0.00183159,-0.05834670,
38,0.77665436,-0.18711960,9.95560169,6.00000000,-0.13051757,0.14340821,-0.05452839,0.58020198,-0.05562984,0.14452380,0.01465201,-0.01343231,-0.06160085,0.05890378,-0.01467649,-1.88495564,1.92858887,0.58021462,-0.12876473,0.00183159,-0.10108683,
46,0.90167099,-0.16667970,9.53084850,6.00000000,-0.09829102,0.10634766,0.06311481,0.72049445,-0.05376460,0.14452380,0.01465201,0.00918093,-0.03841281,0.03829476,-0.01467799,-2.17293501,2.14326429,0.72052938,-0.12352642,0.00183159,-0.10954420,
54,0.92944729,-0.31191814,9.33518696,6.00000000,-0.05639648,0.07089844,0.09309184,0.73541635,0.02883877,0.14452380,0.01465201,-0.05729399,-0.03396698,0.02750081,-0.01467865,-2.16246295,2.34746790,0.73542905,-0.11716160,0.00183159,-0.11578695,
62,0.92423511,-0.43952659,9.30433178,6.00000000,-0.05800781,0.06606445,-0.05572748,0.82641333,-0.02325465,0.14452380,0.01465201,0.00054851,-0.01123839,0.01067485,-0.01467895,-2.15548158,2.15373635,0.82641691,-0.11105296,0.00183159,-0.10120957,
70,0.91381842,-0.39003032,9.44076633,6.00000000,-0.01933594,0.01772461,-0.03334461,0.70277470,0.03896435,0.14452380,0.01465201,0.00866676,-0.01886520,0.01887862,-0.01467908,-2.00538325,1.97745812,0.70277148,-0.10418407,0.00183159,-0.09819395,
78,1.00695789,-0.42981920,9.68107605,6.00000000,-0.02578125,0.03706055,0.04326335,0.58459860,0.10118334,0.14452380,0.01465201,-0.02979900,-0.03038896,0.02645402,-0.01467914,-1.88844621,1.98443925,0.58464229,-0.09850287,0.00183159,-0.10300361,
86,0.94722712,-0.50489503,9.93226719,6.00000000,-0.05156250,0.05639648,-0.06225580,0.56501359,0.03789849,0.14452380,0.01098901,0.05676655,-0.02179438,0.02662923,-0.01467916,-1.83783174,1.65457213,0.56502771,-0.09384548,0.00183159,-0.09000413,
93,0.89805061,-0.41870689,9.99403477,5.00000000,-0.03383789,0.04833984,0.01541803,0.49320197,0.05841611,0.14452380,0.01098901,0.09081630,-0.02464616,0.03266780,-0.01467918,-1.83608627,1.54287112,0.49318779,-0.08934113,0.00183159,-0.09115638,
102,0.73949480,-0.39887848,9.96309090,6.00000000,-0.03544922,0.05961914,0.06391419,0.44097531,0.06907461,0.14452380,0.01098901,0.05731084,-0.02834825,0.03304213,-0.01467919,-1.70169604,1.51669109,0.44095480,-0.08528236,0.00183159,-0.08902159,
110,0.65413970,-0.37052986,9.73783779,6.00000000,-0.04672851,0.06928711,-0.01322669,0.44590488,0.03669942,0.14452380,0.01098901,0.12810729,-0.01948651,0.03111009,-0.01467919,-1.76103723,1.34739411,0.44592422,-0.08133075,0.00183159,-0.08445295,
118,0.58737069,-0.25747108,9.45780563,6.00000000,-0.03061523,0.06445312,0.04219750,0.43018359,0.09239008,0.14452380,0.01098901,0.04433233,-0.01931942,0.02282841,-0.01467919,-1.43291533,1.28979838,0.43024501,-0.07711874,0.00183159,-0.07094742,
126,0.53353131,-0.29214677,9.32730675,6.00000000,-0.02900391,0.04189453,0.01381925,0.37222800,0.11970247,0.14452380,0.01098901,0.07189118,-0.02059954,0.02669886,-0.01467919,-1.42942464,1.19729578,0.37226155,-0.07253341,0.00183159,-0.07171199,
134,0.50204641,-0.28090724,9.42161846,6.00000000,-0.03061523,0.04672851,-0.09076726,0.36583292,0.06880815,0.14452380,0.01098901,0.06594894,-0.01647462,0.02203222,-0.01467919,-1.33517683,1.12224674,0.36582905,-0.06831851,0.00183159,-0.06575220,
142,0.43024063,-0.18248294,9.57104206,6.00000000,-0.03061523,0.03867187,0.02301221,0.34971192,0.10358150,0.14452380,0.01098901,0.05295399,-0.01573320,0.02002289,-0.01467919,-1.22696650,1.05592418,0.34969652,-0.06576189,0.00183159,-0.06033218,
150,0.33150193,-0.15191424,9.74864006,6.00000000,-0.02739258,0.04511719,0.04006580,0.26377776,0.06094750,0.14452380,0.01098901,0.08323431,-0.01990523,0.02697867,-0.01467919,-1.06290555,0.79412478,0.26381436,-0.06205662,0.00183159,-0.05064732,
158,0.38339198,-0.18086204,9.77948570,6.00000000,-0.03222656,0.05800781,0.03153902,0.15212998,0.07613587,0.14452380,0.01465201,0.10163928,-0.03014571,0.03842228,-0.01467919,-0.98087507,0.65275317,0.15213454,-0.05904274,0.00183159,-0.05064856,
165,0.35080567,-0.23861849,9.84116364,5.00000000,-0.04189453,0.07573242,-0.02375194,0.10549904,0.07546971,0.14452380,0.01465201,0.11949134,-0.03399543,0.04391179,-0.01467919,-1.01054561,0.62482786,0.10551880,-0.05745573,0.00183159,-0.05426799,
174,0.25840393,-0.24245790,9.87698841,6.00000000,-0.04995117,0.08217774,-0.03827417,0.14053887,0.04482652,0.14452380,0.01465201,0.09134488,-0.02785638,0.03515223,-0.01467919,-0.95120442,0.65624380,0.14045966,-0.05498178,0.00183159,-0.05054305,
182,0.32882258,-0.23927483,9.68489838,6.00000000,-0.04511719,0.06284180,0.06551297,0.15199675,0.13049421,0.14452380,0.01098901,0.03675184,-0.02825090,0.03064404,-0.01467919,-0.95993108,0.84124869,0.15191334,-0.05351208,0.00183159,-0.05704933,
190,0.42885712,-0.32184544,9.50446033,6.00000000,-0.04995117,0.05156250,-0.06372134,0.20608863,0.06654321,0.14452380,0.01098901,-0.01565461,-0.02207897,0.01952876,-0.01467919,-0.87790060,0.92851520,0.20607966,-0.05221863,0.00183159,-0.05311936,
198,0.47369620,-0.30752620,9.40209866,6.00000000,-0.03383789,0.03706055,-0.08690357,0.24352662,0.02124459,0.14452380,0.01098901,-0.00865444,-0.01527184,0.01350757,-0.01467919,-0.92851520,0.95644039,0.24353755,-0.05055159,0.00183159,-0.05326003,
206,0.46673179,-0.25472796,9.41839409,6.00000000,-0.02416992,0.02900391,0.03873349,0.21847913,-0.01113060,0.14452380,0.01098901,0.01836487,-0.01402217,0.01484682,-0.01467919,-0.84299403,0.78365284,0.21852922,-0.04863766,0.00183159,-0.04532342,
