TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
14,1.20037735,0.11576107,9.85433388,6.00000000,-0.00161133,0.00000000,-0.00123588,0.01476856,-0.00100503,0.19999999,0.01098901,0.00000036,-0.09414658,0.09213979,-0.04231516,0.00000000,0.00000000,0.01476586,-0.12182685,0.00183159,0.00112506,
22,1.42064393,0.10618426,10.15600300,6.00000000,-0.14018555,0.17080078,-0.00323436,0.01463533,0.00179283,0.19999999,0.01098901,0.01891504,-0.09773178,0.09752964,-0.04231516,-0.40317106,0.34208453,0.01465960,-0.12219733,0.00183159,-0.02727999,
30,0.21157207,0.13012628,10.90059948,6.00000000,-0.15468749,0.18046875,0.00742415,0.18677010,-0.02871713,0.19999999,0.01098901,0.01297420,-0.06970126,0.06943894,-0.04231516,-0.59166664,0.54977870,0.18675198,-0.12075185,0.00183159,-0.02926122,
38,0.47014585,-0.11647650,9.96207237,6.00000000,-0.11279297,0.13051757,0.01208725,0.20808710,0.03430125,0.19999999,0.01098901,-0.02323088,-0.06346487,0.05988649,-0.04231516,-0.92676979,1.00181901,0.20809959,-0.11354121,0.00183159,-0.05762070,
46,1.64330471,0.14927989,8.33880424,6.00000000,-0.09184571,0.10634766,-0.05479485,0.30841026,-0.02472019,0.19999999,0.01098901,-0.05405687,-0.05218484,0.04592291,-0.04231516,-1.08384943,1.25838232,0.30838546,-0.11497217,0.00183159,-0.06573958,
54,1.35600054,0.55390000,10.05784035,6.00000000,-0.07250977,0.08701172,-0.00763099,0.41259706,-0.05496368,0.19999999,0.01098901,-0.02704620,-0.03460278,0.03123134,-0.04231516,-1.30027032,1.38753676,0.41256136,-0.11434230,0.00183159,-0.07096818,
62,1.20037735,0.14927989,9.64124966,6.00000000,-0.05639648,0.06767578,0.05285601,0.47028619,-0.05909385,0.19999999,0.01098901,0.02648900,-0.01940912,0.02136429,-0.04231516,-1.43989658,1.35437548,0.47028348,-0.11140094,0.00183159,-0.07062873,
69,1.12615716,-0.08774608,10.11769581,5.00000000,-0.04028320,0.04350586,0.06364773,0.39261237,-0.05469722,0.19999999,0.01098901,0.03137372,-0.02697408,0.02921930,-0.04231516,-1.35961151,1.25838232,0.39262393,-0.10791209,0.00183159,-0.06982518,
78,1.41106713,-0.00873742,10.30204964,6.00000000,-0.04189453,0.04833984,0.03113931,0.33145925,-0.01552723,0.19999999,0.01098901,-0.00755698,-0.03310624,0.03149620,-0.04231516,-1.15366256,1.17809725,0.33141458,-0.10424556,0.00183159,-0.06358428,
86,0.96335143,-0.30801263,10.87905216,6.00000000,-0.04511719,0.05800781,-0.04800005,0.28322953,0.06307920,0.19999999,0.01098901,-0.06056397,-0.04050032,0.03371095,-0.04231516,-1.06290555,1.25838232,0.28317085,-0.10161698,0.00183159,-0.06686076,
94,1.23868465,0.41024786,9.66998005,6.00000000,-0.05639648,0.06606445,-0.08610418,0.26444393,0.03576680,0.19999999,0.01098901,0.00162004,-0.03897154,0.03810121,-0.04231516,-1.18333328,1.17809725,0.26444533,-0.10007279,0.00183159,-0.06982055,
102,1.01841807,0.43179569,8.84398079,6.00000000,-0.06284180,0.08217774,0.02501068,0.30374715,0.05401948,0.19999999,0.01098901,0.04161783,-0.02763016,0.03072526,-0.04231516,-1.19729578,1.06290555,0.30376816,-0.09816971,0.00183159,-0.06296746,
110,0.88434273,0.03196401,8.53273392,6.00000000,-0.04672851,0.06284180,0.03606887,0.33292481,0.03829819,0.19999999,0.01098901,0.05353869,-0.01821139,0.02256011,-0.04231516,-1.10479343,0.93200582,0.33296186,-0.09588020,0.00183159,-0.05223081,
118,0.92504418,0.20674074,9.11931324,6.00000000,-0.02739258,0.04350586,0.01381925,0.32160014,-0.00393611,0.19999999,0.01098901,0.06161971,-0.01617914,0.02130004,-0.04231516,-1.06465089,0.86568326,0.32160446,-0.09342439,0.00183159,-0.04903726,
126,0.92743838,-0.03267944,10.30204964,6.00000000,-0.02094727,0.03383789,0.02634300,0.30721116,0.03976373,0.19999999,0.01098901,-0.00053049,-0.01738738,0.01655000,-0.04231516,-0.86393797,0.86568326,0.30720446,-0.09083755,0.00183159,-0.04248692,
134,0.91546738,0.34081602,10.98439693,6.00000000,-0.02416992,0.03222656,-0.01509193,0.24765676,0.04589237,0.19999999,0.01098901,0.00267534,-0.02333609,0.02266846,-0.04231516,-0.80459678,0.79587013,0.24760735,-0.08822921,0.00183159,-0.04210765,
141,1.07587886,0.28814360,10.63244915,5.00000000,-0.03383789,0.04672851,-0.01562485,0.18343931,0.01564888,0.19999999,0.01098901,0.05461780,-0.02904596,0.03319203,-0.04231516,-0.87266463,0.69638640,0.18340763,-0.08630396,0.00183159,-0.04580543,
150,1.13094556,-0.00873742,9.86151600,6.00000000,-0.04995117,0.06284180,0.02367836,0.14666750,0.03643296,0.19999999,0.01098901,0.01837847,-0.03607637,0.03665071,-0.04231516,-0.75572753,0.69638640,0.14664993,-0.08611658,0.00183159,-0.04415076,
158,0.17326485,0.08224224,9.14086151,6.00000000,-0.05961914,0.07734375,0.02114697,0.18650363,0.06148043,0.19999999,0.01098901,0.05028151,-0.02591641,0.02966794,-0.04231516,-0.70511305,0.54279739,0.18648785,-0.08540284,0.00183159,-0.03333446,
166,0.48929948,0.00083939,9.07142925,6.00000000,-0.04350586,0.06284180,-0.01429255,0.16185586,0.01684796,0.19999999,0.01098901,-0.00484718,-0.03001029,0.02843142,-0.04231516,-0.52185345,0.53756142,0.16184863,-0.08401956,0.00183159,-0.02803080,
174,0.98729342,0.28574938,8.89186478,6.00000000,-0.04833984,0.05478515,-0.01895563,0.17224789,0.04802407,0.19999999,0.01098901,-0.00431729,-0.02606963,0.02458061,-0.04231516,-0.40142572,0.41538835,0.17228627,-0.08330666,0.00183159,-0.01799339,
182,0.70477760,0.19476973,10.64441967,6.00000000,-0.04028320,0.04833984,0.00089581,0.14027239,0.03030432,0.19999999,0.01098901,-0.00108105,-0.02871492,0.02747115,-0.04231516,-0.41015238,0.41364303,0.14024755,-0.08116318,0.00183159,-0.02070081,
190,0.77181524,0.09660745,10.81201458,6.00000000,-0.04028320,0.04995117,-0.01349317,0.12228617,-0.02245526,0.19999999,0.01098901,0.03568087,-0.02882392,0.03106114,-0.04231516,-0.48171088,0.36651915,0.12227049,-0.08013157,0.00183159,-0.02299860,
198,0.68562400,-0.09732288,10.78807259,6.00000000,-0.04189453,0.05317383,0.04539505,0.07232446,-0.00606781,0.19999999,0.01098901,0.04865434,-0.03557494,0.03893236,-0.04231516,-0.60039330,0.44331363,0.07236946,-0.07846482,0.00183159,-0.03425284,
206,0.69520080,-0.22660978,9.92615986,6.00000000,-0.05156250,0.06928711,0.03500301,0.10243472,0.00565654,0.19999999,0.01098901,-0.04108299,-0.03481244,0.02967340,-0.04231516,-0.52708948,0.65973443,0.10241887,-0.07774541,0.00183159,-0.03741052,
213,0.47254005,0.14927989,9.15043831,5.00000000,-0.04995117,0.05156250,-0.04187140,0.14680073,-0.02112295,0.19999999,0.01098901,-0.01730177,-0.02560673,0.02289114,-0.04231516,-0.68765974,0.74351025,0.14679714,-0.07610945,0.00183159,-0.04334247,
222,0.18044744,0.36715224,8.59019470,6.00000000,-0.04189453,0.04511719,-0.01655747,0.20355724,-0.01099737,0.19999999,0.01098901,-0.05408068,-0.01374646,0.00770487,-0.04231516,-0.53407073,0.70860362,0.20356321,-0.07349882,0.00183159,-0.03183530,
230,0.69280660,0.04154082,8.82243252,6.00000000,-0.03061523,0.01933594,0.00782385,0.18157408,-0.01659308,0.19999999,0.01098901,-0.01838032,-0.01272519,0.01005763,-0.04231516,-0.48345622,0.54279739,0.18160187,-0.07201710,0.00183159,-0.02526236,
238,0.52281827,0.04154082,10.01713943,6.00000000,-0.03061523,0.02416992,0.01768295,0.14267056,-0.04896827,0.19999999,0.01098901,0.06322122,-0.01031045,0.01537119,-0.04231516,-0.39269909,0.18849556,0.14269198,-0.06990340,0.00183159,-0.01127265,
246,0.84124714,-0.24576339,11.02749252,6.00000000,-0.02255859,0.03061523,0.08776259,0.01876550,0.00618946,0.19999999,0.01098901,0.08268806,-0.02782613,0.03440669,-0.04231516,-0.30194196,0.03490658,0.01879383,-0.06915899,0.00183159,-0.01140627,
254,0.80772829,-0.33195466,11.24775887,6.00000000,-0.04672851,0.06928711,0.02341189,-0.05917478,0.05628441,0.19999999,0.01098901,0.00325494,-0.04330626,0.04206222,-0.04231516,-0.06457718,0.05410520,-0.05916873,-0.06899624,0.00183159,-0.00903262,
262,0.32649374,0.29293200,10.35711575,6.00000000,-0.07895508,0.08217774,-0.06718534,-0.11220081,0.07866726,0.19999999,0.01098901,0.00919852,-0.05061672,0.04980440,-0.04231516,-0.08377581,0.05410520,-0.11222960,-0.06786638,0.00183159,-0.01380751,
270,0.27382132,0.08224224,9.30845547,6.00000000,-0.08862305,0.09829102,-0.07517923,-0.11926207,0.08719406,0.19999999,0.01098901,0.00428632,-0.05132945,0.05003207,-0.04231516,-0.05759586,0.04363323,-0.11925244,-0.06745312,0.00183159,-0.01294126,
278,0.51563567,0.11815527,8.32922745,6.00000000,-0.08701172,0.09829102,-0.02841505,-0.05810892,0.09532116,0.19999999,0.01098901,0.00757301,-0.04237599,0.04155494,-0.04231516,-0.08028515,0.05585054,-0.05814046,-0.06846212,0.00183159,-0.00961623,
285,0.23311989,0.18279871,8.52555180,5.00000000,-0.07089844,0.08378907,-0.00469989,0.00970578,0.02497507,0.19999999,0.01098901,0.04433438,-0.02848229,0.03138277,-0.04231516,-0.14311700,0.00000000,0.00968691,-0.06777248,0.00183159,-0.00471357,
294,0.44859803,0.06548283,9.58618259,6.00000000,-0.04995117,0.06928711,0.04872584,0.02902431,-0.02032356,0.19999999,0.01098901,0.05892713,-0.02449978,0.02885439,-0.04231516,-0.17976892,-0.01047198,0.02899736,-0.06761125,0.00183159,-0.00423614,
302,0.73350805,0.17322192,10.82637978,6.00000000,-0.04028320,0.05800781,0.05978402,-0.00788074,-0.01432815,0.19999999,0.01098901,0.05462925,-0.03070144,0.03454142,-0.04231516,-0.17627826,0.00000000,-0.00788379,-0.06744462,0.00183159,-0.00732012,
