TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
12,-0.36782473,-0.09971709,9.26535988,4.00000000,-0.13535157,0.10795899,0.05632002,0.15679307,-0.08787180,0.19999999,0.00000000,0.00001868,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.15670136,0.03658957,0.00000000,0.01194068,
20,-0.41092038,0.03675241,9.78250790,4.00000000,-0.13535157,0.10795899,0.01901527,0.13973947,-0.10812295,0.19999999,0.00000000,-0.00864612,0.00000000,0.00000000,-0.04231516,0.02792527,0.00000000,0.13973939,0.03789515,0.00000000,0.01170938,
28,-0.45401600,0.19237553,9.88066959,4.00000000,-0.13535157,0.10795899,0.03753441,0.13147914,-0.07721330,0.19999999,0.00000000,-0.00268432,0.00000000,0.00000000,-0.04231516,0.00000000,0.00872665,0.13148370,0.03919827,0.00000000,0.00968802,
36,-0.42049718,0.05111762,9.83278561,4.00000000,-0.13535157,0.10795899,0.03926641,0.11482523,-0.03591161,0.19999999,0.00000000,-0.00001089,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.11485147,0.04029818,0.00000000,0.00875398,
44,-0.34388271,0.18519291,9.74898911,4.00000000,-0.13535157,0.10795899,-0.00443344,0.08498143,-0.01272938,0.19999999,0.00000000,0.00000004,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.08497596,0.04124662,0.00000000,0.00647491,
52,-0.38218996,0.41024786,9.57900047,4.00000000,-0.13535157,0.10795899,-0.00789745,0.08031834,0.01484949,0.19999999,0.00000000,0.00270871,0.00000000,0.00000000,-0.04231516,-0.00872665,0.00000000,0.08031883,0.04193138,0.00000000,0.00578795,
61,-0.16192339,0.35518125,9.41858864,5.00000000,-0.13535157,0.10795899,-0.00669836,0.07112537,0.03203632,0.19999999,0.00000000,0.00001170,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.07112653,0.04178908,0.00000000,0.00542002,
68,-0.21220163,0.48925653,9.39225292,4.00000000,-0.13535157,0.10795899,-0.03734155,0.06872722,0.01298425,0.19999999,0.00000000,0.00000602,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.06872720,0.04247995,0.00000000,0.00523711,
76,-0.25529727,0.60657239,9.38028145,4.00000000,-0.13535157,0.10795899,-0.04067233,0.07045922,0.00059375,0.19999999,0.00000000,0.00000863,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.07046951,0.04325637,0.00000000,0.00536946,
84,-0.16671179,0.75022453,9.46647263,4.00000000,-0.13535157,0.10795899,-0.03880709,0.06739490,-0.00073857,0.19999999,0.00000000,0.00000575,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.06740149,0.04328777,0.00000000,0.00513609,
92,-0.18825962,0.83162737,9.82799721,4.00000000,-0.13535157,0.10795899,-0.04373665,0.06752814,-0.00127149,0.19999999,0.00000000,0.00000672,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.06752094,0.04277062,0.00000000,0.00514626,
101,-0.09488574,0.84599257,10.22304058,5.00000000,-0.13535157,0.10795899,-0.02641658,0.05034131,0.02404245,0.19999999,0.00000000,0.00000715,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05033897,0.04236680,0.00000000,0.00383598,
108,-0.07573213,0.73585933,10.48400879,4.00000000,-0.13535157,0.10795899,-0.02002148,0.02276244,0.03923081,0.19999999,0.00000000,-0.00271779,0.00000000,0.00000000,-0.04231516,0.00000000,0.00872665,0.02275265,0.04013339,0.00000000,0.00140151,
116,-0.01587709,0.72388828,10.17994499,4.00000000,-0.13535157,0.10795899,-0.02721599,-0.01094507,0.04722468,0.19999999,0.00000000,0.00000294,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,-0.01095407,0.03744021,0.00000000,-0.00083392,
