TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
12,1.92342627,0.01520460,9.72983551,4.00000000,-0.32548827,0.31904298,-0.00416696,-0.02480112,-0.00393611,0.19999999,0.00000000,0.00000046,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,-0.02480890,-0.19518042,0.00000000,-0.00178498,
20,1.87314808,0.01759880,9.75856590,4.00000000,-0.32548827,0.31904298,-0.00669836,-0.01973833,-0.00713366,0.19999999,0.00000000,-0.00001267,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,-0.01973426,-0.19495900,0.00000000,-0.00142083,
29,1.92342627,0.05590603,9.71307564,4.00000000,-0.32548827,0.31904298,-0.00763099,-0.00854690,-0.00353642,0.19999999,0.00000000,-0.00001093,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,-0.00855527,-0.19512905,0.00000000,-0.00061511,
36,2.07426095,0.05111762,9.78250790,4.00000000,-0.32548827,0.31904298,-0.00643191,-0.00161888,-0.00353642,0.19999999,0.00000000,0.00000026,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,-0.00161397,-0.19525617,0.00000000,-0.00011717,
44,1.98328137,0.03675241,9.67955685,4.00000000,-0.32548827,0.31904298,-0.00536604,0.00264452,-0.00673397,0.19999999,0.00000000,0.00000428,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.00264568,-0.19536097,0.00000000,0.00018992,
52,1.72231328,-0.04704465,9.71068192,4.00000000,-0.32548827,0.31904298,-0.00416696,0.01103809,-0.00380288,0.19999999,0.00000000,-0.00000782,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.01102305,-0.19435507,0.00000000,0.00079296,
60,1.56429601,-0.06619826,9.81602669,4.00000000,-0.32548827,0.31904298,-0.00443344,0.01090486,-0.00446904,0.19999999,0.00000000,-0.00000330,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.01090742,-0.19470836,0.00000000,0.00078487,
68,1.84920609,0.05111762,9.73941231,4.00000000,-0.32548827,0.31904298,-0.00749774,0.01836581,-0.00340319,0.19999999,0.00000000,0.00255075,0.00000000,0.00000000,-0.04231516,0.00000000,-0.00872665,0.01837567,-0.19474375,0.00000000,0.00163561,
76,1.53077722,-0.02789103,9.70828724,4.00000000,-0.32548827,0.31904298,-0.00483312,0.01769965,-0.00247057,0.19999999,0.00000000,-0.00001236,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.01770519,-0.19241224,0.00000000,0.00127547,
84,1.73189020,0.14209729,9.71786404,4.00000000,-0.32548827,0.31904298,-0.00509958,0.01476856,0.00086021,0.19999999,0.00000000,-0.00000039,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.01478113,-0.19266149,0.00000000,0.00106480,
92,1.73428440,-0.00155482,9.72744083,4.00000000,-0.32548827,0.31904298,-0.00576575,0.01303656,0.00112667,0.19999999,0.00000000,0.00000494,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.01302718,-0.19250080,0.00000000,0.00093844,
100,1.60260332,-0.00155482,9.80644989,4.00000000,-0.32548827,0.31904298,-0.00363405,0.01183748,-0.00180442,0.19999999,0.00000000,0.00000038,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.01184227,-0.19229563,0.00000000,0.00085228,
108,1.67203510,-0.07098667,9.71547031,4.00000000,-0.32548827,0.31904298,-0.00350082,0.00544238,-0.00087180,0.19999999,0.00000000,-0.00000063,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.00543778,-0.19083670,0.00000000,0.00039108,
116,1.74146700,-0.03028524,9.73701763,4.00000000,-0.32548827,0.31904298,-0.00629868,0.00411006,0.00245899,0.19999999,0.00000000,0.00102319,0.00000000,0.00000000,-0.04231516,0.00000000,-0.00349066,0.00409612,-0.19081736,0.00000000,0.00041977,
124,1.43022072,-0.05901565,9.81842041,4.00000000,-0.32548827,0.31904298,-0.00469989,0.00397683,0.00232575,0.19999999,0.00000000,-0.00000193,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.00397468,-0.19129933,0.00000000,0.00028635,
132,1.78456259,-0.03267944,9.80405521,4.00000000,-0.32548827,0.31904298,-0.00643191,0.00064605,0.00325837,0.19999999,0.00000000,-0.00000573,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.00066277,-0.19150315,0.00000000,0.00004743,
140,1.57147861,-0.13802432,9.75856590,4.00000000,-0.32548827,0.31904298,-0.00496636,-0.00041980,0.00139313,0.19999999,0.00000000,-0.00001195,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,-0.00041157,-0.19153847,0.00000000,-0.00003076,
148,1.58823800,-0.12126490,9.78250790,4.00000000,-0.32548827,0.31904298,-0.00563250,0.00011313,0.00099344,0.19999999,0.00000000,-0.00000777,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.00009649,-0.19161122,0.00000000,0.00000733,
156,1.80132198,-0.05183305,9.73701763,4.00000000,-0.32548827,0.31904298,-0.00363405,0.00144544,-0.00353642,0.19999999,0.00000000,0.00256692,0.00000000,0.00000000,-0.04231516,0.00000000,-0.00872665,0.00144135,-0.19162992,0.00000000,0.00041863,
164,1.77019739,-0.18590835,9.72504711,4.00000000,-0.32548827,0.31904298,-0.00549929,0.00717438,-0.00833275,0.19999999,0.00000000,-0.00000013,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.00717877,-0.19098742,0.00000000,0.00051786,
172,1.68400609,-0.09971709,9.77293110,4.00000000,-0.32548827,0.31904298,-0.00283465,0.00850669,-0.00966506,0.19999999,0.00000000,-0.00001220,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.00852920,-0.19126792,0.00000000,0.00061335,
180,1.72710180,-0.12844750,9.72504711,4.00000000,-0.32548827,0.31904298,-0.00669836,0.01237040,-0.01286261,0.19999999,0.00000000,0.00000386,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.01238978,-0.19037451,0.00000000,0.00089242,
188,1.59542060,-0.09971709,9.78729630,4.00000000,-0.32548827,0.31904298,-0.00323436,0.01556795,-0.01099737,0.19999999,0.00000000,-0.00000657,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.01556207,-0.19037391,0.00000000,0.00112175,
196,1.76780319,-0.13084170,9.77293110,4.00000000,-0.32548827,0.31904298,-0.00629868,0.01703350,-0.00580135,0.19999999,0.00000000,-0.00001763,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.01704593,-0.19016948,0.00000000,0.00122687,
204,1.85399449,0.00562779,9.72983551,4.00000000,-0.32548827,0.31904298,-0.00683160,0.01809935,-0.00500196,0.19999999,0.00000000,-0.00000325,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.01808632,-0.19003464,0.00000000,0.00130357,
213,1.55950761,-0.07577506,9.71786404,4.00000000,-0.32548827,0.31904298,-0.00696483,0.01929843,-0.00393611,0.19999999,0.00000000,-0.00000177,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.01929391,-0.18878528,0.00000000,0.00139001,
220,1.76540899,0.08224224,9.72025871,4.00000000,-0.32548827,0.31904298,-0.00669836,0.01876550,-0.00366965,0.19999999,0.00000000,0.00000049,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.01876719,-0.18859436,0.00000000,0.00135091,
228,1.47331631,-0.03028524,9.81602669,4.00000000,-0.32548827,0.31904298,-0.00709806,0.01543472,-0.00433581,0.19999999,0.00000000,-0.00000179,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.01541755,-0.18796934,0.00000000,0.00111015,
237,1.67682350,0.06069443,9.81363201,4.00000000,-0.32548827,0.31904298,-0.00430019,0.01117132,-0.00713366,0.19999999,0.00000000,0.00000165,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.01116502,-0.18781346,0.00000000,0.00080479,
