TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
12,0.59464437,0.01759880,9.84715080,4.00000000,-0.02739258,0.04028320,0.00062935,0.05353886,0.00499038,0.19999999,0.00000000,0.00000012,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05353579,-0.06036717,0.00000000,0.00385441,
21,0.61619216,0.01281040,9.79208469,5.00000000,-0.02739258,0.04028320,0.00169521,0.05313917,0.00605623,0.19999999,0.00000000,0.00000845,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05314183,-0.06013718,0.00000000,0.00382764,
29,0.63534576,0.00802199,9.83757401,4.00000000,-0.02739258,0.04028320,0.00076259,0.05380532,0.00885409,0.19999999,0.00000000,-0.00000752,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05380052,-0.05980428,0.00000000,0.00387415,
36,0.67604721,-0.10211129,9.88545799,4.00000000,-0.02739258,0.04028320,0.00169521,0.05367209,0.00991994,0.19999999,0.00000000,0.00000393,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05366743,-0.05945047,0.00000000,0.00386396,
44,0.61619216,-0.09014028,9.79447842,4.00000000,-0.02739258,0.04028320,-0.00056973,0.05473794,0.00778823,0.19999999,0.00000000,0.00000081,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05473626,-0.05904585,0.00000000,0.00394138,
52,0.54676032,-0.20985036,9.83996868,4.00000000,-0.02739258,0.04028320,0.00236136,0.05433824,0.00658915,0.19999999,0.00000000,-0.00000574,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05434445,-0.05854379,0.00000000,0.00391320,
60,0.65928781,-0.14999533,9.89982319,4.00000000,-0.02739258,0.04028320,-0.00096942,0.05034131,0.00752177,0.19999999,0.00000000,-0.00000783,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05034988,-0.05826055,0.00000000,0.00362500,
68,0.63295156,-0.14041851,9.76814270,4.00000000,-0.02739258,0.04028320,0.00356045,0.05500440,0.00552330,0.19999999,0.00000000,0.00000072,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05500949,-0.05778658,0.00000000,0.00396114,
76,0.54915452,-0.18830255,9.92376518,4.00000000,-0.02739258,0.04028320,0.00062935,0.05287270,0.00392453,0.19999999,0.00000000,-0.00001050,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05286618,-0.05736807,0.00000000,0.00380633,
84,0.54676032,-0.21703297,9.91418839,4.00000000,-0.02739258,0.04028320,-0.00203526,0.05127392,0.00205929,0.19999999,0.00000000,-0.00000010,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05126221,-0.05694112,0.00000000,0.00369039,
93,0.54915452,-0.16675474,9.82799721,5.00000000,-0.02739258,0.04028320,-0.00376728,0.05367209,0.00139313,0.19999999,0.00000000,-0.00000737,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05368801,-0.05651259,0.00000000,0.00386425,
101,0.51084727,-0.18830255,9.88545799,5.00000000,-0.02739258,0.04028320,-0.00363405,0.05207331,0.00179283,0.19999999,0.00000000,-0.00000331,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05207359,-0.05607747,0.00000000,0.00374924,
109,0.54676032,-0.11408229,9.83518028,5.00000000,-0.02739258,0.04028320,-0.00390051,0.05420502,0.00472392,0.19999999,0.00000000,0.00000141,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05418240,-0.05565693,0.00000000,0.00390185,
117,0.57549071,-0.18590835,9.85193920,5.00000000,-0.02739258,0.04028320,-0.00616543,0.05287270,0.00712208,0.19999999,0.00000000,0.00000347,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05286157,-0.05526310,0.00000000,0.00380553,
125,0.63773996,-0.20506196,9.88545799,5.00000000,-0.02739258,0.04028320,-0.00589897,0.05353886,0.00725531,0.19999999,0.00000000,-0.00000361,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05353454,-0.05502826,0.00000000,0.00385438,
133,0.61140376,-0.19787936,9.86391068,5.00000000,-0.02739258,0.04028320,-0.00296789,0.05047454,0.00459068,0.19999999,0.00000000,0.00001290,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05047820,-0.05456696,0.00000000,0.00363459,
141,0.61858636,-0.23858078,9.95010185,5.00000000,-0.02739258,0.04028320,-0.00190204,0.05207331,0.00139313,0.19999999,0.00000000,-0.00000211,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05206950,-0.05422600,0.00000000,0.00374866,
