TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
14,1.09947717,0.03914661,9.27832890,6.00000000,0.00000000,-0.00322266,0.00022966,0.00317745,0.00339160,0.19999999,0.01725275,-0.00000006,-0.11156642,0.10361728,-0.04231516,0.00000000,0.00000000,0.00317728,-0.11199656,0.00305265,0.00022883,
22,1.48733783,-0.05422725,9.47225952,6.00000000,-0.16113281,0.18208008,-0.00403374,-0.00201857,0.00818793,0.19999999,0.01725275,-0.01941142,-0.12281491,0.10822311,-0.04231516,-0.51138145,0.57770395,-0.00202014,-0.11215682,0.00305265,-0.03935235,
30,0.03405737,0.29772040,11.64140606,6.00000000,-0.18691406,0.19819336,-0.04200464,0.22807179,-0.01046445,0.19999999,0.01725275,-0.10676348,-0.09217849,0.04976948,-0.04231516,-0.77318084,1.13795459,0.22807176,-0.11134742,0.00305265,-0.05237976,
38,1.45621312,0.22828855,8.13629532,6.00000000,-0.14340821,0.10312500,-0.02375194,0.30574560,-0.03631131,0.19999999,0.01725275,-0.01583557,-0.06383906,0.05231522,-0.04231516,-1.43116999,1.48527515,0.30575132,-0.10953911,0.00305265,-0.08297794,
46,1.75548840,0.25701898,6.91764641,6.00000000,-0.09829102,0.09345703,0.04499536,0.45989418,-0.09133581,0.19999999,0.01725275,0.04801691,-0.02037328,0.03121886,-0.04231516,-1.79768908,1.63362813,0.45990759,-0.10749563,0.00305265,-0.09041409,
54,0.70203966,-0.18111995,8.84737301,6.00000000,-0.03706055,0.05800781,0.10215157,0.57966906,-0.02925005,0.19999999,0.01725275,0.01838981,0.00555652,-0.00374931,-0.04231516,-1.78896248,1.72613060,0.57967496,-0.10371942,0.00305265,-0.08480668,
61,0.92948878,-0.23618658,8.83779621,5.00000000,0.00322266,0.00161133,0.00595861,0.55142403,-0.02218880,0.19999999,0.01725275,0.00051085,0.00483445,-0.00902976,-0.04231516,-1.67028010,1.66853476,0.55143267,-0.09912043,0.00305265,-0.08049413,
70,1.14017856,-0.20027356,10.18333721,6.00000000,0.00644531,-0.01450195,-0.08770296,0.41352972,0.01857997,0.19999999,0.01725275,-0.04955030,-0.02199379,0.00036381,-0.04231516,-1.25314641,1.42244339,0.41352737,-0.09477697,0.00305265,-0.06654729,
78,1.09947717,0.44376671,11.29185295,6.00000000,-0.03061523,-0.00322266,-0.00350082,0.24938877,0.07586940,0.19999999,0.01725275,0.02145467,-0.03878205,0.03998640,-0.04231516,-1.27409041,1.20078659,0.24937867,-0.09152590,0.00305265,-0.07114034,
86,0.97976702,-0.38462707,10.72921562,6.00000000,-0.05961914,0.06767578,-0.00283465,0.18410549,0.02257690,0.19999999,0.01725275,0.01890066,-0.05030029,0.05028933,-0.04231516,-1.29503429,1.23045707,0.18410176,-0.08954027,0.00305265,-0.07766236,
94,0.44825426,0.15646249,8.96468925,6.00000000,-0.08701172,0.09506836,-0.00509958,0.22540717,0.05601794,0.19999999,0.01725275,-0.00766281,-0.04404938,0.03545311,-0.04231516,-1.29852498,1.32470489,0.22540939,-0.08794963,0.00305265,-0.07820679,
102,0.29263115,0.21152914,7.26001740,6.00000000,-0.06767578,0.06928711,0.03407040,0.27217135,0.00592300,0.19999999,0.01725275,0.03729009,-0.02347689,0.03028728,-0.04231516,-1.37182879,1.24441981,0.27218056,-0.08596750,0.00305265,-0.07458796,
110,0.87921059,-0.00155482,6.93201160,6.00000000,-0.03222656,0.05639648,0.04486213,0.33159247,0.00978670,0.19999999,0.01725275,0.03677956,-0.00718435,0.01427752,-0.04231516,-1.33168626,1.20602250,0.33160514,-0.08388265,0.00305265,-0.06748192,
118,0.87442219,0.35518125,8.83061314,6.00000000,-0.01289062,0.02578125,0.01901527,0.40273798,0.01205163,0.19999999,0.01725275,0.05823439,0.01635264,-0.00153010,-0.04231516,-1.29677963,1.09781218,0.40274274,-0.08134919,0.00305265,-0.05720781,
126,0.88160479,-0.27688801,9.94152355,6.00000000,0.01289062,0.00000000,-0.02575043,0.35650674,0.00738854,0.19999999,0.01725275,-0.02349794,-0.00021597,-0.01248004,-0.04231516,-1.00181901,1.08210409,0.35650548,-0.07816440,0.00305265,-0.04935282,
133,0.75710630,-0.18590835,10.85850239,5.00000000,-0.00161133,-0.01450195,-0.04786682,0.21914530,0.05268716,0.19999999,0.01725275,-0.04137671,-0.02492644,0.00550619,-0.04231516,-0.72256637,0.86393797,0.21913916,-0.07531966,0.00305265,-0.04133602,
142,0.94145983,0.64009124,11.04046154,6.00000000,-0.03706055,0.01289062,0.01541803,0.04421267,-0.00819951,0.19999999,0.01725275,0.03677968,-0.04440151,0.05010488,-0.04231516,-0.68765974,0.56199604,0.04420909,-0.07361568,0.00305265,-0.04180452,
150,0.83132654,-0.01592002,10.29107666,6.00000000,-0.06606445,0.09667969,0.08150072,-0.02226972,0.00192606,0.19999999,0.01725275,0.09399217,-0.04838226,0.07281959,-0.04231516,-0.77492619,0.45378560,-0.02226976,-0.07329158,0.00305265,-0.04583705,
158,0.45064846,0.28574938,8.38289738,6.00000000,-0.06928711,0.13051757,0.03926641,0.04101512,0.03270248,0.19999999,0.01725275,0.05363686,-0.04327948,0.05458897,-0.04231516,-0.82554072,0.64228117,0.04101499,-0.07340506,0.00305265,-0.04988850,
166,0.20165148,-0.19069675,7.69336796,6.00000000,-0.06123047,0.10151367,-0.02548397,0.15332906,0.05948196,0.19999999,0.01725275,-0.01838877,-0.03160942,0.01953196,-0.04231516,-0.77492619,0.83775806,0.15333100,-0.07298440,0.00305265,-0.04701684,
174,1.06835246,0.06548283,7.00383759,6.00000000,-0.04833984,0.03383789,-0.06412104,0.24392629,0.07280508,0.19999999,0.01725275,-0.05312518,-0.01797932,-0.00513572,-0.04231516,-0.81681406,0.99832833,0.24393165,-0.07210106,0.00305265,-0.04778197,
182,1.05638146,0.49165073,8.49781990,6.00000000,-0.04028320,-0.00161133,-0.02002148,0.31427240,0.05295362,0.19999999,0.01725275,0.01532492,0.01223727,-0.01192024,-0.04231516,-0.85172069,0.79936081,0.31427738,-0.07027478,0.00305265,-0.03681098,
190,0.60148317,0.20434654,9.97983074,6.00000000,0.01289062,-0.01611328,0.01688356,0.26457715,-0.00766659,0.19999999,0.01725275,0.08735153,0.02006144,0.00416171,-0.04231516,-0.77492619,0.47647488,0.26457584,-0.06774001,0.00305265,-0.02600101,
198,0.49853250,-0.02549683,11.65337753,6.00000000,0.02416992,0.00805664,0.04406274,0.09097683,0.01351718,0.19999999,0.01725275,0.02605258,-0.02027385,0.02299403,-0.04231516,-0.38920841,0.30019665,0.09096925,-0.06558762,0.00305265,-0.01826880,
205,0.95103663,-0.09014028,11.45705318,5.00000000,-0.02900391,0.04350586,0.01515156,-0.07196498,0.03363510,0.19999999,0.01725275,-0.01430380,-0.05913633,0.04735195,-0.04231516,-0.19373155,0.24260075,-0.07196682,-0.06496812,0.00305265,-0.02088958,
214,0.83132654,0.29532620,10.17615509,6.00000000,-0.08862305,0.08862305,-0.04613480,-0.13977967,-0.00753336,0.19999999,0.01725275,-0.01583556,-0.07548411,0.06272194,-0.04231516,-0.24260075,0.29670596,-0.13977915,-0.06563285,0.00305265,-0.02947914,
222,0.14179644,0.15406829,8.43078232,6.00000000,-0.11279297,0.11601563,0.01968143,-0.06676896,0.03123694,0.19999999,0.01725275,0.00613017,-0.05975256,0.05474756,-0.04231516,-0.44854963,0.42760566,-0.06677233,-0.06652595,0.00305265,-0.03634920,
230,0.33093837,-0.12605330,7.11875916,6.00000000,-0.09023438,0.10795899,0.01874880,0.07259092,0.00752177,0.19999999,0.01725275,0.04801764,-0.02614256,0.03599641,-0.04231516,-0.70336765,0.53930676,0.07258745,-0.06701653,0.00305265,-0.03950996,
238,0.66852081,-0.14760111,6.69498539,6.00000000,-0.03706055,0.07089844,0.02607653,0.22847147,-0.01046445,0.19999999,0.01725275,0.03882293,0.00560553,0.00217403,-0.04231516,-0.74176490,0.60911995,0.22847369,-0.06651612,0.00305265,-0.03218174,
246,0.81935555,-0.02070843,8.11235332,6.00000000,0.00483398,0.00805664,0.04326335,0.27670121,0.06614352,0.19999999,0.01725275,0.06232101,0.02364995,-0.00762422,-0.04231516,-0.68765974,0.47472957,0.27670616,-0.06477521,0.00305265,-0.02192315,
254,0.99892068,-0.12365910,9.75956345,6.00000000,0.03061523,-0.01289062,-0.04520218,0.19316521,0.04003019,0.19999999,0.01725275,0.03218216,0.00802281,-0.00248834,-0.04231516,-0.34557518,0.23561946,0.19316606,-0.06246645,0.00305265,-0.00701499,
262,0.78583670,-0.07577506,12.63500023,6.00000000,0.00966797,-0.00322266,-0.06878412,0.00344391,0.09545439,0.19999999,0.01725275,0.01021615,-0.03147209,0.02852322,-0.04231516,-0.13439035,0.09948377,0.00343472,-0.06093222,0.00305265,-0.00817218,
270,1.04680467,-0.00634322,12.20164967,6.00000000,-0.04511719,0.04833984,-0.03187907,-0.13671535,0.10691228,0.19999999,0.01725275,-0.00357557,-0.06403936,0.05557030,-0.04231516,-0.15009832,0.16231562,-0.13671392,-0.06091886,0.00305265,-0.02109038,
277,0.76668310,-0.05183305,10.73879242,5.00000000,-0.09829102,0.09506836,-0.01882240,-0.17788382,0.06481121,0.19999999,0.01725275,0.02809542,-0.07127646,0.07307548,-0.04231516,-0.36651915,0.27052602,-0.17788100,-0.06205074,0.00305265,-0.03574106,
286,0.86005694,0.21392334,7.11157656,6.00000000,-0.11118164,0.13051757,0.01781619,-0.03772454,0.00672239,0.19999999,0.01725275,0.02043316,-0.04832798,0.04836047,-0.04231516,-0.62482786,0.55501467,-0.03773232,-0.06350236,0.00305265,-0.04519105,
294,0.21841089,0.15167409,6.46993065,6.00000000,-0.08378907,0.08862305,0.04006580,0.15546076,-0.02658543,0.19999999,0.01725275,-0.01328178,-0.01486332,0.00481478,-0.04231516,-0.69638640,0.74176490,0.15545745,-0.06378153,0.00305265,-0.04058048,
302,0.90794098,0.15167409,5.45000076,6.00000000,-0.02739258,0.01289062,0.03780088,0.28309631,-0.04017501,0.19999999,0.01725275,0.02656304,0.02077176,-0.01663249,-0.04231516,-0.73652893,0.64577180,0.28310740,-0.06281711,0.00305265,-0.02937911,
310,0.90075839,-0.27449381,8.34698486,6.00000000,0.02739258,-0.02416992,0.00142874,0.30601206,-0.07801268,0.19999999,0.01725275,0.00970568,0.03052422,-0.03174264,-0.04231516,-0.34732053,0.31415927,0.30601901,-0.06071921,0.00305265,-0.00177987,
318,0.65894401,-0.07338087,10.82498360,6.00000000,0.04511719,-0.05478515,-0.00136911,0.14919889,-0.03791008,0.19999999,0.01725275,0.01583570,0.00570279,-0.00573699,-0.04231516,-0.05410520,0.00000000,0.14919259,-0.05828509,0.00305265,0.00879417,
326,1.13778436,-0.14760111,13.91829205,6.00000000,0.01127930,-0.01127930,0.02900761,-0.08755302,0.03216955,0.19999999,0.01725275,-0.00766286,-0.04610482,0.03673808,-0.04231516,0.03316126,-0.00698132,-0.08756262,-0.05707553,0.00305265,-0.00485939,
334,1.06116986,-0.05901565,13.25030994,6.00000000,-0.06606445,0.06767578,-0.06318840,-0.19626975,0.02417568,0.19999999,0.01725275,0.00153220,-0.07132554,0.06427620,-0.04231516,-0.16929694,0.16406095,-0.19626394,-0.05793668,0.00305265,-0.02613185,
342,0.55599332,0.26180738,9.30466557,6.00000000,-0.10473633,0.12084961,0.02128019,-0.18920849,0.05108839,0.19999999,0.01725275,0.03013886,-0.07001307,0.07249289,-0.04231516,-0.42236969,0.31939524,-0.18921030,-0.05950709,0.00305265,-0.04032671,
349,-0.14071935,-0.05422725,6.91285801,5.00000000,-0.10151367,0.13857421,0.04259720,-0.03532638,0.07653555,0.19999999,0.01725275,0.03371438,-0.04096922,0.04555363,-0.04231516,-0.61784661,0.50265479,-0.03533632,-0.06076578,0.00305265,-0.04288223,
358,0.37882242,0.14927989,5.12438917,6.00000000,-0.06123047,0.09345703,0.02820822,0.19289874,0.05082192,0.19999999,0.01725275,0.12872839,0.02178467,0.01603104,-0.04231516,-0.87266463,0.43284163,0.19289455,-0.06107443,0.00305265,-0.03310981,
366,0.75710630,-0.21942717,5.92884111,6.00000000,0.02255859,0.03706055,0.07044253,0.30880991,0.06361213,0.19999999,0.01725275,0.05363659,0.03795836,-0.02445827,-0.04231516,-0.58643061,0.40317106,0.30882189,-0.05973964,0.00305265,-0.01339053,
374,0.81217289,-0.30801263,8.43078232,6.00000000,0.05156250,-0.03706055,-0.03747478,0.28189722,0.09478823,0.19999999,0.01725275,0.03728991,0.03707588,-0.02908177,-0.04231516,-0.24434610,0.11693706,0.28190470,-0.05735686,0.00305265,0.00729095,
382,0.75231791,0.23547116,11.67492485,6.00000000,0.05317383,-0.05156250,-0.14259425,0.08284973,0.01151871,0.19999999,0.01725275,-0.01379289,-0.00697403,-0.00327836,-0.04231516,0.11519173,-0.06806784,0.08284032,-0.05513639,0.00305265,0.01256182,
390,0.77625990,0.34321022,14.51684284,6.00000000,-0.00483398,-0.00644531,-0.05905826,-0.11020234,0.06854168,0.19999999,0.01725275,-0.00919512,-0.04716494,0.03722125,-0.04231516,0.03141592,0.00000000,-0.11020765,-0.05447314,0.00305265,-0.00680398,
398,0.71401066,0.81247377,12.71879673,6.00000000,-0.07089844,0.06606445,0.02034758,-0.20266484,0.01977905,0.19999999,0.01725275,0.02349812,-0.06496783,0.06531034,-0.04231516,-0.20420352,0.12391838,-0.20265943,-0.05535764,0.00305265,-0.02640384,
406,0.54162812,0.13252048,8.21290970,6.00000000,-0.09990235,0.11923828,0.05592032,-0.14231108,-0.01086414,0.19999999,0.01725275,0.01736818,-0.05802953,0.05661764,-0.04231516,-0.37873647,0.31939524,-0.14231631,-0.05703096,0.00305265,-0.03537955,
414,0.08912401,0.15646249,6.43880606,6.00000000,-0.09345703,0.10473633,0.02341189,0.00717438,-0.02338788,0.19999999,0.01725275,-0.00255415,-0.03249229,0.02531539,-0.04231516,-0.44156829,0.45029494,0.00716573,-0.05815617,0.00305265,-0.03159112,
421,0.66133821,0.33602762,5.35902119,5.00000000,-0.05800781,0.04672851,0.05485447,0.17517897,-0.03724393,0.19999999,0.01725275,-0.01890075,0.00034939,-0.01192449,-0.04231516,-0.42411500,0.48869219,0.17517892,-0.05818637,0.00305265,-0.02024818,
