TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
12,1.82252598,0.09900165,9.27114677,4.00000000,-0.00966797,0.00644531,-0.00110266,0.05420502,0.00485715,0.19999999,0.00000000,-0.00000005,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05420474,-0.18564878,0.00000000,0.00390274,
20,1.81294918,0.08942485,9.21129131,4.00000000,-0.00966797,0.00644531,-0.00216851,0.06033365,0.00459068,0.19999999,0.00000000,0.00000009,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.06033395,-0.18525068,0.00000000,0.00434406,
28,1.80816078,0.10857847,9.20889759,4.00000000,-0.00966797,0.00644531,0.00049613,0.06139950,0.00139313,0.19999999,0.00000000,0.00051078,0.00000000,0.00000000,-0.04231516,-0.00174533,0.00000000,0.06139971,-0.18481471,0.00000000,0.00435793,
36,1.75309420,0.07984804,9.18256092,4.00000000,-0.00966797,0.00644531,0.00076259,0.06086657,0.00459068,0.19999999,0.00000000,0.00000004,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.06086696,-0.18433525,0.00000000,0.00438241,
45,1.70521021,0.03914661,9.26396370,4.00000000,-0.00966797,0.00644531,0.00289429,0.06579614,0.00272545,0.19999999,0.00000000,-0.00000014,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.06579687,-0.18383929,0.00000000,0.00473738,
53,1.64056671,0.06787703,9.19692612,4.00000000,-0.00966797,0.00644531,0.00049613,0.06273181,0.01085255,0.19999999,0.00000000,-0.00000032,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.06273235,-0.18329479,0.00000000,0.00451674,
60,1.64774930,0.02478140,9.22086811,4.00000000,-0.00966797,0.00644531,-0.00270143,0.06046688,0.00752177,0.19999999,0.00000000,-0.00000019,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.06046735,-0.18278314,0.00000000,0.00435365,
68,1.60225952,0.05590603,9.25917530,4.00000000,-0.00966797,0.00644531,-0.00203526,0.06233212,0.00832116,0.19999999,0.00000000,0.00000003,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.06233254,-0.18226700,0.00000000,0.00448793,
76,1.54719281,-0.03267944,9.12270641,4.00000000,-0.00966797,0.00644531,-0.00136911,0.05926780,0.00858762,0.19999999,0.00000000,0.00000010,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.05926814,-0.18177280,0.00000000,0.00426730,
84,1.54240441,-0.06140986,9.21607971,4.00000000,-0.00966797,0.00644531,-0.00163557,0.04927546,0.00419099,0.19999999,0.00000000,0.00000010,0.00000000,0.00000000,-0.04231516,0.00000000,0.00000000,0.04927594,-0.18126576,0.00000000,0.00354785,
