TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
14,1.65972030,-0.18111995,9.16580200,5.00000000,0.00483398,0.00000000,-0.00430019,0.04687729,-0.00446904,0.19999999,0.02300366,-0.00357579,-0.19279298,0.18021391,-0.04231516,0.01221730,0.00000000,0.04687711,-0.16906472,0.00244212,0.00381496,
22,2.35882711,-0.37265608,10.07799244,6.00000000,-0.27392578,0.31904298,-0.01682395,0.03888342,0.00605623,0.19999999,0.02300366,-0.07253756,-0.21858019,0.18266693,-0.04231516,-0.91455257,1.16238928,0.03888750,-0.16895504,0.00244212,-0.07197056,
29,-0.60040611,0.18519291,13.58549786,5.00000000,-0.32548827,0.33676758,-0.07997556,0.42485434,-0.03271407,0.19999999,0.02300366,-0.07560246,-0.14560676,0.11100240,-0.04231516,-1.68773329,1.94604206,0.42484999,-0.16837534,0.00244212,-0.10022666,
38,-0.27000624,0.08224224,9.58718109,6.00000000,-0.22236328,0.19980469,0.01381925,0.65201360,-0.04137409,0.19999999,0.02300366,-0.14354230,-0.11524101,0.05927027,-0.04231516,-2.63021111,3.12064886,0.65201390,-0.16433945,0.00244212,-0.16008595,
46,2.53599811,0.19237553,6.42683506,6.00000000,-0.17402343,0.11601563,0.03113931,0.90182215,-0.05509691,0.19999999,0.02300366,0.02707464,-0.03197734,0.03476462,-0.04231516,-3.42608142,3.33357882,0.90185434,-0.15929420,0.00244212,-0.17841408,
54,2.06194615,-0.48757777,7.00623178,6.00000000,-0.05156250,0.07089844,0.07257423,1.10446692,-0.13357012,0.19999999,0.02300366,-0.04035528,0.00944120,-0.02772752,-0.04231516,-3.39990139,3.53778243,1.10450184,-0.15249033,0.00244212,-0.17023234,
62,1.39635813,-0.61925888,8.11235332,6.00000000,-0.00322266,-0.05800781,0.05778556,1.12405181,-0.01885801,0.19999999,0.02300366,-0.02145480,0.03318434,-0.04470073,-0.04231516,-3.20093369,3.27423787,1.12407613,-0.14378175,0.00244212,-0.15217264,
70,1.55198121,-0.33434886,9.86969662,6.00000000,0.05156250,-0.07412110,-0.00576575,0.90395391,-0.04683658,0.19999999,0.02300366,0.00051097,0.00896569,-0.01417880,-0.04231516,-2.82743335,2.82568789,0.90394747,-0.13487028,0.00244212,-0.13842796,
78,2.22235775,-0.63601828,10.61189938,6.00000000,0.00805664,-0.02900391,-0.00270143,0.66546994,-0.00366965,0.19999999,0.02300366,-0.03984449,-0.03101012,0.01109150,-0.04231516,-2.24972939,2.38586497,0.66545719,-0.12766828,0.00244212,-0.11896853,
86,1.65014350,-0.24097499,11.32776546,6.00000000,-0.04189453,0.02255859,-0.04906590,0.49973032,0.09065806,0.19999999,0.02300366,-0.04801703,-0.05649919,0.03299642,-0.04231516,-1.99142063,2.15548158,0.49971265,-0.12245809,0.00244212,-0.11330917,
94,1.37720454,0.23307694,10.04207993,6.00000000,-0.08217774,0.06284180,-0.07158197,0.43084976,0.00512361,0.19999999,0.02300366,-0.00153253,-0.05670983,0.04845555,-0.04231516,-2.02458191,2.02981806,0.43084747,-0.11853231,0.00244212,-0.11493742,
