TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
55,1.91350567,-0.31758943,9.13707161,7.00000000,0.15146485,-0.24975586,0.00769061,-0.05850862,-0.00899890,0.07158730,0.00000000,-0.00000019,0.00000000,0.00000000,-0.01083427,0.00000000,0.00000000,-0.05850681,-0.19485737,0.00000000,-0.00421252,
104,2.15771437,-0.02789103,9.04369736,6.00000000,0.15146485,-0.24975586,0.00769061,-0.03346114,-0.01472785,0.07158730,0.00000000,0.00000037,0.00000000,0.00000000,-0.01083427,0.00000000,0.00000000,-0.03346132,-0.19798505,0.00000000,-0.00240925,
155,2.11461854,-0.11887070,8.96708298,7.00000000,0.15146485,-0.24975586,-0.00203526,0.00424330,0.01724765,0.07158730,0.00000000,0.00000061,0.00000000,0.00000000,-0.01083427,0.00000000,0.00000000,0.00424319,-0.19977997,0.00000000,0.00030550,
204,1.95899558,-0.24336919,9.18974400,6.00000000,0.15146485,-0.24975586,0.00009643,0.00597530,0.00499038,0.07158730,0.00000000,0.00000046,0.00000000,0.00000000,-0.01083427,0.00000000,0.00000000,0.00597612,-0.19962128,0.00000000,0.00043022,
255,2.01166797,-0.20027356,8.94553566,7.00000000,0.15146485,-0.24975586,0.00849000,-0.01067860,-0.01379523,0.07158730,0.00000000,0.00000004,0.00000000,0.00000000,-0.01083427,0.00000000,0.00000000,-0.01067844,-0.19942895,0.00000000,-0.00076886,
305,2.01885056,-0.07577506,9.12510014,7.00000000,0.15146485,-0.24975586,-0.00017004,-0.02386850,0.00512361,0.07158730,0.00000000,0.00000098,0.00000000,0.00000000,-0.01083427,0.00000000,0.00000000,-0.02386842,-0.20005107,0.00000000,-0.00171861,
354,2.00209117,-0.20027356,9.03412056,6.00000000,0.15146485,-0.24975586,0.00182845,-0.02866482,0.00685562,0.07158730,0.00000000,-0.00000064,0.00000000,0.00000000,-0.01083427,0.00000000,0.00000000,-0.02866606,-0.20132367,0.00000000,-0.00206401,
405,2.07391715,-0.26491702,9.03412056,7.00000000,0.15146485,-0.24975586,0.00595861,-0.02067095,-0.00460227,0.07158730,0.00000000,-0.00000024,0.00000000,0.00000000,-0.01083427,0.00000000,0.00000000,-0.02067037,-0.20287454,0.00000000,-0.00148824,
454,1.99969697,-0.13802432,9.21129131,6.00000000,0.15146485,-0.24975586,0.00142874,-0.02346880,0.00232575,0.07158730,0.00000000,0.00000021,0.00000000,0.00000000,-0.01083427,0.00000000,0.00000000,-0.02346847,-0.20391461,0.00000000,-0.00168976,
505,2.26305914,-0.22182137,8.96947765,7.00000000,0.15146485,-0.24975586,-0.00256820,-0.01880571,0.01031963,0.07158730,0.00000000,0.00000031,0.00000000,0.00000000,-0.01083427,0.00000000,0.00000000,-0.01880641,-0.20539987,0.00000000,-0.00135393,
554,2.10025334,-0.31280103,9.04848576,6.00000000,0.15146485,-0.24975586,0.00209490,0.05900134,0.00245899,0.07158730,0.00000000,-0.00000027,0.00000000,0.00000000,-0.01083427,0.00000000,0.00000000,0.05900011,-0.20645088,0.00000000,0.00424799,
605,1.91350567,-0.12126490,9.10594654,7.00000000,0.15146485,-0.24975586,0.00995554,0.01996458,-0.01166353,0.07158730,0.00000000,0.00000039,0.00000000,0.00000000,-0.01083427,0.00000000,0.00000000,0.01996765,-0.20351686,0.00000000,0.00143759,
654,1.95899558,-0.11647650,9.20410919,6.00000000,0.15146485,-0.24975586,-0.00030326,-0.01454231,0.00698885,0.07158730,0.00000000,0.00000045,0.00000000,0.00000000,-0.01083427,0.00000000,0.00000000,-0.01454350,-0.20252804,0.00000000,-0.00104704,
