TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
12,0.65871882,-0.17021900,9.73068619,4.00000000,-0.01933594,0.01772461,0.00202226,-0.00075522,0.00130354,0.19960317,0.00000000,-0.00000003,0.00000000,0.00000000,-0.05986508,0.00000000,0.00000000,-0.00075497,-0.06709946,0.00000000,-0.00005474,
20,0.63477683,-0.17500740,9.80251217,4.00000000,-0.01933594,0.01772461,0.00308811,0.00031063,-0.00082816,0.19960317,0.00000000,0.00000017,0.00000000,0.00000000,-0.05986508,0.00000000,0.00000000,0.00031051,-0.06709700,0.00000000,0.00002252,
28,0.79997671,-0.07684514,9.79293537,4.00000000,-0.01933594,0.01772461,0.00335457,0.00150971,-0.00242694,0.19960317,0.00000000,0.00000018,0.00000000,0.00000000,-0.05986508,0.00000000,0.00000000,0.00150970,-0.06715224,0.00000000,0.00010944,
36,0.73054487,-0.16782480,9.81448364,4.00000000,-0.01933594,0.01772461,0.00122288,0.00217587,-0.00629064,0.19960317,0.00000000,0.00000018,0.00000000,0.00000000,-0.05986508,0.00000000,0.00000000,0.00217578,-0.06719818,0.00000000,0.00015775,
44,0.69463187,-0.13191178,9.82406044,4.00000000,-0.01933594,0.01772461,0.00362104,0.00284202,-0.00295986,0.19960317,0.00000000,-0.00000001,0.00000000,0.00000000,-0.05986508,0.00000000,0.00000000,0.00284194,-0.06719076,0.00000000,0.00020604,
52,0.80715930,-0.18937261,9.67322540,4.00000000,-0.01933594,0.01772461,0.00295489,0.00510695,-0.00495833,0.19960317,0.00000000,0.00000016,0.00000000,0.00000000,-0.05986508,0.00000000,0.00000000,0.00510738,-0.06727858,0.00000000,0.00037027,
60,0.58928698,-0.11036396,9.72110939,4.00000000,-0.01933594,0.01772461,0.00375427,0.00017740,-0.00202724,0.19960317,0.00000000,0.00000002,0.00000000,0.00000000,-0.05986508,0.00000000,0.00000000,0.00017733,-0.06720890,0.00000000,0.00001285,
68,0.62519997,-0.19655523,9.78575325,4.00000000,-0.01933594,0.01772461,0.00188903,0.00244233,-0.00442540,0.19960317,0.00000000,-0.00000002,0.00000000,0.00000000,-0.05986508,0.00000000,0.00000000,0.00244228,-0.06719291,0.00000000,0.00017706,
76,0.68984342,-0.17740162,9.76659966,4.00000000,-0.01933594,0.01772461,0.00029026,0.00137648,-0.00082816,0.19960317,0.00000000,0.00000006,0.00000000,0.00000000,-0.05986508,0.00000000,0.00000000,0.00137646,-0.06718215,0.00000000,0.00009981,
84,0.75927532,-0.16064219,9.74744606,4.00000000,-0.01933594,0.01772461,0.00135610,-0.00088845,-0.00375925,0.19960317,0.00000000,0.00000000,0.00000000,0.00000000,-0.05986508,0.00000000,0.00000000,-0.00088826,-0.06720486,0.00000000,-0.00006443,
92,0.73772746,-0.12712337,9.83363724,4.00000000,-0.01933594,0.01772461,0.00122288,-0.00195430,-0.00455864,0.19960317,0.00000000,0.00000000,0.00000000,0.00000000,-0.05986508,0.00000000,0.00000000,-0.00195427,-0.06723489,0.00000000,-0.00014171,
100,0.68026662,-0.18937261,9.78335857,4.00000000,-0.01933594,0.01772461,0.00348781,0.00204263,-0.00389248,0.19960317,0.00000000,-0.00000008,0.00000000,0.00000000,-0.05986508,0.00000000,0.00000000,0.00204252,-0.06726155,0.00000000,0.00014809,
108,0.71378547,-0.16303641,9.72829247,4.00000000,-0.01933594,0.01772461,0.00442042,0.00057709,-0.00575772,0.19960317,0.00000000,-0.00000010,0.00000000,0.00000000,-0.05986508,0.00000000,0.00000000,0.00057728,-0.06724658,0.00000000,0.00004189,
116,0.61322898,-0.16543061,9.76659966,4.00000000,-0.01933594,0.01772461,0.00228873,-0.00008906,-0.00362602,0.19960317,0.00000000,-0.00000019,0.00000000,0.00000000,-0.05986508,0.00000000,0.00000000,-0.00008899,-0.06723084,0.00000000,-0.00000644,
124,0.84546655,-0.20613202,9.68759060,4.00000000,-0.01933594,0.01772461,0.00242195,-0.00182107,-0.00016201,0.19960317,0.00000000,-0.00000009,0.00000000,0.00000000,-0.05986508,0.00000000,0.00000000,-0.00182129,-0.06730563,0.00000000,-0.00013204,
132,0.70660287,-0.17261320,9.78814697,4.00000000,-0.01933594,0.01772461,-0.00037590,-0.00075522,-0.00189401,0.19960317,0.00000000,-0.00000004,0.00000000,0.00000000,-0.05986508,0.00000000,0.00000000,-0.00075518,-0.06734107,0.00000000,-0.00005474,
140,0.69463187,-0.11515237,9.78335857,4.00000000,-0.01933594,0.01772461,0.00122288,-0.00275369,-0.00295986,0.19960317,0.00000000,0.00000002,0.00000000,0.00000000,-0.05986508,0.00000000,0.00000000,-0.00275387,-0.06737068,0.00000000,-0.00019964,
