TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
13,0.08171621,-0.14627698,9.83603191,5.00000000,0.02094727,-0.02739258,-0.00423960,0.00004417,-0.00295986,0.19968253,0.00000000,-0.00000001,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,0.00004427,-0.00832376,0.00000000,0.00000321,
20,0.11523504,-0.18458422,9.78575325,4.00000000,0.02094727,-0.02739258,-0.00517223,0.00057709,-0.00189401,0.19968253,0.00000000,0.00000005,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,0.00057703,-0.00834486,0.00000000,0.00004182,
28,0.09129302,-0.19655523,9.79772377,4.00000000,0.02094727,-0.02739258,-0.00144175,0.00244233,-0.00282663,0.19968253,0.00000000,-0.00000002,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,0.00244215,-0.00834542,0.00000000,0.00017706,
36,0.07932201,-0.15345959,9.76659966,4.00000000,0.02094727,-0.02739258,-0.00610483,-0.00008906,-0.00042847,0.19968253,0.00000000,0.00000001,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,-0.00008898,-0.00832452,0.00000000,-0.00000646,
44,0.12002344,-0.17261320,9.76420498,4.00000000,0.02094727,-0.02739258,-0.00117528,0.00310848,0.00010446,0.19968253,0.00000000,0.00000001,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,0.00310870,-0.00833922,0.00000000,0.00022536,
53,0.15114807,-0.17021900,9.76181126,4.00000000,0.02094727,-0.02739258,-0.00184145,-0.00022230,-0.00189401,0.19968253,0.00000000,0.00000006,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,-0.00022260,-0.00836189,0.00000000,-0.00001613,
61,0.09129302,-0.17021900,9.85279083,4.00000000,0.02094727,-0.02739258,-0.00130852,0.00057709,-0.00442540,0.19968253,0.00000000,-0.00000001,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,0.00057705,-0.00836801,0.00000000,0.00004185,
69,0.07453360,-0.12233497,9.74265766,4.00000000,0.02094727,-0.02739258,-0.00264083,0.00164294,-0.00415894,0.19968253,0.00000000,0.00000002,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,0.00164276,-0.00836008,0.00000000,0.00011910,
77,0.08889882,-0.19176681,9.87912750,5.00000000,0.02094727,-0.02739258,-0.00383992,0.00563988,-0.00056170,0.19968253,0.00000000,0.00000002,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,0.00563976,-0.00835075,0.00000000,0.00040889,
85,0.09129302,-0.13909438,9.85997391,4.00000000,0.02094727,-0.02739258,-0.00477252,0.00217587,-0.00389248,0.19968253,0.00000000,0.00000003,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,0.00217574,-0.00830805,0.00000000,0.00015772,
92,0.11284083,-0.15106539,9.75462818,4.00000000,0.02094727,-0.02739258,-0.00197467,-0.00128815,-0.00256017,0.19968253,0.00000000,0.00000002,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,-0.00128814,-0.00829940,0.00000000,-0.00009339,
100,0.10565823,-0.16782480,9.88391590,4.00000000,0.02094727,-0.02739258,-0.00344022,0.00190940,-0.00069493,0.19968253,0.00000000,0.00000006,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,0.00190976,-0.00831601,0.00000000,0.00013844,
108,0.15593646,-0.17261320,9.78335857,4.00000000,0.02094727,-0.02739258,-0.00410637,0.00230910,0.00050415,0.19968253,0.00000000,0.00000002,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,0.00230927,-0.00834114,0.00000000,0.00016742,
116,0.11762924,-0.13430598,9.70913887,4.00000000,0.02094727,-0.02739258,-0.00517223,0.00284202,-0.00136109,0.19968253,0.00000000,0.00000004,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,0.00284204,-0.00831922,0.00000000,0.00020606,
124,0.09368722,-0.10318135,9.79293537,4.00000000,0.02094727,-0.02739258,-0.00423960,0.00643926,-0.00322632,0.19968253,0.00000000,-0.00000006,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,0.00643960,-0.00830443,0.00000000,0.00046686,
132,0.10565823,-0.18219002,9.82645512,4.00000000,0.02094727,-0.02739258,-0.00184145,0.00270879,-0.00202724,0.19968253,0.00000000,0.00000002,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,0.00270893,-0.00825793,0.00000000,0.00019640,
140,0.14157125,-0.13909438,9.77617645,4.00000000,0.02094727,-0.02739258,-0.00437284,0.00337495,-0.00082816,0.19968253,0.00000000,0.00000009,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,0.00337528,-0.00825476,0.00000000,0.00024468,
149,0.16072486,-0.21331464,9.87194443,4.00000000,0.02094727,-0.02739258,-0.00317375,0.00017740,-0.00375925,0.19968253,0.00000000,0.00000003,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,0.00017750,-0.00828130,0.00000000,0.00001290,
156,0.11523504,-0.15824799,9.74026299,4.00000000,0.02094727,-0.02739258,-0.00437284,0.00244233,-0.00162755,0.19968253,0.00000000,-0.00000001,0.00000000,0.00000000,-0.01957203,0.00000000,0.00000000,0.00244227,-0.00829036,0.00000000,0.00017708,
