TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
12,-0.06672429,-0.19655523,9.80011845,4.00000000,-0.01289062,0.00322266,-0.00370668,0.00137648,-0.00216047,0.07000000,0.00000000,-0.00000003,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00137636,0.00679698,0.00000000,0.00009978,
20,-0.04038807,-0.23486245,9.80011845,4.00000000,-0.01289062,0.00322266,-0.00344022,0.00031063,-0.00136109,0.07000000,0.00000000,0.00000002,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00031063,0.00679830,0.00000000,0.00002250,
28,-0.07869530,-0.23965086,9.79293537,4.00000000,-0.01289062,0.00322266,-0.00224113,0.00124325,-0.00282663,0.07000000,0.00000000,0.00000002,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00124347,0.00680613,0.00000000,0.00009015,
37,-0.05235908,-0.28514069,9.80730152,5.00000000,-0.01289062,0.00322266,-0.00237437,0.00217587,-0.00335955,0.07000000,0.00000000,0.00000002,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00217578,0.00680566,0.00000000,0.00015774,
44,-0.10981993,-0.27556387,9.74983978,4.00000000,-0.01289062,0.00322266,-0.00304052,0.00230910,-0.00056170,0.07000000,0.00000000,-0.00000002,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00230935,0.00683442,0.00000000,0.00016742,
52,-0.09784891,-0.27077547,9.79772377,4.00000000,-0.01289062,0.00322266,-0.00357345,0.00244233,-0.00016201,0.07000000,0.00000000,-0.00000002,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00244231,0.00686754,0.00000000,0.00017708,
60,-0.00926345,-0.22767985,9.80490685,4.00000000,-0.01289062,0.00322266,-0.00663777,0.00390787,-0.00216047,0.07000000,0.00000000,-0.00000004,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00390788,0.00685895,0.00000000,0.00028333,
68,-0.08587791,-0.29232329,9.82645512,4.00000000,-0.01289062,0.00322266,-0.00517223,0.00230910,-0.00069493,0.07000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00230931,0.00689212,0.00000000,0.00016744,
76,-0.08348370,-0.23246825,9.75462818,4.00000000,-0.01289062,0.00322266,-0.00237437,0.00097678,0.00010446,0.07000000,0.00000000,0.00000007,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00097702,0.00691706,0.00000000,0.00007083,
84,-0.01884026,-0.25401607,9.77617645,4.00000000,-0.01289062,0.00322266,-0.00397314,0.00137648,-0.00162755,0.07000000,0.00000000,0.00000002,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00137637,0.00691404,0.00000000,0.00009979,
92,-0.05714749,-0.24683346,9.89109802,4.00000000,-0.01289062,0.00322266,-0.00397314,0.00004417,-0.00442540,0.07000000,0.00000000,0.00000005,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00004420,0.00692419,0.00000000,0.00000323,
100,-0.07151270,-0.23486245,9.87912750,4.00000000,-0.01289062,0.00322266,-0.00450607,0.00031063,-0.00256017,0.07000000,0.00000000,0.00000008,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00031033,0.00692626,0.00000000,0.00002252,
109,-0.06672429,-0.22289145,9.81448364,4.00000000,-0.01289062,0.00322266,-0.00463931,0.00124325,-0.00216047,0.07000000,0.00000000,-0.00000004,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00124327,0.00692840,0.00000000,0.00009015,
117,-0.06672429,-0.24922766,9.83603191,4.00000000,-0.01289062,0.00322266,-0.00690422,0.00310848,-0.00455864,0.07000000,0.00000000,0.00000004,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00310830,0.00693724,0.00000000,0.00022535,
125,-0.03320547,-0.25401607,9.83124352,5.00000000,-0.01289062,0.00322266,-0.00330699,0.00404110,-0.00216047,0.07000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00404103,0.00695594,0.00000000,0.00029299,
132,-0.02841707,-0.26119867,9.78096485,4.00000000,-0.01289062,0.00322266,-0.00557191,0.00284202,-0.00082816,0.07000000,0.00000000,0.00000010,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00284213,0.00699481,0.00000000,0.00020603,
140,-0.05714749,-0.26119867,9.77617645,4.00000000,-0.01289062,0.00322266,-0.00610483,0.00364141,-0.00082816,0.07000000,0.00000000,0.00000004,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00364137,0.00701069,0.00000000,0.00026400,
148,-0.09545472,-0.16064219,9.83842564,4.00000000,-0.01289062,0.00322266,-0.00170821,0.00111002,-0.00109462,0.07000000,0.00000000,0.00000004,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00111003,0.00705232,0.00000000,0.00008048,
156,-0.05714749,-0.24922766,9.87433910,4.00000000,-0.01289062,0.00322266,-0.00264083,0.00324172,-0.00216047,0.07000000,0.00000000,0.00000011,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00324180,0.00705374,0.00000000,0.00023501,
164,0.01467856,-0.26119867,9.76420498,4.00000000,-0.01289062,0.00322266,-0.00410637,0.00244233,-0.00389248,0.07000000,0.00000000,0.00000010,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00244215,0.00703194,0.00000000,0.00017708,
172,-0.07630110,-0.22528565,9.75702286,4.00000000,-0.01289062,0.00322266,-0.00370668,0.00270879,-0.00149432,0.07000000,0.00000000,0.00000010,0.00000000,0.00000000,0.01401304,0.00000000,0.00000000,0.00270863,0.00705453,0.00000000,0.00019639,
