TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
12,-0.30853868,0.02849974,9.83842564,4.00000000,0.02900391,-0.04189453,-0.00224113,-0.00088845,-0.00362602,0.13460317,0.00000000,0.00000000,0.00000000,0.00000000,0.01228241,0.00000000,0.00000000,-0.00088831,0.03142911,0.00000000,-0.00006440,
20,-0.28459665,0.03807654,9.68998528,4.00000000,0.02900391,-0.04189453,0.00108964,0.00137648,-0.00349279,0.13460317,0.00000000,-0.00000001,0.00000000,0.00000000,0.01228241,0.00000000,0.00000000,0.00137659,0.03140998,0.00000000,0.00009980,
28,-0.23192421,0.10511419,9.84800243,4.00000000,0.02900391,-0.04189453,-0.00423960,0.00190940,-0.00042847,0.13460317,0.00000000,-0.00000002,0.00000000,0.00000000,0.01228241,0.00000000,0.00000000,0.00190945,0.03139658,0.00000000,0.00013844,
36,-0.27501985,0.01174032,9.78575325,4.00000000,0.02900391,-0.04189453,-0.00810330,0.00270879,-0.00122785,0.13460317,0.00000000,-0.00000006,0.00000000,0.00000000,0.01228241,0.00000000,0.00000000,0.00270851,0.03139413,0.00000000,0.00019638,
44,-0.23910682,-0.03614371,9.75702286,4.00000000,0.02900391,-0.04189453,-0.00437284,0.00337495,-0.00069493,0.13460317,0.00000000,0.00000004,0.00000000,0.00000000,0.01228241,0.00000000,0.00000000,0.00337486,0.03139691,0.00000000,0.00024467,
52,-0.29417345,-0.01699010,9.82166672,4.00000000,0.02900391,-0.04189453,-0.00344022,0.00310848,-0.00162755,0.13460317,0.00000000,-0.00000002,0.00000000,0.00000000,0.01228241,0.00000000,0.00000000,0.00310835,0.03142247,0.00000000,0.00022534,
60,-0.27741405,0.04765335,9.83124352,4.00000000,0.02900391,-0.04189453,-0.00264083,0.00004417,-0.00176078,0.13460317,0.00000000,0.00000011,0.00000000,0.00000000,0.01228241,0.00000000,0.00000000,0.00004390,0.03142314,0.00000000,0.00000319,
69,-0.25107783,-0.00023068,9.81687832,4.00000000,0.02900391,-0.04189453,-0.00357345,-0.00102168,0.00063738,0.13460317,0.00000000,0.00000011,0.00000000,0.00000000,0.01228241,0.00000000,0.00000000,-0.00102187,0.03139474,0.00000000,-0.00007408,
76,-0.27741405,0.01413453,9.79533005,4.00000000,0.02900391,-0.04189453,-0.00250760,-0.00142138,-0.00322632,0.13460317,0.00000000,-0.00000004,0.00000000,0.00000000,0.01228241,0.00000000,0.00000000,-0.00142116,0.03137412,0.00000000,-0.00010306,
85,-0.29417345,0.06441276,9.78575325,4.00000000,0.02900391,-0.04189453,-0.00317375,-0.00022230,-0.00096139,0.13460317,0.00000000,0.00000016,0.00000000,0.00000000,0.01228241,0.00000000,0.00000000,-0.00022252,0.03135849,0.00000000,-0.00001612,
93,-0.29177925,0.03089394,9.79054165,4.00000000,0.02900391,-0.04189453,-0.00370668,0.00204263,-0.00256017,0.13460317,0.00000000,-0.00000001,0.00000000,0.00000000,0.01228241,0.00000000,0.00000000,0.00204227,0.03135725,0.00000000,0.00014808,
