TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
2678,1.43683434,-0.06008573,9.88152122,6.00000000,0.00322266,0.00000000,-0.01143409,-0.00914879,-0.00189401,0.19944444,0.01150183,-0.00000014,-0.18901660,0.18413834,-0.01967264,0.00000000,0.00000000,-0.00914856,-0.13650212,-0.00976801,-0.00066327,
2686,1.71695602,-0.16782480,9.80011845,6.00000000,-0.23686524,0.28681642,-0.01969443,-0.01247957,0.00290231,0.19944444,0.01150183,-0.02417549,-0.20298651,0.19238189,-0.01967264,-0.81681406,0.89884454,-0.01247958,-0.13668005,-0.00976801,-0.06309759,
2694,-1.07228899,0.19369966,13.00595474,6.00000000,-0.29326171,0.34804687,-0.03368371,0.30874097,-0.03213750,0.19944444,0.01150183,-0.08024292,-0.14625008,0.12377170,-0.01967264,-1.49400187,1.76627314,0.30873847,-0.13557504,-0.00976801,-0.09580132,
2702,1.66667771,-0.07923934,7.54478025,6.00000000,-0.20625000,0.20463867,-0.03395017,0.60291553,-0.07184042,0.19944444,0.01150183,-0.06944056,-0.08903515,0.07033255,-0.01967264,-2.53596354,2.77158284,0.60292685,-0.13353470,-0.00976801,-0.14868627,
2709,1.25726926,0.45706183,9.13931847,5.00000000,-0.14340821,0.15307617,0.06970374,0.89482522,-0.09409003,0.19944444,0.01150183,-0.01646002,-0.01616276,0.01122113,-0.01967264,-3.07701564,3.13286591,0.89483142,-0.12872066,-0.00976801,-0.16023299,
2718,2.03538489,-0.34738994,9.76659966,6.00000000,-0.02416992,0.02255859,0.06597326,1.02032900,-0.17123093,0.19944444,0.01150183,-0.01440251,0.02163150,-0.02543768,-0.01967264,-3.25329351,3.30216289,1.02032578,-0.12124782,-0.00976801,-0.16366173,
2726,0.74730426,-0.34260154,11.51197243,6.00000000,0.00322266,-0.02578125,0.05771292,0.86471492,-0.11567350,0.19944444,0.01150183,-0.00874438,0.00334495,-0.00630287,-0.01967264,-3.11890340,3.14857388,0.86468238,-0.11276558,-0.00976801,-0.16450657,
2734,1.24769247,-0.65384775,9.92940521,6.00000000,0.01289062,-0.00966797,0.00748475,0.66526777,-0.04626001,0.19944444,0.01725275,-0.04835118,-0.03177807,0.01744544,-0.01967264,-2.75238419,2.91644526,0.66526645,-0.10591963,-0.00732601,-0.15726334,
2742,0.40253925,-0.22289145,9.67322540,6.00000000,-0.05317383,0.03383789,-0.08204665,0.53256947,0.05033264,0.19944444,0.01725275,-0.00205760,-0.04310950,0.03924474,-0.01967264,-2.58134174,2.58832335,0.53257149,-0.10001387,-0.00732601,-0.14878897,
2750,0.93405199,0.41396621,9.87433910,6.00000000,-0.05639648,0.06445312,-0.05406810,0.47834432,0.06032498,0.19944444,0.01150183,-0.07509813,-0.05526385,0.03540741,-0.01967264,-2.38411975,2.63893771,0.47834241,-0.09574044,-0.00732601,-0.14740603,
2758,0.35944360,-0.13909438,9.47211266,6.00000000,-0.08701172,0.07734375,-0.07551832,0.57347143,0.08723769,0.19944444,0.01150183,0.06018201,-0.01155534,0.02402141,-0.01967264,-2.54818082,2.34397721,0.57347184,-0.09196212,-0.00732601,-0.13576414,
2766,0.59168118,0.21285327,8.81849575,6.00000000,-0.02255859,0.04028320,0.01401307,0.55095536,0.03274611,0.19944444,0.01150183,0.02057456,-0.01302333,0.01615552,-0.01967264,-2.46265960,2.39284658,0.55096447,-0.08725596,-0.00976801,-0.13606712,
