TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
878,0.01228436,-0.28992909,9.91504002,6.00000000,0.00161133,-0.00161133,-0.00916917,0.06093084,-0.01002112,0.07000000,0.01150183,0.00000002,-0.01431913,0.01148730,0.01407118,0.00000000,0.00000000,0.06093082,-0.00691276,-0.00976801,0.00441748,
886,0.01946697,-0.24443926,9.77617645,6.00000000,-0.01289062,0.01289062,-0.00570516,0.06039792,-0.01068727,0.07000000,0.01150183,0.00308627,-0.01397877,0.01187995,0.01403804,-0.05061455,0.04014257,0.06039821,-0.00642506,-0.00976801,0.00108892,
894,-0.26544303,-0.20134363,10.09939384,6.00000000,-0.01450195,0.01611328,-0.00197467,0.08437954,-0.01601652,0.07015873,0.01150183,0.00565810,-0.01003845,0.00860449,0.01407451,-0.08552113,0.06632251,0.08437951,-0.00592286,-0.00976801,0.00061319,
901,0.06016840,-0.09599875,9.94137669,5.00000000,-0.01450195,0.01450195,-0.00184145,0.08677771,-0.01774853,0.07015873,0.01150183,0.00154317,-0.00976209,0.00736900,0.01410148,-0.10471976,0.09948377,0.08677797,-0.00525126,-0.00976801,-0.00111098,
910,0.11284083,-0.17500740,9.81448364,6.00000000,-0.01450195,0.01127930,-0.00637131,0.07518658,-0.01201959,0.07015873,0.01150183,-0.00154310,-0.01070014,0.00756148,0.01411309,-0.06806784,0.07330383,0.07518690,-0.00457094,-0.00976801,0.00032630,
918,0.13199444,-0.02177850,9.87433910,6.00000000,-0.01450195,0.01289062,-0.00637131,0.04614218,-0.01348513,0.07000000,0.01150183,-0.00411491,-0.01400902,0.01020747,0.01406741,-0.01745329,0.03141592,0.04614259,-0.00401909,-0.00976801,0.00157382,
926,0.24212773,-0.02896111,10.02996159,6.00000000,-0.01772461,0.01611328,0.00002379,0.01323406,-0.00868880,0.07000000,0.01150183,0.00000000,-0.01772691,0.01482847,0.01403642,0.00000000,0.00000000,0.01323405,-0.00379075,-0.00976801,0.00095945,
934,-0.08827211,-0.08642194,10.11615276,6.00000000,-0.02255859,0.02416992,-0.00477252,0.00031063,-0.00669034,0.07015873,0.01150183,-0.00000002,-0.01948184,0.01655640,0.01407380,0.00000000,0.00000000,0.00031055,-0.00363225,-0.00976801,0.00002251,
942,0.07453360,-0.09599875,9.74983978,6.00000000,-0.02739258,0.03061523,-0.00863623,-0.00035553,-0.00509156,0.07015873,0.01150183,-0.00411487,-0.02037869,0.01647939,0.01410118,-0.01745329,0.03141592,-0.00035526,-0.00363183,-0.00976801,-0.00179727,
950,-0.09784891,-0.07205673,9.83363724,6.00000000,-0.02739258,0.02900391,-0.00490577,-0.00941525,-0.00402571,0.07000000,0.01150183,-0.00102862,-0.02112845,0.01793964,0.01406228,-0.01745329,0.02094395,-0.00941502,-0.00355780,-0.00976801,-0.00207449,
958,0.00270756,-0.11275817,9.72350407,6.00000000,-0.03061523,0.03061523,-0.00130852,-0.01181341,0.00063738,0.07000000,0.01150183,-0.00360039,-0.02173132,0.01792967,0.01403421,-0.00523599,0.01745329,-0.01181342,-0.00362361,-0.00976801,-0.00167897,
966,-0.02362866,-0.11754657,9.84321404,6.00000000,-0.03061523,0.03061523,-0.00463931,-0.01327896,0.00010446,0.07000000,0.01150183,0.00360064,-0.02110097,0.01899584,0.01402214,-0.01221730,0.00000000,-0.01327889,-0.00369742,-0.00976801,-0.00140560,
973,0.03622638,-0.25641027,9.85039711,5.00000000,-0.02739258,0.03383789,-0.00530546,-0.01727590,0.00543371,0.07000000,0.01150183,-0.00514371,-0.02285690,0.01867696,0.01401695,0.00000000,0.01745329,-0.01727592,-0.00380314,-0.00976801,-0.00188519,
982,-0.02123446,-0.24204506,9.98207760,6.00000000,-0.03061523,0.03383789,-0.00956886,-0.02540300,0.00370170,0.07000000,0.01150183,0.00000007,-0.02348505,0.02050037,0.01401471,0.00000000,0.00000000,-0.02540283,-0.00394702,-0.00976801,-0.00184170,
990,-0.01644606,-0.24204506,9.97250080,6.00000000,-0.03222656,0.03544922,-0.00530546,-0.04219013,0.00556694,0.07000000,0.01150183,-0.00102881,-0.02640770,0.02314105,0.01401375,-0.01396263,0.01745329,-0.04219006,-0.00411128,-0.00976801,-0.00419760,
998,0.06016840,-0.39048555,10.01320267,6.00000000,-0.03706055,0.04028320,-0.00663777,-0.04658677,0.00370170,0.07000000,0.01150183,0.00257188,-0.02697751,0.02454732,0.01401334,-0.01745329,0.00872665,-0.04658670,-0.00445968,-0.00976801,-0.00432657,
