TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
1774,-0.03081127,-0.04332631,9.82166672,6.00000000,0.00000000,0.00000000,-0.00663777,-0.04352245,-0.00815588,0.13523810,0.01150183,-0.00000001,0.05339163,-0.05558646,0.01189291,0.00000000,0.00000000,-0.04352267,0.05565682,-0.00976801,-0.00315539,
1782,-0.16009817,-0.01699010,9.78335857,6.00000000,0.07089844,-0.08378907,-0.00610483,-0.02353777,-0.01228605,0.13523810,0.01150183,0.01800315,0.06052337,-0.05841436,0.01189291,0.15358898,-0.21467550,-0.02353790,0.05509602,-0.00976801,0.01164309,
1789,0.64435363,-0.01938430,9.36676788,5.00000000,0.08862305,-0.10151367,0.00815091,-0.10027897,0.00356847,0.13523810,0.01150183,0.02726187,0.04853335,-0.04448352,0.01189291,0.29146999,-0.38397244,-0.10027902,0.05443600,-0.00976801,0.01721458,
1798,0.11523504,-0.04093211,10.30290127,6.00000000,0.07895508,-0.07573242,-0.00956886,-0.13758370,0.02155469,0.13523810,0.01150183,0.03806378,0.04439681,-0.03792424,0.01189291,0.50265479,-0.63180918,-0.13758403,0.05349747,-0.00976801,0.03114960,
1806,-0.00208085,-0.14867119,10.00123119,6.00000000,0.07089844,-0.06767578,-0.01223347,-0.18607989,0.04953325,0.13523810,0.01150183,0.05143754,0.03683820,-0.02737229,0.01189291,0.57246798,-0.74700093,-0.18607941,0.05249461,-0.00976801,0.03433996,
1814,-0.39472991,0.02371133,10.10657597,6.00000000,0.06284180,-0.05317383,-0.01409871,-0.20073530,0.06258991,0.13523810,0.01150183,0.08847250,0.03687408,-0.01873398,0.01189291,0.54628801,-0.84648466,-0.20073463,0.05098684,-0.00976801,0.03593475,
1822,-0.28220245,-0.23725665,9.94855881,5.00000000,0.05478515,-0.04511719,-0.01636364,-0.20526516,0.10895438,0.13523810,0.01150183,0.04063600,0.02773297,-0.02092445,0.01189291,0.61261052,-0.75049156,-0.20526367,0.04920366,-0.00976801,0.03453084,
1830,-0.42346033,0.22003587,9.84800243,6.00000000,0.03867187,-0.05156250,-0.08844175,-0.18328202,0.08643831,0.13523810,0.01150183,-0.04217881,0.01908502,-0.03178118,0.01189291,0.70860362,-0.56548673,-0.18328179,0.04752996,-0.00976801,0.03289775,
1838,-0.31572127,0.39241838,9.88870430,6.00000000,0.03222656,-0.06123047,-0.04460866,-0.17315644,0.02142146,0.13523810,0.01150183,0.02263256,0.02587233,-0.02326331,0.01189291,0.55152404,-0.62831855,-0.17315634,0.04597901,-0.00976801,0.03021545,
1846,-0.10981993,0.27510250,9.45774746,6.00000000,0.03706055,-0.04833984,0.06330863,-0.13864955,-0.03706706,0.13523810,0.01725275,0.04526500,0.03117727,-0.02450047,0.01189291,0.47123891,-0.62482786,-0.13865089,0.04448650,-0.00732601,0.02968021,
1854,-0.22234741,-0.31147692,9.52478504,6.00000000,0.04350586,-0.04350586,0.04399011,-0.10853929,-0.06771025,0.13523810,0.01725275,0.04577976,0.03498316,-0.02811008,0.01189291,0.46425760,-0.61959189,-0.10854019,0.04329724,-0.00732601,0.03142039,
1861,-0.24868362,-0.16782480,10.21910381,5.00000000,0.05156250,-0.04995117,0.02493805,-0.09321770,-0.01588329,0.13523810,0.01725275,0.01800312,0.03292352,-0.03257357,0.01189291,0.48869219,-0.54977870,-0.09321756,0.04236747,-0.00732601,0.03088625,
1870,0.09608142,0.06680696,9.95334721,6.00000000,0.05639648,-0.05156250,-0.01170055,-0.10480881,0.02768333,0.13523810,0.01150183,0.02674744,0.03127747,-0.02755759,0.01189291,0.46076691,-0.55152404,-0.10480841,0.04129867,-0.00976801,0.02909695,
1878,-0.27023143,-0.15106539,10.49443722,6.00000000,0.05478515,-0.04833984,-0.04873884,-0.10720699,0.06205699,0.13523810,0.01150183,0.01543125,0.02849164,-0.02746275,0.01189291,0.49567351,-0.54803336,-0.10720573,0.04044215,-0.00976801,0.03006198,
1886,0.04101478,-0.44794640,9.64449501,6.00000000,0.05317383,-0.05317383,-0.05779856,-0.10520851,0.09376602,0.13523810,0.01150183,0.01543152,0.02689728,-0.02587760,0.01189291,0.44854963,-0.50090951,-0.10520899,0.03943431,-0.00976801,0.02679025,
1894,-0.27501985,-0.13191178,9.76420498,6.00000000,0.05156250,-0.05156250,-0.02542337,-0.07722995,0.07538011,0.13523810,0.01150183,0.06738313,0.03651196,-0.02315772,0.01189291,0.32986721,-0.55850536,-0.07723001,0.03853279,-0.00976801,0.02660431,
1902,-0.05235908,0.02131713,9.58464050,6.00000000,0.05961914,-0.05156250,0.03946024,-0.03566181,0.03914121,0.13523810,0.01150183,0.12550750,0.04853078,-0.02134109,0.01189291,0.14311700,-0.56897730,-0.03566191,0.03782427,-0.00732601,0.02322794,
