TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
190,0.83588976,0.19369966,9.89109802,6.00000000,0.00161133,0.00322266,-0.00264083,-0.00994818,-0.00788942,0.13476190,0.01533577,0.00000004,-0.10816345,0.10338163,0.01147847,0.00000000,0.00000000,-0.00994803,-0.06457810,-0.00927961,-0.00072123,
198,1.15431857,0.12426780,10.07066345,6.00000000,-0.13212891,0.16435547,-0.00717070,-0.00954849,-0.00109462,0.13476190,0.01533577,-0.00617245,-0.11453565,0.10828609,0.01188237,-0.40840703,0.42935100,-0.00954844,-0.06476294,-0.00927961,-0.03106097,
205,-0.84723407,0.43790823,11.86631489,5.00000000,-0.16274413,0.18852539,-0.01689657,0.21801049,-0.03666737,0.13476190,0.01533577,-0.00771564,-0.07730149,0.07138754,0.01205524,-0.78016222,0.80634212,0.21800980,-0.06425638,-0.00927961,-0.04170501,
214,-0.33487487,0.17694025,8.92862892,6.00000000,-0.12084961,0.11923828,0.03000083,0.39400899,-0.01654945,0.13476190,0.01533577,-0.05452318,-0.05406602,0.03767042,0.01212945,-1.22173047,1.40673530,0.39401120,-0.06210695,-0.00927961,-0.06671614,
222,0.18466689,0.71802980,9.15847206,6.00000000,-0.08540039,0.07089844,-0.01583072,0.52017891,-0.05212219,0.13476190,0.01533577,-0.04269311,-0.02754143,0.01437124,0.01216134,-1.43466055,1.57952297,0.52018142,-0.05887151,-0.00927961,-0.07155099,
230,0.93165779,0.38044739,9.72829247,6.00000000,-0.04189453,0.04028320,0.01547861,0.55108857,-0.08676232,0.13476190,0.01533577,-0.01646022,-0.01302371,0.00620184,0.01217505,-1.47654855,1.53239918,0.55108893,-0.05471700,-0.00927961,-0.06912041,
238,1.26205766,0.42593721,10.42021656,6.00000000,-0.02255859,0.01289062,0.05211721,0.46209013,-0.08716201,0.13476190,0.01533577,0.04217911,-0.01616637,0.02297425,0.01218095,-1.54810703,1.40499008,0.46208653,-0.05057800,-0.00927961,-0.07354847,
246,0.73054487,-0.26359287,9.87673283,6.00000000,-0.04028320,0.02739258,0.03253222,0.36869502,-0.03586798,0.13468254,0.01533577,-0.05195211,-0.03704978,0.02140740,0.01221480,-1.19729578,1.37357402,0.36869702,-0.04697901,-0.00927961,-0.06646354,
254,0.58689278,-0.27316967,9.71632099,6.00000000,-0.05800781,0.04189453,-0.10003287,0.28435966,0.01009680,0.13468254,0.01533577,-0.13065135,-0.05701211,0.02257766,0.01222571,-1.00007367,1.44338727,0.28436086,-0.04416421,-0.00927961,-0.06795921,
262,0.30677116,0.88562393,9.08185768,6.00000000,-0.07412110,0.05156250,-0.14613089,0.24332443,-0.08036721,0.13468254,0.01533577,0.00308662,-0.04535958,0.04240035,0.01223040,-1.21823990,1.20776784,0.24332865,-0.04187036,-0.00927961,-0.07030134,
