TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
758,0.21579151,0.01174032,9.76420498,6.00000000,0.00000000,0.00000000,-0.00783684,-0.18328202,0.04007383,0.13507937,0.02300366,0.00308637,-0.12082008,0.11463680,0.01199056,-0.01047198,0.00000000,-0.18328220,-0.03812667,-0.00549451,-0.01366757,
766,0.70181447,-0.22767985,9.92940521,6.00000000,-0.15629883,0.17885742,-0.01916151,-0.18368173,0.04407077,0.13507937,0.02300366,-0.02005978,-0.13464974,0.12280535,0.01199056,-0.47472957,0.54279739,-0.18367951,-0.03956048,-0.00549451,-0.05020222,
774,-1.29973817,0.11947940,11.36353207,6.00000000,-0.19819336,0.20786133,-0.04900532,0.08424631,-0.00549125,0.13507937,0.02300366,-0.07612804,-0.09741941,0.07277676,0.01199056,-0.86742866,1.12573731,0.08425038,-0.04080332,-0.00549451,-0.06614411,
782,-0.09784891,-0.07923934,9.12734795,6.00000000,-0.14501953,0.13374023,0.03293191,0.27529994,-0.01748207,0.13507937,0.02300366,-0.11007690,-0.07292693,0.04064588,0.01199056,-1.48003924,1.85353959,0.27529985,-0.04004805,-0.00549451,-0.10088297,
790,0.19663790,0.24158369,9.04833889,6.00000000,-0.10634766,0.08701172,0.07636529,0.42118815,-0.05731821,0.13507937,0.02300366,0.04372195,-0.02369176,0.02933690,0.01199056,-1.90939021,1.76103723,0.42118949,-0.03777568,-0.00549451,-0.10251679,
798,0.22057991,-0.51977247,9.31888390,6.00000000,-0.05317383,0.05156250,0.08915550,0.51724786,-0.06384654,0.13507937,0.02300366,0.03652054,0.00245880,0.00179742,0.01199056,-1.78198111,1.65806282,0.51725024,-0.03439316,-0.00549451,-0.08720095,
806,0.87898540,-0.90045053,9.68759060,6.00000000,-0.01127930,0.01289062,-0.02089352,0.46635354,0.04793447,0.13507937,0.02300366,-0.06892730,-0.01201716,-0.00948934,0.01199056,-1.46607661,1.69995070,0.46635613,-0.03051379,-0.00549451,-0.08095784,
814,0.80237091,0.10511419,9.97968388,6.00000000,-0.01611328,0.00322266,-0.09123959,0.36243317,0.00983034,0.13507937,0.02300366,0.00720119,-0.01203466,0.00876755,0.01199056,-1.21474910,1.19031453,0.36243123,-0.02726902,-0.00549451,-0.06090728,
821,0.34507841,-0.36654353,10.39148617,5.00000000,-0.01772461,0.02739258,-0.01929473,0.19256330,0.00596663,0.13507937,0.02300366,0.07818529,-0.02931675,0.04281618,0.01199056,-1.11177480,0.84648466,0.19256182,-0.02437225,-0.00549451,-0.05702626,
830,0.06974521,-0.77834624,10.54710960,6.00000000,-0.04672851,0.06928711,0.06970374,0.13594003,0.06751947,0.13507937,0.02300366,-0.00102902,-0.04625650,0.04032329,0.01199056,-0.88488197,0.88837260,0.13593884,-0.02276802,-0.00549451,-0.05442498,
838,-0.60063130,-0.67300135,10.99243069,6.00000000,-0.07412110,0.06767578,-0.08324575,0.07398751,0.02834948,0.13507937,0.02300366,-0.07818605,-0.06561603,0.04073626,0.01199056,-0.78365284,1.04894280,0.07398625,-0.02086465,-0.00549451,-0.06106761,
846,-0.27741405,0.30383292,10.12572956,6.00000000,-0.10473633,0.07089844,-0.07938204,0.04041323,-0.00096139,0.13507937,0.02300366,-0.06686906,-0.07211406,0.04988755,0.01199056,-0.93200582,1.15889859,0.04041329,-0.02017141,-0.00549451,-0.07286533,
854,-0.45937338,0.37565899,9.33085537,6.00000000,-0.10795899,0.09829102,0.04718766,0.10929378,-0.05851729,0.13507937,0.02300366,0.01183075,-0.04932968,0.04647867,0.01199056,-1.13970006,1.09955740,0.10929357,-0.01988580,-0.00549451,-0.07324936,
862,-0.05954169,-0.38090876,8.27022362,6.00000000,-0.07412110,0.09829102,0.11047249,0.17764142,-0.09688789,0.13507937,0.02300366,0.05400972,-0.02924239,0.03688939,0.01199056,-1.23918378,1.05592418,0.17764279,-0.01894702,-0.00549451,-0.07031855,
870,-0.22713581,-0.55807966,8.59344101,6.00000000,-0.05156250,0.06928711,0.04079255,0.22906867,-0.05931668,0.13507937,0.02300366,0.01954618,-0.01964461,0.01909792,0.01199056,-1.14319062,1.07686818,0.22907139,-0.01729538,-0.00549451,-0.06386943,
878,0.17748427,-0.22528565,9.73786926,6.00000000,-0.04189453,0.03544922,-0.03155201,0.22174096,-0.00269340,0.13507937,0.02300366,-0.08744401,-0.02918413,0.00260970,0.01199056,-0.84299403,1.13970006,0.22173941,-0.01549072,-0.00549451,-0.05579646,
886,0.58928698,-0.21331464,10.02756786,6.00000000,-0.05639648,0.00805664,-0.12068372,0.16431829,0.00649956,0.13507937,0.02300366,-0.08847262,-0.03706751,0.01008078,0.01199056,-0.76270890,1.06290555,0.16431800,-0.01392970,-0.00549451,-0.05426544,
893,0.29240596,0.45706183,10.25022793,5.00000000,-0.05800781,0.02255859,-0.07338662,0.09836882,-0.05798436,0.13507937,0.02300366,-0.02211786,-0.03774472,0.02670909,0.01199056,-0.71907568,0.79412478,0.09836786,-0.01273067,-0.00549451,-0.04772183,
902,-0.14094454,-0.29232329,10.51359081,6.00000000,-0.05961914,0.05478515,0.06170986,0.06532748,-0.09049279,0.13507937,0.02300366,0.00720101,-0.03736089,0.03336635,0.01199056,-0.64577180,0.62133718,0.06532748,-0.01186296,-0.00549451,-0.04119650,
910,0.48154789,-0.31626531,9.99883747,6.00000000,-0.05478515,0.07089844,0.09062104,0.02082824,-0.08423091,0.13507937,0.02300366,-0.00360058,-0.04827812,0.04151319,0.01199056,-0.67893308,0.69115037,0.02082852,-0.01167309,-0.00549451,-0.04815549,
918,0.42408705,-0.27556387,9.46253586,6.00000000,-0.06445312,0.07573242,0.04279102,0.08611155,-0.07090779,0.13507937,0.02300366,-0.00823008,-0.03709982,0.02941962,0.01199056,-0.76445419,0.79237950,0.08611122,-0.01162760,-0.00549451,-0.05019219,
926,-0.41867194,0.17215183,9.57745743,6.00000000,-0.05317383,0.05639648,-0.00463931,0.18496913,-0.04186339,0.13507937,0.02300366,-0.01491692,-0.01695461,0.00798226,0.01199056,-0.79761547,0.84823000,0.18496871,-0.01062844,-0.00549451,-0.04625165,
934,0.68984342,0.45466763,8.74188137,6.00000000,-0.03383789,0.01127930,0.00295489,0.22653729,-0.02494302,0.13507937,0.02300366,-0.03189126,-0.00935249,-0.00359684,0.01199056,-0.82030475,0.92851520,0.22653915,-0.00934765,-0.00549451,-0.04697062,
942,0.62519997,0.19609386,9.04594517,6.00000000,-0.01772461,-0.00483398,0.01561185,0.25131831,-0.03107166,0.13507937,0.02300366,-0.03240593,-0.00146240,-0.01151019,0.01199056,-0.78539819,0.89535391,0.25132012,-0.00792334,-0.00549451,-0.04270656,
950,0.25649294,0.21285327,9.74505138,6.00000000,-0.00966797,-0.01289062,-0.00823655,0.24705490,-0.05292158,0.13507937,0.02300366,-0.02983376,0.00402734,-0.01635699,0.01199056,-0.62133718,0.72256637,0.24705507,-0.00599149,-0.00549451,-0.03080497,
958,0.59886378,0.70366460,10.48964882,6.00000000,-0.00161133,-0.01933594,0.01028259,0.15006256,-0.08196599,0.13507937,0.02300366,0.02160375,-0.00335232,0.00325202,0.01199056,-0.52185345,0.44854963,0.15006109,-0.00424517,-0.00549451,-0.02429774,
965,0.90053320,0.55522412,11.13368893,5.00000000,-0.00805664,0.00644531,0.05131783,0.05866592,-0.04945756,0.13507937,0.02300366,0.00565813,-0.01919623,0.01493348,0.01199056,-0.29321530,0.27401668,0.05866489,-0.00349828,-0.00549451,-0.01630893,
