TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
406,0.33310738,0.02849974,9.76659966,6.00000000,-0.00322266,0.00000000,-0.00383992,0.00244233,-0.00122785,0.13476190,0.01533577,-0.00000001,-0.00071481,-0.00301224,0.01218540,0.00000000,0.00000000,0.00244159,0.01188820,-0.00488400,0.00017707,
413,0.29719436,-0.07445094,10.18319035,5.00000000,-0.00483398,-0.00483398,-0.00383992,0.00524019,-0.00815588,0.13476190,0.01533577,-0.00000001,-0.00033925,-0.00338047,0.01218540,0.00000000,0.00000000,0.00524033,0.01177120,-0.00488400,0.00037991,
422,0.26606974,-0.07205673,10.02277946,6.00000000,-0.00483398,-0.00483398,0.00068995,0.00270879,-0.01641622,0.13476190,0.01533577,0.00000006,-0.00105590,-0.00267383,0.01218540,0.00000000,0.00000000,0.00270872,0.01164754,-0.00488400,0.00019637,
430,0.10086983,-0.08881615,9.95095348,6.00000000,-0.00322266,-0.00644531,-0.00344022,0.00350818,-0.01654945,0.13476190,0.01533577,-0.00000003,-0.00092675,-0.00280072,0.01218540,0.00000000,0.00000000,0.00350823,0.01162743,-0.00488400,0.00025434,
438,0.00510176,-0.14388278,9.88630962,6.00000000,-0.00805664,-0.00483398,-0.00144175,0.00617280,-0.01375159,0.13476190,0.01533577,-0.00000004,-0.00044019,-0.00327913,0.01218540,0.00000000,0.00000000,0.00617255,0.01159461,-0.00488400,0.00044751,
446,0.05059159,-0.06726833,9.76420498,6.00000000,-0.00322266,-0.00483398,-0.00557191,0.00497372,-0.00868880,0.13476190,0.01533577,-0.00000009,-0.00072162,-0.00300194,0.01218540,0.00000000,0.00000000,0.00497374,0.01157133,-0.00488400,0.00036059,
454,0.08889882,0.02610553,9.96292400,6.00000000,-0.00322266,-0.00483398,-0.00503898,0.00657250,-0.00629064,0.13476190,0.01533577,0.00000008,-0.00050394,-0.00321537,0.01218540,0.00000000,0.00000000,0.00657228,0.01150642,-0.00488400,0.00047651,
462,-0.05235908,0.14102721,10.07305717,6.00000000,-0.00805664,-0.00483398,-0.00583839,0.00004417,-0.00389248,0.13476190,0.01533577,0.00000003,-0.00178105,-0.00195899,0.01218540,0.00000000,0.00000000,0.00004423,0.01153511,-0.00488400,0.00000322,
470,-0.10024311,0.26313150,9.91504002,6.00000000,-0.00483398,-0.00322266,-0.00717070,-0.00848264,-0.00069493,0.13476190,0.01533577,0.00000007,-0.00352123,-0.00024650,0.01218540,0.00000000,0.00000000,-0.00848264,0.01152873,-0.00488400,-0.00061499,
478,-0.09306051,0.27270830,9.86476231,6.00000000,-0.01289062,0.00000000,-0.00876946,-0.02233868,-0.00402571,0.13476190,0.01533577,-0.00257189,-0.00684291,0.00240333,0.01218540,0.00000000,0.00872665,-0.02233838,0.01145364,-0.00488400,-0.00193588,
485,-0.01884026,0.27031410,9.91504002,5.00000000,-0.01127930,0.00161133,-0.00423960,-0.02353777,-0.00375925,0.13476190,0.01533577,-0.00000001,-0.00706045,0.00323955,0.01218540,0.00000000,0.00000000,-0.02353768,0.01123329,-0.00488400,-0.00170649,
494,0.16551328,0.36368796,9.98207760,6.00000000,-0.01289062,0.00483398,-0.00117528,-0.02233868,-0.00216047,0.13476190,0.01533577,0.00000001,-0.00732681,0.00350520,0.01218540,0.00000000,0.00000000,-0.02233860,0.01092301,-0.00488400,-0.00161955,
502,0.29958856,0.35171697,9.82406044,6.00000000,-0.01450195,0.00644531,-0.00104205,-0.02260515,-0.00136109,0.13476190,0.01533577,-0.00000002,-0.00787210,0.00404519,0.01218540,0.00000000,0.00000000,-0.02260473,0.01062389,-0.00488400,-0.00163885,
510,0.32831898,0.39241838,9.73547459,6.00000000,-0.01450195,0.00644531,0.00535304,0.00137648,0.00290231,0.13476190,0.01533577,-0.00000007,-0.00351855,-0.00023532,0.01218540,0.00000000,0.00000000,0.00137612,0.01031275,-0.00488400,0.00009979,
518,0.31874219,0.34453437,9.75462818,6.00000000,-0.00966797,0.00161133,-0.00250760,0.01736423,0.00596663,0.13476190,0.01533577,0.00000007,-0.00064562,-0.00305977,0.01218540,0.00000000,0.00000000,0.01736440,0.01008726,-0.00488400,0.00125890,
