TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
110,-0.73470658,0.14342141,9.47690105,6.00000000,0.00322266,-0.00322266,-0.04420898,-0.25602630,0.16597736,0.19968253,0.02300366,0.08384319,0.27650625,-0.25953552,-0.01957202,-0.11693706,-0.16755162,-0.25602707,0.18267708,-0.00695971,-0.01672717,
118,-0.76343697,0.07638377,9.55112171,6.00000000,0.36254883,-0.39155275,-0.05873118,-0.20606455,0.15771702,0.19968253,0.02300366,0.21398026,0.31379992,-0.26599550,-0.01957202,0.92153382,-1.64759088,-0.20606610,0.18025704,-0.00695971,0.07819094,
126,3.46711731,-1.66420090,7.33169651,6.00000000,0.40766603,-0.42216796,-0.07618447,-0.53647810,0.13173692,0.19968253,0.02300366,0.18774676,0.26030865,-0.22006260,-0.01957202,3.30565357,-3.94269872,-0.53648663,0.17701134,-0.00695971,0.22385693,
134,-1.34283376,-0.31147692,9.02679157,6.00000000,0.34643555,-0.36093751,-0.23073271,-0.75817484,0.44243219,0.19968253,0.02300366,0.05400832,0.21491808,-0.20712213,-0.01957202,5.75260544,-5.93586493,-0.75818872,0.17267486,-0.00695971,0.36873847,
142,-0.71315873,0.42114881,10.93496990,6.00000000,0.28842774,-0.33837891,-0.36769444,-1.19330800,0.71089315,0.19960317,0.02300366,-0.09773139,0.11066055,-0.14047778,-0.01959601,7.64105129,-7.30943871,-1.19328773,0.16654220,-0.00695971,0.45544255,
150,-1.04834700,1.46980917,12.95567608,6.00000000,0.17724609,-0.27070314,-0.38155052,-1.55796194,0.91993296,0.19960317,0.02300366,-0.12190759,0.02150133,-0.05868454,-0.01960174,8.53291416,-8.11927223,-1.55788302,0.15650751,-0.00695971,0.49069467,
158,0.06016840,0.93350798,15.31157112,6.00000000,0.04672851,-0.11923828,-0.13840348,-2.00055623,1.06009233,0.19960317,0.01533577,-0.00102681,-0.08971821,0.08069918,-0.01960421,7.89586926,-7.89237928,-2.00038099,0.14136381,-0.00927961,0.42729622,
166,-0.04278228,1.04842961,14.48557091,6.00000000,-0.07895508,0.10473633,-0.10283073,-2.26128983,1.07301569,0.19960317,0.01533577,0.43207553,-0.13285270,0.22443771,-0.01960527,6.29714775,-7.76322412,-2.26110196,0.12473893,-0.00927961,0.34575886,
173,0.67068982,1.12743831,9.27818203,5.00000000,-0.16274413,0.35126954,-0.03261786,-2.12952399,0.82587171,0.19960317,0.01533577,0.54112250,-0.13643275,0.25386924,-0.01960572,4.86423302,-6.70031881,-2.12950826,0.10558186,-0.00927961,0.26482579,
182,0.50309569,0.88562393,5.44745970,6.00000000,-0.18691406,0.40122071,-0.00064236,-1.50760055,0.58485639,0.19968253,0.02300366,0.23918456,-0.08762029,0.13435110,-0.01958193,3.37197614,-4.18355417,-1.50773883,0.08821334,-0.00927961,0.16457702,
190,-0.30375025,-1.07283306,4.99974394,6.00000000,-0.11279297,0.22880860,-0.00157498,-1.06713808,0.69717032,0.19968253,0.02300366,-0.14402720,-0.07465252,0.03270011,-0.01957629,2.37539315,-1.88670087,-1.06725371,0.07610320,-0.00927961,0.07712393,
198,0.39535663,-1.25958073,8.74427509,6.00000000,-0.10312500,0.06284180,-0.02822123,-0.77176440,0.69783646,0.19960317,0.02300366,-0.16459849,-0.03644791,-0.00930818,-0.01959784,1.58475900,-1.02625358,-0.77177429,0.06713783,-0.00695971,0.03869529,
206,0.34029001,-2.14782953,11.78730583,6.00000000,-0.06284180,0.00000000,0.00721828,-0.46373379,0.60963738,0.19960317,0.02300366,-0.06995565,0.03116760,-0.05348720,-0.01960253,1.37881017,-1.14144540,-0.46370754,0.06038463,-0.00695971,0.05774038,
214,1.10164618,-2.87806106,10.56626320,6.00000000,0.03222656,-0.07250977,-0.06059641,-0.36780730,0.62709069,0.19968253,0.01533577,0.19494884,0.07804519,-0.03585096,-0.01958056,0.91804314,-1.57952297,-0.36780092,0.05627799,-0.00927961,0.06387124,
222,0.35465521,-1.30267644,8.30853081,6.00000000,0.11279297,-0.05317383,-0.06672507,-0.20753011,0.45415655,0.19968253,0.01533577,0.38835314,0.13576639,-0.04741401,-0.01957569,1.00181901,-2.31954241,-0.20754264,0.05302841,-0.00927961,0.10535260,
230,0.96517664,-1.55646181,9.04115677,6.00000000,0.20141602,-0.09345703,0.04279102,-0.35594970,0.32678747,0.19968253,0.02300366,0.36829269,0.09897874,-0.01779394,-0.01957360,1.19729578,-2.44695163,-0.35595196,0.05155288,-0.00695971,0.10629735,
238,1.97313559,-0.88369113,10.79131794,6.00000000,0.14663085,-0.02739258,0.00175580,-0.38539383,0.33198348,0.19968253,0.02300366,0.34720358,0.08779123,-0.01175843,-0.01957270,1.56556034,-2.74365759,-0.38538784,0.04772717,-0.00695971,0.12826857,
245,1.50866044,0.04525915,11.94771767,5.00000000,0.12568359,-0.03544922,-0.00250760,-0.45667255,0.28508607,0.19968253,0.02300366,0.25615910,0.05753319,-0.00330361,-0.01957231,1.92335284,-2.79252672,-0.45665827,0.04384475,-0.00695971,0.13784294,
254,2.00186586,-0.62032890,10.82962513,6.00000000,0.09667969,0.00161133,-0.06805737,-0.52541989,0.27083033,0.19968253,0.02300366,0.20060639,0.02774729,0.01302843,-0.01957215,1.97047675,-2.65115499,-0.52541023,0.03913973,-0.00695971,0.12944187,
262,1.28360546,0.16257504,9.17283726,6.00000000,0.04672851,0.01127930,-0.01503133,-0.44401559,0.23725607,0.19968253,0.02300366,0.21500909,0.03934944,0.00506994,-0.01957208,1.88495564,-2.61450338,-0.44402063,0.03458970,-0.00695971,0.13091385,
270,0.06974521,-0.12712337,9.00763798,6.00000000,0.05156250,0.02416992,0.01880939,-0.32424065,0.14745823,0.19968253,0.02300366,0.17694515,0.05551240,-0.01962915,-0.01957204,1.95825934,-2.55865288,-0.32424647,0.03095986,-0.00695971,0.14023009,
278,0.68266082,-0.11754657,8.97411919,6.00000000,0.08862305,-0.04028320,0.03293191,-0.29306456,0.05579512,0.19968253,0.02300366,0.19031917,0.05952707,-0.02041083,-0.01957203,1.89193690,-2.53770852,-0.29307002,0.02851973,-0.00695971,0.13932708,
286,-0.11700253,-0.51258987,10.37233257,6.00000000,0.08056641,-0.03222656,0.09182012,-0.29373074,0.03168026,0.19968253,0.01533577,0.12653638,0.04977737,-0.02392175,-0.01957203,2.07170582,-2.50105691,-0.29372722,0.02613078,-0.00695971,0.14446743,
294,0.18227269,-0.14148858,9.76659966,6.00000000,0.07250977,-0.04028320,0.05145106,-0.35954696,0.02355316,0.19968253,0.01533577,0.10390383,0.03033752,-0.01012817,-0.01957203,2.26892805,-2.62148452,-0.35954648,0.02354195,-0.00695971,0.15121028,
