TimeStamp,acc_x,acc_y,acc_z,cal_time,current_LW,current_RW,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_d,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_hat,v_d,v_hat,
12,0.52464354,-0.06487413,9.71871567,4.00000000,-0.05639648,0.06123047,-0.00450607,-0.06257452,0.00063738,0.19944444,0.00000000,-0.00000005,0.00000000,0.00000000,-0.01967264,0.00000000,0.00000000,-0.06257431,-0.05344186,0.00000000,-0.00453666,
20,0.52943194,-0.08402774,9.75223446,4.00000000,-0.05639648,0.06123047,-0.00130852,-0.06364037,-0.00176078,0.19944444,0.00000000,-0.00000005,0.00000000,0.00000000,-0.01967264,0.00000000,0.00000000,-0.06364053,-0.05394435,0.00000000,-0.00461397,
28,0.48633629,-0.14148858,9.82406044,4.00000000,-0.05639648,0.06123047,-0.00357345,-0.06337390,-0.00149432,0.19944444,0.00000000,0.00000004,0.00000000,0.00000000,-0.01967264,0.00000000,0.00000000,-0.06337397,-0.05444402,0.00000000,-0.00459459,
36,0.56295073,-0.10557556,9.77857018,4.00000000,-0.05639648,0.06123047,-0.00210791,-0.06550561,-0.00269340,0.19944444,0.00000000,0.00000006,0.00000000,0.00000000,-0.01967264,0.00000000,0.00000000,-0.06550565,-0.05495742,0.00000000,-0.00474914,
44,0.54379714,-0.10796976,9.82645512,4.00000000,-0.05639648,0.06123047,-0.00237437,-0.06830346,-0.00362602,0.19944444,0.00000000,0.00000007,0.00000000,0.00000000,-0.01967264,0.00000000,0.00000000,-0.06830357,-0.05547986,0.00000000,-0.00495200,
52,0.57252759,-0.11754657,9.78096485,4.00000000,-0.05639648,0.06123047,-0.00277407,-0.07230040,-0.00322632,0.19944444,0.00000000,-0.00257175,0.00000000,0.00000000,-0.01967264,0.00872665,0.00000000,-0.07230078,-0.05602573,0.00000000,-0.00492548,
61,0.51267254,-0.11754657,9.72829247,5.00000000,-0.05639648,0.06123047,-0.00277407,-0.07429887,-0.00349279,0.19944444,0.00000000,-0.00000013,0.00000000,0.00000000,-0.01967264,0.00000000,0.00000000,-0.07429889,-0.05658373,0.00000000,-0.00538668,
68,0.55337393,-0.11036396,9.82166672,4.00000000,-0.05639648,0.06123047,-0.00370668,-0.06990223,-0.00229371,0.19944444,0.00000000,0.00000007,0.00000000,0.00000000,-0.01967264,0.00000000,0.00000000,-0.06990200,-0.05717369,0.00000000,-0.00506790,
76,0.57252759,-0.07923934,9.76899338,4.00000000,-0.05639648,0.06123047,-0.00264083,-0.07856227,-0.00495833,0.19944444,0.00000000,0.00000012,0.00000000,0.00000000,-0.01967264,0.00000000,0.00000000,-0.07856227,-0.05773441,0.00000000,-0.00569576,
84,0.62041157,-0.09599875,9.85518551,4.00000000,-0.05639648,0.06123047,-0.00157498,-0.07816257,-0.00002877,0.19944444,0.00000000,0.00000015,0.00000000,0.00000000,-0.01967264,0.00000000,0.00000000,-0.07816250,-0.05839771,0.00000000,-0.00566677,
